ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2772.00,2772.00,2763.80,2767.10,0
2026-06-25T09:16:00+05:30,2766.00,2768.20,2761.40,2768.20,828
2026-06-25T09:17:00+05:30,2769.20,2772.90,2769.20,2772.10,258
2026-06-25T09:18:00+05:30,2771.30,2771.40,2762.60,2762.60,897
2026-06-25T09:19:00+05:30,2761.50,2765.30,2761.50,2761.70,654
2026-06-25T09:20:00+05:30,2760.70,2767.90,2760.70,2764.00,369
2026-06-25T09:21:00+05:30,2763.90,2765.50,2763.90,2764.40,581
2026-06-25T09:22:00+05:30,2763.30,2765.60,2762.50,2762.80,484
2026-06-25T09:23:00+05:30,2763.50,2763.50,2762.40,2762.90,125
2026-06-25T09:24:00+05:30,2761.10,2766.80,2761.10,2766.00,748
2026-06-25T09:25:00+05:30,2766.60,2766.60,2761.80,2761.80,758
2026-06-25T09:26:00+05:30,2761.20,2764.10,2761.10,2763.60,754
2026-06-25T09:27:00+05:30,2763.00,2767.10,2760.70,2760.70,905
2026-06-25T09:28:00+05:30,2760.70,2762.00,2759.40,2760.70,396
2026-06-25T09:29:00+05:30,2759.30,2761.90,2757.50,2757.50,572
2026-06-25T09:30:00+05:30,2761.10,2761.10,2759.00,2759.10,822
2026-06-25T09:31:00+05:30,2759.20,2760.10,2759.20,2760.00,491
2026-06-25T09:32:00+05:30,2758.50,2759.50,2757.00,2757.00,382
2026-06-25T09:33:00+05:30,2757.00,2757.00,2756.50,2756.80,141
2026-06-25T09:34:00+05:30,2756.80,2758.00,2756.60,2757.80,246
2026-06-25T09:35:00+05:30,2757.50,2758.40,2755.10,2757.70,421
2026-06-25T09:36:00+05:30,2757.10,2758.20,2755.60,2756.40,293
2026-06-25T09:37:00+05:30,2756.20,2759.60,2755.40,2759.60,578
2026-06-25T09:38:00+05:30,2759.80,2759.80,2758.30,2758.80,153
2026-06-25T09:39:00+05:30,2759.40,2760.10,2759.30,2760.10,137
2026-06-25T09:40:00+05:30,2758.70,2759.90,2758.70,2759.00,128
2026-06-25T09:41:00+05:30,2757.50,2759.60,2757.50,2758.90,37
2026-06-25T09:42:00+05:30,2759.00,2760.00,2758.90,2760.00,116
2026-06-25T09:43:00+05:30,2758.90,2759.60,2758.20,2758.20,575
2026-06-25T09:44:00+05:30,2758.00,2758.20,2757.30,2757.70,24
2026-06-25T09:45:00+05:30,2756.60,2757.40,2756.30,2757.40,978
2026-06-25T09:46:00+05:30,2757.60,2758.00,2757.60,2757.60,50
2026-06-25T09:47:00+05:30,2757.60,2757.60,2755.10,2755.70,234
2026-06-25T09:48:00+05:30,2755.50,2756.00,2755.10,2755.50,58
2026-06-25T09:49:00+05:30,2755.50,2756.50,2755.50,2755.70,80
2026-06-25T09:50:00+05:30,2755.70,2756.30,2755.70,2755.90,55
2026-06-25T09:51:00+05:30,2755.90,2757.00,2755.90,2756.00,184
2026-06-25T09:52:00+05:30,2756.00,2756.10,2752.00,2753.00,221
2026-06-25T09:53:00+05:30,2753.40,2753.70,2752.00,2753.00,65
2026-06-25T09:54:00+05:30,2752.30,2754.90,2751.70,2754.90,583
2026-06-25T09:55:00+05:30,2756.60,2756.60,2752.50,2753.00,149
2026-06-25T09:56:00+05:30,2753.20,2753.90,2751.90,2751.90,700
2026-06-25T09:57:00+05:30,2751.60,2752.30,2750.30,2750.90,570
2026-06-25T09:58:00+05:30,2750.70,2751.20,2750.30,2750.90,143
2026-06-25T09:59:00+05:30,2751.80,2751.80,2750.90,2751.10,129
