ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,108.60,108.60,108.05,108.35,0
2026-06-25T09:16:00+05:30,108.25,108.25,108.10,108.10,55253
2026-06-25T09:17:00+05:30,108.00,108.15,108.00,108.10,149060
2026-06-25T09:18:00+05:30,108.10,108.25,108.10,108.25,85438
2026-06-25T09:19:00+05:30,108.30,108.30,108.15,108.20,78510
2026-06-25T09:20:00+05:30,108.15,108.25,108.15,108.20,44916
2026-06-25T09:21:00+05:30,108.20,108.30,108.20,108.20,37672
2026-06-25T09:22:00+05:30,108.25,108.25,108.20,108.25,64402
2026-06-25T09:23:00+05:30,108.25,108.25,108.15,108.15,32552
2026-06-25T09:24:00+05:30,108.15,108.20,108.10,108.15,53766
2026-06-25T09:25:00+05:30,108.15,108.15,108.05,108.10,41944
2026-06-25T09:26:00+05:30,108.10,108.10,108.10,108.10,50479
2026-06-25T09:27:00+05:30,108.10,108.10,108.05,108.05,15005
2026-06-25T09:28:00+05:30,108.10,108.15,108.10,108.10,44429
2026-06-25T09:29:00+05:30,108.15,108.20,108.15,108.15,34982
2026-06-25T09:30:00+05:30,108.15,108.35,108.15,108.30,125325
2026-06-25T09:31:00+05:30,108.35,108.40,108.35,108.35,24772
2026-06-25T09:32:00+05:30,108.35,108.55,108.35,108.55,97151
2026-06-25T09:33:00+05:30,108.50,108.55,108.45,108.45,26747
2026-06-25T09:34:00+05:30,108.45,108.50,108.40,108.40,33795
2026-06-25T09:35:00+05:30,108.45,108.50,108.40,108.50,33100
2026-06-25T09:36:00+05:30,108.55,108.60,108.50,108.60,54400
2026-06-25T09:37:00+05:30,108.45,108.55,108.45,108.45,56949
2026-06-25T09:38:00+05:30,108.45,108.45,108.40,108.40,51772
2026-06-25T09:39:00+05:30,108.40,108.45,108.40,108.45,50079
2026-06-25T09:40:00+05:30,108.50,108.50,108.40,108.50,87463
2026-06-25T09:41:00+05:30,108.50,108.55,108.45,108.45,135491
2026-06-25T09:42:00+05:30,108.50,108.60,108.50,108.55,284726
2026-06-25T09:43:00+05:30,108.60,108.70,108.60,108.65,174755
2026-06-25T09:44:00+05:30,108.65,108.65,108.65,108.65,89212
2026-06-25T09:45:00+05:30,108.70,108.85,108.70,108.80,137732
2026-06-25T09:46:00+05:30,108.80,108.95,108.80,108.95,109822
2026-06-25T09:47:00+05:30,108.90,108.90,108.85,108.85,93027
2026-06-25T09:48:00+05:30,108.90,108.95,108.85,108.90,398081
2026-06-25T09:49:00+05:30,108.85,108.90,108.80,108.90,89397
2026-06-25T09:50:00+05:30,108.85,108.90,108.85,108.85,80721
2026-06-25T09:51:00+05:30,108.85,108.90,108.85,108.85,50522
2026-06-25T09:52:00+05:30,108.90,108.90,108.80,108.80,77722
2026-06-25T09:53:00+05:30,108.80,108.80,108.70,108.70,84742
2026-06-25T09:54:00+05:30,108.70,108.80,108.70,108.75,76171
2026-06-25T09:55:00+05:30,108.75,108.75,108.65,108.65,33897
2026-06-25T09:56:00+05:30,108.65,108.70,108.55,108.55,17858
2026-06-25T09:57:00+05:30,108.60,108.65,108.55,108.55,224078
2026-06-25T09:58:00+05:30,108.55,108.60,108.50,108.55,81903
2026-06-25T09:59:00+05:30,108.50,108.60,108.50,108.55,35532
2026-06-25T10:00:00+05:30,108.55,108.55,108.45,108.45,78870
2026-06-25T10:01:00+05:30,108.50,108.50,108.40,108.45,30334
2026-06-25T10:02:00+05:30,108.45,108.50,108.45,108.45,16976
2026-06-25T10:03:00+05:30,108.45,108.50,108.40,108.40,146606
2026-06-25T10:04:00+05:30,108.40,108.40,108.35,108.35,37531
2026-06-25T10:05:00+05:30,108.35,108.35,108.20,108.20,43825
2026-06-25T10:06:00+05:30,108.20,108.25,107.95,108.10,673691
2026-06-25T10:07:00+05:30,108.10,108.15,108.00,108.00,149405
2026-06-25T10:08:00+05:30,108.00,108.10,108.00,108.05,102474
2026-06-25T10:09:00+05:30,108.05,108.20,108.05,108.20,79000
2026-06-25T10:10:00+05:30,108.15,108.20,108.10,108.10,32466
2026-06-25T10:11:00+05:30,108.15,108.15,108.10,108.10,15710
2026-06-25T10:12:00+05:30,108.15,108.15,108.10,108.10,9606
2026-06-25T10:13:00+05:30,108.10,108.15,108.10,108.15,54261
2026-06-25T10:14:00+05:30,108.20,108.25,108.20,108.20,39164
2026-06-25T10:15:00+05:30,108.25,108.25,108.20,108.20,36093
2026-06-25T10:16:00+05:30,108.20,108.30,108.15,108.30,64073
2026-06-25T10:17:00+05:30,108.30,108.30,108.15,108.15,54796
2026-06-25T10:18:00+05:30,108.15,108.15,108.15,108.15,11659
2026-06-25T10:19:00+05:30,108.20,108.30,108.15,108.30,79129
2026-06-25T10:20:00+05:30,108.25,108.25,108.20,108.25,30910
2026-06-25T10:21:00+05:30,108.30,108.35,108.25,108.35,35688
2026-06-25T10:22:00+05:30,108.30,108.35,108.20,108.25,26652
2026-06-25T10:23:00+05:30,108.30,108.30,108.25,108.30,31956
2026-06-25T10:24:00+05:30,108.30,108.35,108.25,108.35,27438
2026-06-25T10:25:00+05:30,108.30,108.35,108.25,108.25,27696
2026-06-25T10:26:00+05:30,108.30,108.35,108.30,108.35,47223
2026-06-25T10:27:00+05:30,108.35,108.35,108.30,108.30,16575
2026-06-25T10:28:00+05:30,108.30,108.30,108.20,108.20,25383
2026-06-25T10:29:00+05:30,108.20,108.25,108.20,108.20,17462
2026-06-25T10:30:00+05:30,108.20,108.25,108.20,108.25,21481
2026-06-25T10:31:00+05:30,108.20,108.25,108.20,108.20,14906
2026-06-25T10:32:00+05:30,108.20,108.25,108.20,108.20,42932
2026-06-25T10:33:00+05:30,108.20,108.20,108.10,108.10,59411
2026-06-25T10:34:00+05:30,108.10,108.10,108.05,108.05,16712
2026-06-25T10:35:00+05:30,108.10,108.10,108.05,108.10,15430
2026-06-25T10:36:00+05:30,108.05,108.10,108.05,108.05,13334
2026-06-25T10:37:00+05:30,108.10,108.15,108.10,108.15,25997
2026-06-25T10:38:00+05:30,108.15,108.15,108.10,108.10,33659
2026-06-25T10:39:00+05:30,108.10,108.10,108.10,108.10,17297
2026-06-25T10:40:00+05:30,108.15,108.15,108.10,108.15,9548
2026-06-25T10:41:00+05:30,108.15,108.25,108.15,108.25,51419
2026-06-25T10:42:00+05:30,108.30,108.30,108.15,108.25,23177
2026-06-25T10:43:00+05:30,108.20,108.25,108.15,108.25,30101
2026-06-25T10:44:00+05:30,108.25,108.30,108.25,108.25,11538
2026-06-25T10:45:00+05:30,108.20,108.25,108.20,108.20,6357
2026-06-25T10:46:00+05:30,108.20,108.20,108.20,108.20,27536
2026-06-25T10:47:00+05:30,108.20,108.25,108.20,108.25,12557
2026-06-25T10:48:00+05:30,108.25,108.25,108.25,108.25,16309
2026-06-25T10:49:00+05:30,108.30,108.30,108.20,108.20,40338
2026-06-25T10:50:00+05:30,108.20,108.20,108.20,108.20,9860
2026-06-25T10:51:00+05:30,108.20,108.20,108.15,108.20,27819
2026-06-25T10:52:00+05:30,108.20,108.20,108.20,108.20,38792
2026-06-25T10:53:00+05:30,108.20,108.20,108.15,108.15,6731
2026-06-25T10:54:00+05:30,108.05,108.10,108.00,108.00,42294
2026-06-25T10:55:00+05:30,108.00,108.20,108.00,108.15,52681
2026-06-25T10:56:00+05:30,108.10,108.20,108.10,108.15,36344
2026-06-25T10:57:00+05:30,108.20,108.20,108.20,108.20,43597
2026-06-25T10:58:00+05:30,108.15,108.15,108.15,108.15,37873
2026-06-25T10:59:00+05:30,108.15,108.25,108.15,108.25,18775
2026-06-25T11:00:00+05:30,108.25,108.25,108.20,108.20,14193
2026-06-25T11:01:00+05:30,108.20,108.20,108.20,108.20,20863
2026-06-25T11:02:00+05:30,108.15,108.25,108.15,108.20,14802
2026-06-25T11:03:00+05:30,108.20,108.25,108.20,108.25,26349
2026-06-25T11:04:00+05:30,108.25,108.35,108.25,108.25,33686
2026-06-25T11:05:00+05:30,108.25,108.25,108.25,108.25,9315
2026-06-25T11:06:00+05:30,108.25,108.30,108.25,108.30,24983
2026-06-25T11:07:00+05:30,108.30,108.30,108.25,108.30,6311
2026-06-25T11:08:00+05:30,108.25,108.30,108.25,108.30,10610
2026-06-25T11:09:00+05:30,108.25,108.30,108.25,108.30,8547
2026-06-25T11:10:00+05:30,108.30,108.30,108.20,108.20,9295
2026-06-25T11:11:00+05:30,108.20,108.25,108.20,108.25,31792
2026-06-25T11:12:00+05:30,108.25,108.25,108.20,108.25,10547
2026-06-25T11:13:00+05:30,108.20,108.30,108.20,108.30,20363
2026-06-25T11:14:00+05:30,108.25,108.35,108.25,108.30,8111
2026-06-25T11:15:00+05:30,108.35,108.35,108.25,108.25,61882
2026-06-25T11:16:00+05:30,108.30,108.30,108.25,108.25,19517
2026-06-25T11:17:00+05:30,108.25,108.25,108.15,108.15,43358
2026-06-25T11:18:00+05:30,108.20,108.20,108.15,108.20,31864
2026-06-25T11:19:00+05:30,108.20,108.25,108.20,108.25,26788
2026-06-25T11:20:00+05:30,108.25,108.25,108.20,108.25,11548
2026-06-25T11:21:00+05:30,108.20,108.25,108.20,108.25,35077
2026-06-25T11:22:00+05:30,108.25,108.30,108.20,108.30,28852
2026-06-25T11:23:00+05:30,108.30,108.30,108.25,108.25,17422
2026-06-25T11:24:00+05:30,108.30,108.30,108.20,108.25,17421
2026-06-25T11:25:00+05:30,108.25,108.35,108.25,108.35,69235
2026-06-25T11:26:00+05:30,108.35,108.35,108.30,108.30,5960
2026-06-25T11:27:00+05:30,108.30,108.40,108.30,108.40,61101
2026-06-25T11:28:00+05:30,108.40,108.40,108.40,108.40,34920
2026-06-25T11:29:00+05:30,108.40,108.40,108.30,108.30,13566
2026-06-25T11:30:00+05:30,108.35,108.40,108.30,108.30,40160
