ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,9700.00,9748.00,9700.00,9732.00,0
2026-06-25T09:16:00+05:30,9738.00,9738.00,9688.50,9700.50,5409
2026-06-25T09:17:00+05:30,9696.00,9700.50,9668.00,9668.00,2769
2026-06-25T09:18:00+05:30,9670.00,9670.00,9642.50,9648.50,4655
2026-06-25T09:19:00+05:30,9654.50,9663.50,9650.50,9654.00,2320
2026-06-25T09:20:00+05:30,9654.00,9654.00,9600.00,9615.00,8565
2026-06-25T09:21:00+05:30,9615.50,9624.50,9614.50,9619.00,2019
2026-06-25T09:22:00+05:30,9610.00,9623.00,9603.00,9619.00,3970
2026-06-25T09:23:00+05:30,9623.00,9633.00,9620.50,9625.50,2287
2026-06-25T09:24:00+05:30,9621.00,9629.50,9620.50,9626.00,1982
2026-06-25T09:25:00+05:30,9624.00,9625.00,9620.50,9624.50,2476
2026-06-25T09:26:00+05:30,9613.50,9613.50,9593.00,9599.00,4813
2026-06-25T09:27:00+05:30,9599.00,9599.50,9587.50,9599.00,1913
2026-06-25T09:28:00+05:30,9596.50,9612.50,9596.50,9611.50,1923
2026-06-25T09:29:00+05:30,9610.00,9612.00,9604.50,9606.50,1585
2026-06-25T09:30:00+05:30,9606.00,9610.50,9606.00,9610.50,1417
2026-06-25T09:31:00+05:30,9610.50,9618.00,9610.50,9612.50,1112
2026-06-25T09:32:00+05:30,9612.50,9615.00,9609.00,9613.00,1375
2026-06-25T09:33:00+05:30,9612.50,9616.50,9612.50,9616.00,619
2026-06-25T09:34:00+05:30,9616.50,9624.50,9616.50,9622.00,624
2026-06-25T09:35:00+05:30,9620.50,9626.00,9620.50,9626.00,1466
2026-06-25T09:36:00+05:30,9625.50,9631.50,9625.50,9626.50,591
2026-06-25T09:37:00+05:30,9626.50,9627.00,9623.00,9627.00,1939
2026-06-25T09:38:00+05:30,9641.00,9665.00,9641.00,9662.00,5035
2026-06-25T09:39:00+05:30,9665.00,9684.50,9665.00,9684.00,2928
2026-06-25T09:40:00+05:30,9681.00,9681.00,9668.00,9668.50,1020
2026-06-25T09:41:00+05:30,9667.50,9667.50,9650.00,9650.00,1499
2026-06-25T09:42:00+05:30,9652.50,9665.50,9649.50,9665.50,2509
2026-06-25T09:43:00+05:30,9665.50,9670.00,9665.50,9666.00,2285
2026-06-25T09:44:00+05:30,9665.00,9665.00,9661.50,9662.00,1239
2026-06-25T09:45:00+05:30,9666.00,9668.50,9664.00,9666.00,431
2026-06-25T09:46:00+05:30,9663.00,9666.50,9662.00,9662.00,309
2026-06-25T09:47:00+05:30,9665.00,9665.00,9658.00,9658.00,542
2026-06-25T09:48:00+05:30,9654.00,9655.00,9651.50,9652.50,252
2026-06-25T09:49:00+05:30,9651.50,9654.50,9651.50,9653.50,357
2026-06-25T09:50:00+05:30,9656.00,9658.00,9654.50,9654.50,224
2026-06-25T09:51:00+05:30,9656.00,9657.00,9652.50,9652.50,315
2026-06-25T09:52:00+05:30,9653.00,9658.00,9652.50,9657.00,308
2026-06-25T09:53:00+05:30,9657.00,9658.50,9654.50,9656.50,593
2026-06-25T09:54:00+05:30,9656.50,9659.00,9654.00,9659.00,576
2026-06-25T09:55:00+05:30,9654.50,9665.00,9652.00,9655.50,1494
2026-06-25T09:56:00+05:30,9655.50,9655.50,9652.50,9654.00,329
2026-06-25T09:57:00+05:30,9654.00,9663.00,9653.50,9663.00,758
2026-06-25T09:58:00+05:30,9663.00,9663.00,9661.00,9663.00,483
2026-06-25T09:59:00+05:30,9663.00,9668.00,9663.00,9668.00,652
2026-06-25T10:00:00+05:30,9668.50,9675.00,9668.50,9673.50,2770
2026-06-25T10:01:00+05:30,9672.50,9690.50,9671.50,9690.50,1782
2026-06-25T10:02:00+05:30,9686.50,9689.00,9681.00,9681.00,1183
2026-06-25T10:03:00+05:30,9681.50,9683.00,9681.00,9683.00,394
2026-06-25T10:04:00+05:30,9683.00,9684.50,9680.50,9684.50,1372
2026-06-25T10:05:00+05:30,9684.00,9684.00,9676.00,9682.50,778
2026-06-25T10:06:00+05:30,9680.50,9690.00,9680.00,9690.00,2374
2026-06-25T10:07:00+05:30,9691.00,9694.50,9690.50,9694.50,956
2026-06-25T10:08:00+05:30,9695.00,9709.00,9694.50,9708.50,2784
2026-06-25T10:09:00+05:30,9708.50,9712.00,9706.00,9708.00,1487
2026-06-25T10:10:00+05:30,9711.50,9718.00,9711.00,9718.00,771
2026-06-25T10:11:00+05:30,9718.00,9718.00,9693.00,9693.00,1577
2026-06-25T10:12:00+05:30,9692.00,9692.00,9680.00,9680.50,776
2026-06-25T10:13:00+05:30,9681.00,9681.00,9675.00,9675.50,715
2026-06-25T10:14:00+05:30,9678.00,9678.00,9675.00,9677.50,465
2026-06-25T10:15:00+05:30,9677.50,9684.00,9676.00,9682.00,826
2026-06-25T10:16:00+05:30,9683.50,9683.50,9681.00,9681.00,271
2026-06-25T10:17:00+05:30,9679.00,9683.00,9669.00,9669.00,809
2026-06-25T10:18:00+05:30,9668.50,9669.50,9664.50,9664.50,526
2026-06-25T10:19:00+05:30,9664.50,9674.50,9660.00,9674.50,1292
2026-06-25T10:20:00+05:30,9674.50,9678.00,9672.50,9674.00,470
2026-06-25T10:21:00+05:30,9674.50,9674.50,9674.00,9674.50,264
2026-06-25T10:22:00+05:30,9674.50,9676.00,9672.00,9676.00,461
2026-06-25T10:23:00+05:30,9675.00,9675.00,9671.50,9671.50,267
2026-06-25T10:24:00+05:30,9674.00,9674.00,9667.00,9669.00,497
2026-06-25T10:25:00+05:30,9669.50,9673.00,9669.00,9673.00,446
2026-06-25T10:26:00+05:30,9672.50,9673.50,9672.50,9672.50,757
2026-06-25T10:27:00+05:30,9673.00,9674.50,9670.50,9672.00,202
2026-06-25T10:28:00+05:30,9670.50,9672.00,9667.50,9667.50,250
2026-06-25T10:29:00+05:30,9669.00,9671.50,9661.50,9661.50,431
