ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1552.50,1564.90,1552.50,1563.90,0
2026-06-25T09:16:00+05:30,1562.70,1566.90,1562.60,1563.90,5147
2026-06-25T09:17:00+05:30,1564.50,1564.50,1560.90,1561.70,1879
2026-06-25T09:18:00+05:30,1560.90,1562.00,1559.40,1560.40,2703
2026-06-25T09:19:00+05:30,1561.30,1561.30,1555.80,1556.00,1123
2026-06-25T09:20:00+05:30,1560.00,1571.90,1559.60,1570.00,12117
2026-06-25T09:21:00+05:30,1570.30,1575.00,1569.00,1573.20,4891
2026-06-25T09:22:00+05:30,1574.00,1576.40,1570.20,1570.20,6210
2026-06-25T09:23:00+05:30,1570.40,1570.90,1567.60,1569.10,2577
2026-06-25T09:24:00+05:30,1568.10,1569.20,1566.90,1569.20,1268
2026-06-25T09:25:00+05:30,1570.00,1571.50,1569.40,1569.80,4305
2026-06-25T09:26:00+05:30,1568.70,1569.40,1567.40,1567.40,416
2026-06-25T09:27:00+05:30,1568.20,1568.20,1565.10,1565.10,1302
2026-06-25T09:28:00+05:30,1565.70,1568.00,1565.70,1565.90,2635
2026-06-25T09:29:00+05:30,1566.00,1567.90,1565.90,1567.00,1804
2026-06-25T09:30:00+05:30,1567.00,1568.50,1566.00,1568.50,3044
2026-06-25T09:31:00+05:30,1569.00,1569.40,1566.20,1566.40,631
2026-06-25T09:32:00+05:30,1567.00,1567.10,1565.20,1566.00,1262
2026-06-25T09:33:00+05:30,1566.00,1569.00,1564.30,1569.00,2878
2026-06-25T09:34:00+05:30,1569.00,1570.30,1566.00,1566.20,4336
2026-06-25T09:35:00+05:30,1566.30,1566.80,1565.50,1566.00,433
2026-06-25T09:36:00+05:30,1566.10,1566.10,1560.90,1561.00,3014
2026-06-25T09:37:00+05:30,1560.50,1563.00,1560.10,1562.20,4288
2026-06-25T09:38:00+05:30,1562.00,1563.60,1561.60,1562.10,2197
2026-06-25T09:39:00+05:30,1562.30,1563.00,1561.10,1563.00,322
2026-06-25T09:40:00+05:30,1562.90,1563.80,1561.90,1562.90,854
2026-06-25T09:41:00+05:30,1562.50,1564.40,1562.50,1563.60,79
2026-06-25T09:42:00+05:30,1563.30,1566.40,1562.30,1566.40,1278
2026-06-25T09:43:00+05:30,1566.70,1569.80,1566.00,1569.40,5990
2026-06-25T09:44:00+05:30,1569.60,1570.90,1568.30,1570.90,2292
2026-06-25T09:45:00+05:30,1570.00,1570.90,1568.30,1569.30,1533
2026-06-25T09:46:00+05:30,1569.20,1573.30,1569.20,1572.50,3629
2026-06-25T09:47:00+05:30,1572.10,1572.60,1568.30,1568.60,2737
2026-06-25T09:48:00+05:30,1568.90,1570.20,1567.80,1568.90,2173
2026-06-25T09:49:00+05:30,1568.30,1569.00,1567.50,1568.10,875
2026-06-25T09:50:00+05:30,1568.10,1568.80,1564.00,1564.00,2233
2026-06-25T09:51:00+05:30,1563.10,1564.50,1563.10,1564.50,313
2026-06-25T09:52:00+05:30,1564.50,1567.50,1564.50,1566.10,1399
2026-06-25T09:53:00+05:30,1565.00,1565.70,1562.10,1562.10,2887
2026-06-25T09:54:00+05:30,1562.40,1563.30,1562.40,1563.00,305
2026-06-25T09:55:00+05:30,1562.50,1563.10,1561.40,1562.40,280
2026-06-25T09:56:00+05:30,1561.00,1561.70,1561.00,1561.10,1442
2026-06-25T09:57:00+05:30,1561.00,1561.00,1558.90,1558.90,2107
2026-06-25T09:58:00+05:30,1561.00,1561.00,1558.80,1560.00,2553
2026-06-25T09:59:00+05:30,1559.90,1559.90,1558.40,1558.40,227
2026-06-25T10:00:00+05:30,1558.40,1559.10,1556.30,1557.00,1469
2026-06-25T10:01:00+05:30,1557.90,1557.90,1555.60,1555.60,796
2026-06-25T10:02:00+05:30,1556.70,1556.80,1555.90,1556.80,404
2026-06-25T10:03:00+05:30,1557.00,1557.40,1555.70,1556.60,2053
2026-06-25T10:04:00+05:30,1556.00,1556.80,1553.00,1553.40,3663
2026-06-25T10:05:00+05:30,1554.80,1554.80,1552.00,1552.00,1196
2026-06-25T10:06:00+05:30,1552.70,1553.90,1551.40,1553.90,898
2026-06-25T10:07:00+05:30,1554.20,1554.80,1553.70,1553.70,581
2026-06-25T10:08:00+05:30,1553.50,1554.60,1553.20,1553.30,705
2026-06-25T10:09:00+05:30,1553.30,1554.60,1553.30,1554.20,1065
2026-06-25T10:10:00+05:30,1554.90,1555.30,1554.90,1555.30,34
2026-06-25T10:11:00+05:30,1554.80,1554.80,1553.90,1554.00,217
2026-06-25T10:12:00+05:30,1555.50,1558.00,1555.20,1555.20,2545
2026-06-25T10:13:00+05:30,1555.40,1555.40,1552.00,1552.00,1631
2026-06-25T10:14:00+05:30,1553.10,1554.70,1553.10,1554.10,1297
