ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,364.75,365.30,364.75,365.00,0
2026-06-25T09:16:00+05:30,365.00,365.50,365.00,365.25,22440
2026-06-25T09:17:00+05:30,364.85,365.00,364.30,365.00,34756
2026-06-25T09:18:00+05:30,364.80,365.25,364.80,365.25,11896
2026-06-25T09:19:00+05:30,365.10,365.10,364.55,364.90,69511
2026-06-25T09:20:00+05:30,365.25,365.40,365.05,365.05,38972
2026-06-25T09:21:00+05:30,365.05,365.45,364.85,365.30,38995
2026-06-25T09:22:00+05:30,365.50,365.80,365.35,365.50,9268
2026-06-25T09:23:00+05:30,365.60,366.10,365.60,365.75,38640
2026-06-25T09:24:00+05:30,365.90,365.90,365.05,365.10,9833
2026-06-25T09:25:00+05:30,365.05,365.60,365.00,365.00,58561
2026-06-25T09:26:00+05:30,364.80,364.85,364.30,364.50,17989
2026-06-25T09:27:00+05:30,364.40,364.60,364.35,364.60,5019
2026-06-25T09:28:00+05:30,364.65,364.65,364.40,364.50,7402
2026-06-25T09:29:00+05:30,364.50,366.40,364.50,366.40,77401
2026-06-25T09:30:00+05:30,366.25,366.30,365.80,365.95,9122
2026-06-25T09:31:00+05:30,366.00,366.00,365.60,365.60,7852
2026-06-25T09:32:00+05:30,365.50,365.70,365.35,365.35,5261
2026-06-25T09:33:00+05:30,365.30,365.30,364.95,365.20,7378
2026-06-25T09:34:00+05:30,365.20,365.35,365.20,365.35,5781
2026-06-25T09:35:00+05:30,365.25,365.40,365.25,365.40,4716
2026-06-25T09:36:00+05:30,365.40,365.40,365.15,365.15,49104
2026-06-25T09:37:00+05:30,365.20,365.35,365.20,365.25,1971
2026-06-25T09:38:00+05:30,365.30,365.35,365.20,365.20,4233
2026-06-25T09:39:00+05:30,365.15,365.15,364.85,365.15,41550
2026-06-25T09:40:00+05:30,364.95,365.00,364.85,364.95,7478
2026-06-25T09:41:00+05:30,365.00,365.20,364.95,365.05,3018
2026-06-25T09:42:00+05:30,364.95,365.20,364.95,365.05,9995
2026-06-25T09:43:00+05:30,365.10,365.25,365.10,365.10,5539
2026-06-25T09:44:00+05:30,365.10,365.10,364.65,364.80,2668
2026-06-25T09:45:00+05:30,364.80,364.80,364.45,364.45,9201
2026-06-25T09:46:00+05:30,364.40,364.40,364.00,364.25,19028
2026-06-25T09:47:00+05:30,364.30,364.35,364.00,364.05,8312
2026-06-25T09:48:00+05:30,364.05,364.10,362.90,362.90,40841
2026-06-25T09:49:00+05:30,363.00,363.00,362.80,363.00,19165
2026-06-25T09:50:00+05:30,363.05,363.05,362.65,362.75,8541
2026-06-25T09:51:00+05:30,362.75,362.90,362.65,362.90,3746
2026-06-25T09:52:00+05:30,362.95,363.00,362.80,362.80,7854
2026-06-25T09:53:00+05:30,362.80,362.85,362.65,362.85,2121
2026-06-25T09:54:00+05:30,362.80,362.95,362.80,362.80,3334
2026-06-25T09:55:00+05:30,362.90,363.00,362.80,363.00,5703
2026-06-25T09:56:00+05:30,363.00,363.00,362.85,362.90,2070
2026-06-25T09:57:00+05:30,362.90,363.00,362.50,362.55,24768
2026-06-25T09:58:00+05:30,362.50,362.55,362.30,362.30,7987
2026-06-25T09:59:00+05:30,362.40,362.45,362.30,362.35,8317
2026-06-25T10:00:00+05:30,362.30,362.45,362.30,362.45,6336
2026-06-25T10:01:00+05:30,362.40,362.45,362.40,362.40,1747
2026-06-25T10:02:00+05:30,362.40,362.55,362.35,362.55,13211
2026-06-25T10:03:00+05:30,362.50,362.50,362.10,362.10,5014
2026-06-25T10:04:00+05:30,362.10,362.40,362.10,362.40,2979
2026-06-25T10:05:00+05:30,362.20,362.35,362.15,362.20,1760
2026-06-25T10:06:00+05:30,362.25,362.40,362.20,362.40,2534
2026-06-25T10:07:00+05:30,362.35,362.35,362.20,362.20,1827
2026-06-25T10:08:00+05:30,362.20,362.25,362.15,362.25,4085
2026-06-25T10:09:00+05:30,362.25,362.25,362.00,362.15,42011
2026-06-25T10:10:00+05:30,362.25,362.25,362.10,362.10,10362
2026-06-25T10:11:00+05:30,362.15,362.15,362.05,362.15,5882
2026-06-25T10:12:00+05:30,362.00,362.25,362.00,362.20,2148
2026-06-25T10:13:00+05:30,362.20,362.25,360.80,360.90,268672
2026-06-25T10:14:00+05:30,360.85,361.00,360.75,360.95,63343
2026-06-25T10:15:00+05:30,360.95,361.00,360.90,361.00,12408
2026-06-25T10:16:00+05:30,360.90,361.05,360.80,360.85,10912
2026-06-25T10:17:00+05:30,360.80,361.00,360.70,360.75,14479
2026-06-25T10:18:00+05:30,360.55,360.75,360.45,360.70,31439
2026-06-25T10:19:00+05:30,360.75,361.00,360.75,360.85,49081
2026-06-25T10:20:00+05:30,360.75,360.75,360.50,360.65,78420
2026-06-25T10:21:00+05:30,360.70,360.70,360.45,360.55,12970
2026-06-25T10:22:00+05:30,360.50,360.55,360.40,360.55,8496
2026-06-25T10:23:00+05:30,360.35,360.55,360.20,360.50,37505
2026-06-25T10:24:00+05:30,360.25,360.45,360.25,360.40,31812
2026-06-25T10:25:00+05:30,360.50,361.00,360.50,361.00,6171
2026-06-25T10:26:00+05:30,360.90,361.00,360.70,360.80,9094
2026-06-25T10:27:00+05:30,360.70,360.70,360.35,360.40,6726
2026-06-25T10:28:00+05:30,360.50,360.55,360.40,360.50,3068
2026-06-25T10:29:00+05:30,360.50,360.55,360.30,360.50,4425
2026-06-25T10:30:00+05:30,360.50,360.65,360.30,360.65,3714
2026-06-25T10:31:00+05:30,360.50,360.80,360.50,360.55,12675
2026-06-25T10:32:00+05:30,360.70,360.90,360.70,360.90,4075
2026-06-25T10:33:00+05:30,360.90,361.00,360.75,361.00,9589
2026-06-25T10:34:00+05:30,361.00,361.00,360.80,360.80,7133
2026-06-25T10:35:00+05:30,360.80,361.00,360.75,360.85,4178
2026-06-25T10:36:00+05:30,360.80,361.00,360.70,361.00,11765
2026-06-25T10:37:00+05:30,361.00,361.00,360.85,361.00,13757
2026-06-25T10:38:00+05:30,361.00,361.00,360.95,360.95,1972
2026-06-25T10:39:00+05:30,361.00,361.00,360.85,360.85,1875
2026-06-25T10:40:00+05:30,361.00,361.00,360.70,360.70,6537
2026-06-25T10:41:00+05:30,360.85,360.85,360.55,360.60,4255
2026-06-25T10:42:00+05:30,360.75,360.75,360.60,360.60,1506
2026-06-25T10:43:00+05:30,360.70,360.70,360.55,360.65,3559
2026-06-25T10:44:00+05:30,360.55,360.70,360.55,360.60,812
2026-06-25T10:45:00+05:30,360.75,360.75,360.55,360.55,3829
2026-06-25T10:46:00+05:30,360.75,360.75,360.65,360.75,1309
2026-06-25T10:47:00+05:30,360.70,360.75,360.65,360.65,1733
2026-06-25T10:48:00+05:30,360.55,360.65,360.40,360.65,12571
2026-06-25T10:49:00+05:30,360.50,360.70,360.50,360.70,6557
2026-06-25T10:50:00+05:30,360.90,361.00,360.85,361.00,33981
2026-06-25T10:51:00+05:30,361.00,361.00,360.95,361.00,14818
2026-06-25T10:52:00+05:30,361.00,361.00,360.95,360.95,28021
2026-06-25T10:53:00+05:30,361.00,361.00,361.00,361.00,19603
2026-06-25T10:54:00+05:30,361.00,361.00,360.75,360.95,19908
2026-06-25T10:55:00+05:30,361.00,362.20,361.00,362.00,1863515
2026-06-25T10:56:00+05:30,361.80,362.35,361.70,362.00,26450
2026-06-25T10:57:00+05:30,362.15,362.35,362.15,362.25,9227
2026-06-25T10:58:00+05:30,362.15,362.90,362.15,362.65,11750
2026-06-25T10:59:00+05:30,362.90,363.35,362.80,363.35,24273
2026-06-25T11:00:00+05:30,363.30,363.40,363.15,363.15,18355
2026-06-25T11:01:00+05:30,363.15,363.30,363.05,363.20,2169
2026-06-25T11:02:00+05:30,363.10,363.65,363.10,363.50,12202
2026-06-25T11:03:00+05:30,363.50,364.10,363.30,364.10,26960
2026-06-25T11:04:00+05:30,364.10,364.30,364.00,364.30,5777
2026-06-25T11:05:00+05:30,364.15,364.45,364.10,364.30,10648
2026-06-25T11:06:00+05:30,364.30,365.00,364.30,365.00,26363
2026-06-25T11:07:00+05:30,365.00,365.65,365.00,365.60,52099
2026-06-25T11:08:00+05:30,365.55,365.60,365.35,365.40,17895
2026-06-25T11:09:00+05:30,365.40,365.40,365.00,365.00,11549
2026-06-25T11:10:00+05:30,364.95,364.95,364.60,364.70,5263
2026-06-25T11:11:00+05:30,364.70,364.70,364.60,364.65,7118
2026-06-25T11:12:00+05:30,364.65,364.75,364.45,364.55,24029
2026-06-25T11:13:00+05:30,364.50,365.10,364.45,365.10,19313
2026-06-25T11:14:00+05:30,365.05,365.10,365.00,365.10,8564
2026-06-25T11:15:00+05:30,365.10,365.40,365.10,365.35,14746
2026-06-25T11:16:00+05:30,365.40,365.50,365.30,365.40,15763
2026-06-25T11:17:00+05:30,365.30,365.55,365.30,365.55,8268
2026-06-25T11:18:00+05:30,365.30,365.45,365.15,365.45,16702
2026-06-25T11:19:00+05:30,365.45,365.60,365.30,365.30,9670
2026-06-25T11:20:00+05:30,365.40,365.75,365.40,365.70,6788
2026-06-25T11:21:00+05:30,365.70,365.75,365.65,365.65,6243
2026-06-25T11:22:00+05:30,365.75,365.75,365.50,365.60,6763
2026-06-25T11:23:00+05:30,365.60,365.75,365.50,365.75,5978
2026-06-25T11:24:00+05:30,365.75,365.75,365.60,365.70,9005
2026-06-25T11:25:00+05:30,365.70,365.90,365.70,365.85,34499
2026-06-25T11:26:00+05:30,365.80,366.00,365.80,365.85,10424
2026-06-25T11:27:00+05:30,365.80,365.95,365.75,365.75,7583
2026-06-25T11:28:00+05:30,365.80,365.90,365.45,365.45,11231
2026-06-25T11:29:00+05:30,365.75,365.75,365.40,365.60,4559
2026-06-25T11:30:00+05:30,365.75,365.90,365.65,365.65,14579
2026-06-25T11:31:00+05:30,365.50,365.50,365.30,365.40,4316
2026-06-25T11:32:00+05:30,365.40,365.65,365.40,365.50,6223
2026-06-25T11:33:00+05:30,365.50,365.55,365.30,365.40,7035
2026-06-25T11:34:00+05:30,365.40,365.65,365.40,365.60,5815
2026-06-25T11:35:00+05:30,365.65,365.65,365.40,365.40,3550
2026-06-25T11:36:00+05:30,365.40,365.40,364.90,365.15,11482
2026-06-25T11:37:00+05:30,365.15,365.15,364.85,365.05,4279
2026-06-25T11:38:00+05:30,365.15,365.15,364.90,364.90,3380
2026-06-25T11:39:00+05:30,365.10,365.20,365.10,365.20,1484
2026-06-25T11:40:00+05:30,365.20,365.40,365.10,365.25,7800
2026-06-25T11:41:00+05:30,365.25,365.25,365.05,365.20,4155
2026-06-25T11:42:00+05:30,365.05,365.20,365.00,365.10,1062
2026-06-25T11:43:00+05:30,364.95,365.05,364.95,365.00,2422
2026-06-25T11:44:00+05:30,365.15,365.15,364.95,365.00,2338
2026-06-25T11:45:00+05:30,364.95,364.95,364.80,364.80,3653
2026-06-25T11:46:00+05:30,364.65,364.85,364.65,364.65,6055
2026-06-25T11:47:00+05:30,364.55,364.85,364.45,364.55,8733
2026-06-25T11:48:00+05:30,364.80,364.80,364.65,364.65,2922
2026-06-25T11:49:00+05:30,364.65,364.90,364.65,364.80,6101
2026-06-25T11:50:00+05:30,364.70,364.90,364.65,364.75,2637
2026-06-25T11:51:00+05:30,364.75,364.90,364.60,364.80,2358
2026-06-25T11:52:00+05:30,364.75,364.80,364.70,364.80,355
2026-06-25T11:53:00+05:30,364.80,364.80,364.60,364.80,2566
2026-06-25T11:54:00+05:30,364.65,364.90,364.65,364.90,583
2026-06-25T11:55:00+05:30,364.70,364.90,364.70,364.90,5458
2026-06-25T11:56:00+05:30,364.90,365.00,364.85,365.00,2253
2026-06-25T11:57:00+05:30,365.00,365.10,364.85,364.90,2981
2026-06-25T11:58:00+05:30,364.80,365.05,364.80,365.05,6543
2026-06-25T11:59:00+05:30,365.00,365.10,364.70,364.70,5178
2026-06-25T12:00:00+05:30,364.95,364.95,364.80,364.95,301
2026-06-25T12:01:00+05:30,364.80,364.90,364.75,364.75,1433
2026-06-25T12:02:00+05:30,364.80,364.95,364.80,364.95,800
2026-06-25T12:03:00+05:30,364.65,364.95,364.65,364.80,9802
2026-06-25T12:04:00+05:30,364.85,364.95,364.85,364.90,1715
2026-06-25T12:05:00+05:30,364.90,365.00,364.85,365.00,4376
2026-06-25T12:06:00+05:30,365.05,365.05,364.55,364.75,8986
2026-06-25T12:07:00+05:30,364.85,364.85,364.60,364.70,2705
2026-06-25T12:08:00+05:30,364.70,364.95,364.70,364.80,5218
2026-06-25T12:09:00+05:30,364.90,365.05,364.80,365.05,2918
2026-06-25T12:10:00+05:30,365.05,365.20,364.95,365.20,7473
2026-06-25T12:11:00+05:30,365.35,365.75,365.10,365.50,10237
2026-06-25T12:12:00+05:30,365.45,365.80,365.45,365.65,16680
2026-06-25T12:13:00+05:30,365.60,365.80,365.55,365.70,7592
2026-06-25T12:14:00+05:30,365.70,365.75,365.60,365.60,3327
2026-06-25T12:15:00+05:30,365.70,365.80,365.60,365.80,5993
2026-06-25T12:16:00+05:30,365.60,365.80,365.60,365.60,5665
2026-06-25T12:17:00+05:30,365.80,365.80,365.55,365.55,5206
2026-06-25T12:18:00+05:30,365.65,365.70,365.35,365.50,10556
