ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,241.00,241.45,240.95,241.45,0
2026-06-25T09:16:00+05:30,242.20,242.70,241.65,242.25,147721
2026-06-25T09:17:00+05:30,242.40,242.45,241.80,242.25,87275
2026-06-25T09:18:00+05:30,242.20,242.95,241.80,242.80,123533
2026-06-25T09:19:00+05:30,243.10,244.35,242.85,243.80,113621
2026-06-25T09:20:00+05:30,243.80,245.25,243.75,245.00,161045
2026-06-25T09:21:00+05:30,245.05,245.05,244.55,245.00,75712
2026-06-25T09:22:00+05:30,244.95,245.00,244.70,244.85,62735
2026-06-25T09:23:00+05:30,244.85,245.35,244.85,244.90,143435
2026-06-25T09:24:00+05:30,244.90,245.25,244.80,245.00,80950
2026-06-25T09:25:00+05:30,245.00,245.00,244.60,244.70,54956
2026-06-25T09:26:00+05:30,244.60,245.00,244.30,244.50,95347
2026-06-25T09:27:00+05:30,244.50,244.65,244.30,244.55,51960
2026-06-25T09:28:00+05:30,244.75,245.15,244.60,245.00,150707
2026-06-25T09:29:00+05:30,245.00,245.05,244.30,244.85,63449
2026-06-25T09:30:00+05:30,244.85,244.90,244.40,244.45,33309
2026-06-25T09:31:00+05:30,244.50,244.65,244.10,244.15,52356
2026-06-25T09:32:00+05:30,244.05,244.15,243.40,243.50,63430
2026-06-25T09:33:00+05:30,243.65,243.65,243.05,243.30,53359
2026-06-25T09:34:00+05:30,243.40,243.90,243.30,243.60,50153
2026-06-25T09:35:00+05:30,243.50,243.90,243.35,243.60,33628
2026-06-25T09:36:00+05:30,243.60,243.70,243.40,243.50,13455
2026-06-25T09:37:00+05:30,243.60,243.60,243.25,243.40,40421
2026-06-25T09:38:00+05:30,243.30,243.60,243.25,243.25,24445
2026-06-25T09:39:00+05:30,243.20,244.00,243.20,243.80,22642
2026-06-25T09:40:00+05:30,243.80,244.45,243.75,244.15,90886
2026-06-25T09:41:00+05:30,244.20,244.50,244.00,244.25,33965
2026-06-25T09:42:00+05:30,244.20,244.45,244.10,244.35,15720
2026-06-25T09:43:00+05:30,244.40,244.60,244.15,244.30,28182
2026-06-25T09:44:00+05:30,244.40,244.45,244.10,244.20,25346
2026-06-25T09:45:00+05:30,244.20,244.45,244.10,244.20,21780
2026-06-25T09:46:00+05:30,244.20,244.30,244.00,244.20,15748
2026-06-25T09:47:00+05:30,244.30,244.30,244.00,244.20,27830
2026-06-25T09:48:00+05:30,244.05,244.10,243.60,243.60,21698
2026-06-25T09:49:00+05:30,243.70,243.80,243.50,243.50,25615
2026-06-25T09:50:00+05:30,243.50,243.55,243.10,243.20,29476
2026-06-25T09:51:00+05:30,243.20,243.25,243.15,243.20,88627
2026-06-25T09:52:00+05:30,243.30,243.45,243.20,243.40,20397
2026-06-25T09:53:00+05:30,243.25,243.30,243.10,243.20,22073
