ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,170.70,171.25,170.60,170.60,0
2026-06-25T09:16:00+05:30,170.45,171.00,170.10,170.95,170690
2026-06-25T09:17:00+05:30,170.85,170.85,170.30,170.50,172817
2026-06-25T09:18:00+05:30,170.55,171.25,170.45,171.05,86907
2026-06-25T09:19:00+05:30,171.15,171.20,170.55,170.65,55395
2026-06-25T09:20:00+05:30,170.65,170.65,170.45,170.45,33343
2026-06-25T09:21:00+05:30,170.50,170.55,170.35,170.45,57511
2026-06-25T09:22:00+05:30,170.55,170.65,170.40,170.45,25299
2026-06-25T09:23:00+05:30,170.45,170.50,170.45,170.50,14826
2026-06-25T09:24:00+05:30,170.10,170.10,169.90,170.00,135574
2026-06-25T09:25:00+05:30,170.10,170.65,170.10,170.60,50155
2026-06-25T09:26:00+05:30,170.60,170.95,170.55,170.90,50572
2026-06-25T09:27:00+05:30,170.75,170.80,170.70,170.70,43058
2026-06-25T09:28:00+05:30,170.75,170.95,170.75,170.95,31428
2026-06-25T09:29:00+05:30,170.95,170.95,170.75,170.85,25138
2026-06-25T09:30:00+05:30,170.85,170.90,170.65,170.65,28724
2026-06-25T09:31:00+05:30,170.70,170.70,170.40,170.45,32750
2026-06-25T09:32:00+05:30,170.45,170.55,170.45,170.55,35407
2026-06-25T09:33:00+05:30,170.40,170.90,170.40,170.75,45845
2026-06-25T09:34:00+05:30,170.75,170.85,170.70,170.85,20155
2026-06-25T09:35:00+05:30,170.85,171.15,170.80,171.00,25603
2026-06-25T09:36:00+05:30,171.00,171.45,171.00,171.45,29213
2026-06-25T09:37:00+05:30,171.40,171.85,171.40,171.75,89932
2026-06-25T09:38:00+05:30,171.75,171.85,171.65,171.80,47655
2026-06-25T09:39:00+05:30,171.75,171.80,171.50,171.75,49519
2026-06-25T09:40:00+05:30,171.70,171.70,171.45,171.65,54332
2026-06-25T09:41:00+05:30,171.65,171.70,171.55,171.55,20968
2026-06-25T09:42:00+05:30,171.40,171.45,171.35,171.40,24337
2026-06-25T09:43:00+05:30,171.40,171.40,171.25,171.25,22084
2026-06-25T09:44:00+05:30,171.25,171.25,171.20,171.20,16475
2026-06-25T09:45:00+05:30,171.20,171.25,171.15,171.25,33263
2026-06-25T09:46:00+05:30,171.25,171.45,171.20,171.45,14065
2026-06-25T09:47:00+05:30,171.45,171.45,171.20,171.30,24174
2026-06-25T09:48:00+05:30,171.30,171.30,171.05,171.15,19352
2026-06-25T09:49:00+05:30,171.05,171.10,171.05,171.05,41007
2026-06-25T09:50:00+05:30,171.05,171.20,171.05,171.10,29709
2026-06-25T09:51:00+05:30,171.10,171.10,171.05,171.05,6739
2026-06-25T09:52:00+05:30,171.05,171.05,170.70,170.95,29700
2026-06-25T09:53:00+05:30,170.90,170.90,170.75,170.80,9078
2026-06-25T09:54:00+05:30,170.85,170.85,170.70,170.70,13711
2026-06-25T09:55:00+05:30,170.75,170.75,170.60,170.70,26593
2026-06-25T09:56:00+05:30,170.85,170.95,170.80,170.95,23876
2026-06-25T09:57:00+05:30,170.90,170.95,170.75,170.75,25457
