ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1786.20,1789.00,1782.90,1789.00,0
2026-06-24T09:16:00+05:30,1785.70,1786.90,1780.20,1780.20,12890
2026-06-24T09:17:00+05:30,1780.20,1781.00,1775.00,1775.00,10538
2026-06-24T09:18:00+05:30,1775.00,1777.10,1773.00,1773.30,5199
2026-06-24T09:19:00+05:30,1773.50,1774.00,1770.00,1770.00,6060
2026-06-24T09:20:00+05:30,1770.10,1773.00,1770.10,1770.50,2713
2026-06-24T09:21:00+05:30,1771.10,1772.30,1771.10,1772.30,1784
2026-06-24T09:22:00+05:30,1772.50,1773.60,1771.50,1772.90,1885
2026-06-24T09:23:00+05:30,1773.00,1773.50,1771.10,1772.20,2038
2026-06-24T09:24:00+05:30,1772.90,1772.90,1769.30,1770.10,2173
2026-06-24T09:25:00+05:30,1769.90,1771.80,1769.90,1771.30,2254
2026-06-24T09:26:00+05:30,1771.20,1775.20,1770.60,1775.20,2113
2026-06-24T09:27:00+05:30,1775.90,1776.60,1775.10,1776.20,1076
2026-06-24T09:28:00+05:30,1776.70,1776.80,1771.10,1771.10,1482
2026-06-24T09:29:00+05:30,1770.50,1770.50,1766.00,1766.10,4300
2026-06-24T09:30:00+05:30,1765.60,1767.20,1765.10,1765.10,3217
2026-06-24T09:31:00+05:30,1765.20,1765.50,1764.00,1764.30,2466
2026-06-24T09:32:00+05:30,1764.30,1765.00,1764.10,1764.10,2052
2026-06-24T09:33:00+05:30,1764.10,1764.60,1763.00,1763.50,2751
2026-06-24T09:34:00+05:30,1761.40,1762.30,1760.40,1760.70,4539
2026-06-24T09:35:00+05:30,1760.60,1760.90,1760.00,1760.50,4920
2026-06-24T09:36:00+05:30,1761.60,1764.90,1761.60,1762.60,2506
2026-06-24T09:37:00+05:30,1762.70,1765.20,1762.50,1764.40,1629
2026-06-24T09:38:00+05:30,1764.10,1766.30,1763.80,1763.80,2696
2026-06-24T09:39:00+05:30,1763.80,1767.70,1763.00,1766.30,1872
2026-06-24T09:40:00+05:30,1765.90,1767.40,1765.00,1765.10,1461
2026-06-24T09:41:00+05:30,1765.10,1765.10,1762.50,1762.50,1509
2026-06-24T09:42:00+05:30,1762.20,1762.50,1760.50,1760.50,1587
2026-06-24T09:43:00+05:30,1760.10,1760.40,1758.20,1759.00,2045
2026-06-24T09:44:00+05:30,1758.20,1759.30,1758.20,1759.30,3041
2026-06-24T09:45:00+05:30,1758.60,1758.90,1758.00,1758.00,739
2026-06-24T09:46:00+05:30,1758.00,1759.00,1758.00,1758.90,1455
2026-06-24T09:47:00+05:30,1758.00,1758.00,1757.20,1757.60,8815
2026-06-24T09:48:00+05:30,1757.70,1757.80,1757.10,1757.40,2944
2026-06-24T09:49:00+05:30,1757.50,1757.80,1756.90,1757.10,1636
2026-06-24T09:50:00+05:30,1756.50,1756.80,1756.20,1756.70,606
2026-06-24T09:51:00+05:30,1756.70,1756.80,1756.50,1756.60,1100
2026-06-24T09:52:00+05:30,1756.00,1757.20,1756.00,1756.80,803
2026-06-24T09:53:00+05:30,1757.00,1757.80,1756.30,1756.80,1863
2026-06-24T09:54:00+05:30,1757.00,1757.20,1756.70,1757.20,723
2026-06-24T09:55:00+05:30,1756.70,1757.90,1756.70,1757.20,711
2026-06-24T09:56:00+05:30,1757.10,1758.80,1757.00,1758.80,1788
2026-06-24T09:57:00+05:30,1758.80,1759.10,1756.60,1756.60,4545
2026-06-24T09:58:00+05:30,1755.50,1755.50,1753.20,1753.70,5969
2026-06-24T09:59:00+05:30,1753.70,1755.00,1752.50,1754.50,3998
2026-06-24T10:00:00+05:30,1754.20,1758.30,1754.20,1757.70,6526
2026-06-24T10:01:00+05:30,1757.60,1758.30,1756.60,1757.10,1583
2026-06-24T10:02:00+05:30,1757.40,1758.30,1757.40,1758.30,1769
2026-06-24T10:03:00+05:30,1758.90,1761.70,1758.40,1760.40,5274
2026-06-24T10:04:00+05:30,1760.50,1761.50,1759.80,1761.10,1129
2026-06-24T10:05:00+05:30,1761.10,1761.50,1759.30,1760.00,2863
2026-06-24T10:06:00+05:30,1760.20,1761.20,1760.10,1760.40,1306
2026-06-24T10:07:00+05:30,1760.40,1762.50,1760.40,1762.50,1889
2026-06-24T10:08:00+05:30,1763.40,1764.50,1762.90,1763.40,3792
2026-06-24T10:09:00+05:30,1763.30,1763.30,1761.70,1762.20,1979
2026-06-24T10:10:00+05:30,1762.20,1763.40,1762.00,1763.10,3897
2026-06-24T10:11:00+05:30,1762.60,1762.70,1762.00,1762.00,175
2026-06-24T10:12:00+05:30,1762.00,1763.40,1761.70,1762.50,1169
2026-06-24T10:13:00+05:30,1762.70,1763.20,1762.50,1763.20,1172
2026-06-24T10:14:00+05:30,1763.90,1764.40,1761.60,1761.60,3842
2026-06-24T10:15:00+05:30,1761.80,1763.30,1761.50,1761.60,2689
2026-06-24T10:16:00+05:30,1762.00,1762.50,1761.10,1762.10,824
2026-06-24T10:17:00+05:30,1762.20,1763.00,1762.20,1762.50,972
2026-06-24T10:18:00+05:30,1762.90,1762.90,1762.40,1762.60,1379
2026-06-24T10:19:00+05:30,1762.60,1764.60,1762.60,1763.00,4702
2026-06-24T10:20:00+05:30,1763.30,1764.70,1763.00,1764.10,1147
2026-06-24T10:21:00+05:30,1764.20,1764.20,1763.00,1763.40,813
2026-06-24T10:22:00+05:30,1763.40,1763.40,1761.60,1761.60,537
2026-06-24T10:23:00+05:30,1762.10,1762.60,1762.00,1762.50,1514
