ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,73.30,73.30,73.05,73.15,0
2026-06-25T09:16:00+05:30,73.05,73.15,73.00,73.05,14400
2026-06-25T09:17:00+05:30,73.05,73.05,72.95,72.95,5957
2026-06-25T09:18:00+05:30,72.95,72.95,72.85,72.90,19074
2026-06-25T09:19:00+05:30,72.95,72.95,72.90,72.90,12643
2026-06-25T09:20:00+05:30,73.00,73.10,73.00,73.05,4990
2026-06-25T09:21:00+05:30,73.05,73.05,73.00,73.05,3922
2026-06-25T09:22:00+05:30,73.05,73.05,73.00,73.00,8032
2026-06-25T09:23:00+05:30,72.95,73.00,72.90,72.95,6791
2026-06-25T09:24:00+05:30,72.95,72.95,72.90,72.95,6268
2026-06-25T09:25:00+05:30,72.95,72.95,72.85,72.90,15265
2026-06-25T09:26:00+05:30,72.85,72.90,72.85,72.85,18631
2026-06-25T09:27:00+05:30,72.75,72.80,72.70,72.75,17192
2026-06-25T09:28:00+05:30,72.75,72.75,72.70,72.70,6946
2026-06-25T09:29:00+05:30,72.70,72.75,72.65,72.75,3167
2026-06-25T09:30:00+05:30,72.75,72.75,72.70,72.70,1928
2026-06-25T09:31:00+05:30,72.70,72.70,72.60,72.60,12534
2026-06-25T09:32:00+05:30,72.60,72.60,72.55,72.55,9985
2026-06-25T09:33:00+05:30,72.55,72.55,72.45,72.45,40373
2026-06-25T09:34:00+05:30,72.50,72.55,72.50,72.50,7817
2026-06-25T09:35:00+05:30,72.55,72.55,72.50,72.55,785
2026-06-25T09:36:00+05:30,72.55,72.55,72.45,72.45,11394
2026-06-25T09:37:00+05:30,72.55,72.55,72.55,72.55,9410
2026-06-25T09:38:00+05:30,72.55,72.60,72.55,72.55,1952
2026-06-25T09:39:00+05:30,72.55,72.60,72.50,72.60,1973
2026-06-25T09:40:00+05:30,72.60,72.60,72.50,72.55,13627
2026-06-25T09:41:00+05:30,72.50,72.55,72.50,72.55,2498
2026-06-25T09:42:00+05:30,72.55,72.55,72.50,72.55,2625
2026-06-25T09:43:00+05:30,72.55,72.60,72.55,72.60,7890
2026-06-25T09:44:00+05:30,72.60,72.60,72.50,72.50,2815
2026-06-25T09:45:00+05:30,72.50,72.55,72.50,72.50,3516
2026-06-25T09:46:00+05:30,72.55,72.55,72.50,72.55,645
2026-06-25T09:47:00+05:30,72.55,72.60,72.55,72.60,3296
2026-06-25T09:48:00+05:30,72.60,72.60,72.45,72.45,15265
2026-06-25T09:49:00+05:30,72.45,72.50,72.45,72.45,1057
2026-06-25T09:50:00+05:30,72.50,72.50,72.50,72.50,4314
2026-06-25T09:51:00+05:30,72.55,72.60,72.55,72.60,2122
2026-06-25T09:52:00+05:30,72.55,72.55,72.55,72.55,4734
2026-06-25T09:53:00+05:30,72.50,72.55,72.50,72.55,2591
2026-06-25T09:54:00+05:30,72.50,72.55,72.50,72.55,3483
2026-06-25T09:55:00+05:30,72.50,72.55,72.50,72.50,8123
2026-06-25T09:56:00+05:30,72.50,72.55,72.50,72.50,1749
2026-06-25T09:57:00+05:30,72.55,72.55,72.45,72.50,54543
2026-06-25T09:58:00+05:30,72.40,72.50,72.40,72.40,13394
2026-06-25T09:59:00+05:30,72.40,72.45,72.40,72.40,20230
2026-06-25T10:00:00+05:30,72.40,72.45,72.40,72.45,3352
2026-06-25T10:01:00+05:30,72.45,72.45,72.40,72.40,2482
2026-06-25T10:02:00+05:30,72.45,72.45,72.40,72.45,1739
2026-06-25T10:03:00+05:30,72.45,72.45,72.45,72.45,1143
2026-06-25T10:04:00+05:30,72.45,72.50,72.45,72.50,2988
2026-06-25T10:05:00+05:30,72.50,72.50,72.45,72.50,2405
2026-06-25T10:06:00+05:30,72.50,72.50,72.40,72.45,2690
2026-06-25T10:07:00+05:30,72.45,72.45,72.40,72.45,6170
2026-06-25T10:08:00+05:30,72.40,72.40,72.40,72.40,378
2026-06-25T10:09:00+05:30,72.40,72.45,72.40,72.45,3026
2026-06-25T10:10:00+05:30,72.45,72.45,72.40,72.40,781
2026-06-25T10:11:00+05:30,72.45,72.45,72.40,72.40,3727
2026-06-25T10:12:00+05:30,72.45,72.45,72.45,72.45,2749
2026-06-25T10:13:00+05:30,72.50,72.50,72.45,72.50,12056
2026-06-25T10:14:00+05:30,72.50,72.55,72.50,72.50,1413
2026-06-25T10:15:00+05:30,72.50,72.55,72.50,72.55,1521
2026-06-25T10:16:00+05:30,72.55,72.60,72.55,72.55,3265
2026-06-25T10:17:00+05:30,72.55,72.60,72.55,72.60,1982
2026-06-25T10:18:00+05:30,72.60,72.60,72.60,72.60,2098
2026-06-25T10:19:00+05:30,72.60,72.60,72.55,72.55,1174
2026-06-25T10:20:00+05:30,72.55,72.60,72.55,72.60,2036
2026-06-25T10:21:00+05:30,72.60,72.60,72.60,72.60,1178
2026-06-25T10:22:00+05:30,72.60,72.60,72.50,72.50,17956
2026-06-25T10:23:00+05:30,72.55,72.55,72.50,72.55,370
2026-06-25T10:24:00+05:30,72.50,72.55,72.50,72.55,2486
2026-06-25T10:25:00+05:30,72.50,72.55,72.50,72.50,532
2026-06-25T10:26:00+05:30,72.50,72.50,72.45,72.50,1068
2026-06-25T10:27:00+05:30,72.50,72.50,72.45,72.45,921
2026-06-25T10:28:00+05:30,72.40,72.45,72.40,72.45,1466
2026-06-25T10:29:00+05:30,72.45,72.45,72.40,72.40,1882
2026-06-25T10:30:00+05:30,72.45,72.45,72.40,72.40,6746
2026-06-25T10:31:00+05:30,72.45,72.45,72.40,72.45,908
2026-06-25T10:32:00+05:30,72.45,72.50,72.45,72.50,7500
2026-06-25T10:33:00+05:30,72.55,72.55,72.50,72.50,803
2026-06-25T10:34:00+05:30,72.50,72.50,72.45,72.50,374
2026-06-25T10:35:00+05:30,72.50,72.50,72.50,72.50,1544
2026-06-25T10:36:00+05:30,72.50,72.50,72.45,72.45,10
2026-06-25T10:37:00+05:30,72.45,72.50,72.45,72.50,1630
2026-06-25T10:38:00+05:30,72.45,72.50,72.45,72.45,869
2026-06-25T10:39:00+05:30,72.45,72.45,72.45,72.45,547
2026-06-25T10:40:00+05:30,72.45,72.50,72.45,72.45,7067
2026-06-25T10:41:00+05:30,72.45,72.50,72.45,72.45,2276
2026-06-25T10:42:00+05:30,72.50,72.50,72.45,72.45,3094
2026-06-25T10:43:00+05:30,72.45,72.45,72.45,72.45,1865
2026-06-25T10:44:00+05:30,72.45,72.50,72.45,72.50,2913
2026-06-25T10:45:00+05:30,72.50,72.50,72.50,72.50,852
2026-06-25T10:46:00+05:30,72.50,72.50,72.50,72.50,758
2026-06-25T10:47:00+05:30,72.45,72.50,72.45,72.50,712
2026-06-25T10:48:00+05:30,72.45,72.50,72.45,72.45,924
2026-06-25T10:49:00+05:30,72.50,72.50,72.45,72.45,957
2026-06-25T10:50:00+05:30,72.50,72.50,72.45,72.45,400
2026-06-25T10:51:00+05:30,72.50,72.50,72.40,72.40,18775
2026-06-25T10:52:00+05:30,72.45,72.45,72.40,72.40,942
2026-06-25T10:53:00+05:30,72.45,72.45,72.40,72.40,1659
2026-06-25T10:54:00+05:30,72.40,72.40,72.40,72.40,3330
2026-06-25T10:55:00+05:30,72.40,72.40,72.40,72.40,19
2026-06-25T10:56:00+05:30,72.40,72.40,72.40,72.40,3229
2026-06-25T10:57:00+05:30,72.40,72.45,72.40,72.45,4730
