ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2765.00,2765.10,2762.10,2765.00,0
2026-06-25T09:16:00+05:30,2765.00,2765.00,2757.10,2757.10,2180
2026-06-25T09:17:00+05:30,2759.60,2762.00,2757.00,2762.00,3494
2026-06-25T09:18:00+05:30,2762.00,2764.40,2760.60,2764.00,1475
2026-06-25T09:19:00+05:30,2765.30,2768.40,2763.40,2764.00,1183
2026-06-25T09:20:00+05:30,2763.40,2763.40,2762.10,2762.10,75
2026-06-25T09:21:00+05:30,2762.10,2762.10,2759.00,2759.00,565
2026-06-25T09:22:00+05:30,2758.60,2763.00,2758.60,2762.80,153
2026-06-25T09:23:00+05:30,2762.20,2762.20,2759.00,2759.00,237
2026-06-25T09:24:00+05:30,2758.00,2761.10,2756.40,2761.10,479
2026-06-25T09:25:00+05:30,2760.00,2762.20,2759.90,2762.20,426
2026-06-25T09:26:00+05:30,2761.00,2761.10,2758.10,2760.10,734
2026-06-25T09:27:00+05:30,2759.90,2759.90,2758.60,2758.60,27
2026-06-25T09:28:00+05:30,2762.20,2762.20,2758.60,2758.60,407
2026-06-25T09:29:00+05:30,2761.90,2761.90,2759.00,2760.70,335
2026-06-25T09:30:00+05:30,2761.10,2762.00,2759.00,2759.00,223
2026-06-25T09:31:00+05:30,2760.90,2760.90,2760.50,2760.50,160
2026-06-25T09:32:00+05:30,2760.90,2761.00,2756.50,2756.50,288
2026-06-25T09:33:00+05:30,2756.40,2757.50,2755.10,2755.70,652
2026-06-25T09:34:00+05:30,2756.20,2757.70,2756.20,2757.00,348
2026-06-25T09:35:00+05:30,2757.30,2758.00,2756.20,2756.20,285
2026-06-25T09:36:00+05:30,2756.50,2759.90,2756.50,2759.40,132
2026-06-25T09:37:00+05:30,2759.60,2761.00,2759.60,2760.20,586
2026-06-25T09:38:00+05:30,2760.70,2761.00,2758.50,2758.50,79
2026-06-25T09:39:00+05:30,2758.70,2761.00,2758.70,2760.60,127
2026-06-25T09:40:00+05:30,2761.80,2761.90,2760.60,2761.90,197
2026-06-25T09:41:00+05:30,2761.50,2766.60,2761.50,2766.60,502
2026-06-25T09:42:00+05:30,2769.00,2769.00,2762.30,2764.00,978
2026-06-25T09:43:00+05:30,2761.30,2764.00,2761.30,2763.70,205
2026-06-25T09:44:00+05:30,2762.30,2762.30,2758.00,2758.10,1375
2026-06-25T09:45:00+05:30,2758.00,2760.40,2758.00,2760.40,45
2026-06-25T09:46:00+05:30,2760.70,2760.70,2759.80,2760.30,1028
2026-06-25T09:47:00+05:30,2760.60,2763.70,2760.60,2763.70,87
2026-06-25T09:48:00+05:30,2763.80,2763.90,2763.20,2763.60,622
2026-06-25T09:49:00+05:30,2763.90,2763.90,2762.40,2763.80,130
2026-06-25T09:50:00+05:30,2764.00,2764.80,2764.00,2764.80,0
2026-06-25T09:51:00+05:30,2764.00,2764.00,2761.40,2761.90,184
2026-06-25T09:52:00+05:30,2760.00,2761.20,2760.00,2760.60,11
2026-06-25T09:53:00+05:30,2761.40,2761.40,2757.50,2757.50,210
2026-06-25T09:54:00+05:30,2759.00,2760.30,2758.20,2759.50,48
2026-06-25T09:55:00+05:30,2760.60,2760.60,2758.90,2759.10,21
2026-06-25T09:56:00+05:30,2759.70,2759.70,2758.10,2759.00,235
2026-06-25T09:57:00+05:30,2758.90,2760.00,2757.20,2759.60,599
2026-06-25T09:58:00+05:30,2759.10,2759.90,2759.00,2759.00,231
2026-06-25T09:59:00+05:30,2759.00,2761.20,2759.00,2761.20,186
2026-06-25T10:00:00+05:30,2760.70,2762.00,2759.90,2761.90,340
2026-06-25T10:01:00+05:30,2761.70,2762.40,2760.40,2760.40,99
2026-06-25T10:02:00+05:30,2761.50,2761.50,2758.20,2760.00,300
2026-06-25T10:03:00+05:30,2758.30,2758.40,2756.40,2757.00,166
2026-06-25T10:04:00+05:30,2757.00,2758.00,2757.00,2758.00,226
2026-06-25T10:05:00+05:30,2760.20,2761.20,2760.20,2760.80,57
2026-06-25T10:06:00+05:30,2759.70,2759.70,2758.00,2758.00,18
2026-06-25T10:07:00+05:30,2759.80,2759.80,2759.80,2759.80,20
2026-06-25T10:08:00+05:30,2758.00,2759.30,2753.80,2753.80,1000
2026-06-25T10:09:00+05:30,2753.60,2753.70,2753.40,2753.70,202
2026-06-25T10:10:00+05:30,2755.30,2755.50,2755.30,2755.50,385
