ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,758.15,770.00,758.15,769.85,0
2026-06-25T09:16:00+05:30,768.85,768.85,762.35,762.35,162909
2026-06-25T09:17:00+05:30,763.90,766.55,758.55,759.30,207898
2026-06-25T09:18:00+05:30,759.80,760.00,756.80,756.80,175864
2026-06-25T09:19:00+05:30,756.20,756.20,747.05,752.05,234583
2026-06-25T09:20:00+05:30,752.00,754.65,750.00,751.40,125831
2026-06-25T09:21:00+05:30,751.30,754.50,751.25,752.30,66818
2026-06-25T09:22:00+05:30,751.95,751.95,747.10,747.30,104055
2026-06-25T09:23:00+05:30,747.60,748.20,745.20,745.20,86329
2026-06-25T09:24:00+05:30,745.05,751.65,744.50,750.75,132153
2026-06-25T09:25:00+05:30,750.80,754.00,750.10,750.65,96235
2026-06-25T09:26:00+05:30,751.25,755.60,751.25,753.25,80067
2026-06-25T09:27:00+05:30,753.40,754.80,750.10,752.10,73794
2026-06-25T09:28:00+05:30,752.25,752.60,751.50,751.95,13541
2026-06-25T09:29:00+05:30,751.90,751.90,748.40,749.00,73222
2026-06-25T09:30:00+05:30,748.65,749.85,748.10,749.25,31168
2026-06-25T09:31:00+05:30,749.80,751.00,749.50,749.50,15019
2026-06-25T09:32:00+05:30,749.50,749.90,748.15,748.55,21839
2026-06-25T09:33:00+05:30,748.65,749.40,748.20,748.95,16512
2026-06-25T09:34:00+05:30,748.95,749.85,748.95,749.00,17567
2026-06-25T09:35:00+05:30,748.35,748.35,745.45,745.55,46156
2026-06-25T09:36:00+05:30,746.45,746.45,743.50,745.90,58572
2026-06-25T09:37:00+05:30,745.35,745.80,744.80,745.10,14427
2026-06-25T09:38:00+05:30,745.50,745.90,744.20,744.50,25283
2026-06-25T09:39:00+05:30,745.50,747.05,744.50,746.05,15356
2026-06-25T09:40:00+05:30,745.90,746.45,745.05,745.20,9358
2026-06-25T09:41:00+05:30,745.45,745.50,745.10,745.15,8763
2026-06-25T09:42:00+05:30,745.45,745.85,744.70,745.85,21461
2026-06-25T09:43:00+05:30,746.35,746.90,744.05,744.30,24130
2026-06-25T09:44:00+05:30,744.40,745.75,744.05,745.45,10284
2026-06-25T09:45:00+05:30,745.45,746.00,744.10,744.20,15099
2026-06-25T09:46:00+05:30,744.10,744.90,744.10,744.90,14838
2026-06-25T09:47:00+05:30,744.50,747.90,744.50,747.90,52291
2026-06-25T09:48:00+05:30,747.75,748.50,746.80,747.50,16776
2026-06-25T09:49:00+05:30,747.50,747.50,746.55,746.90,4290
2026-06-25T09:50:00+05:30,747.25,749.00,746.90,749.00,12551
2026-06-25T09:51:00+05:30,748.80,748.95,747.10,747.15,19561
2026-06-25T09:52:00+05:30,747.55,748.30,747.15,747.75,4252
2026-06-25T09:53:00+05:30,747.70,747.95,746.50,747.95,14107
2026-06-25T09:54:00+05:30,747.55,747.95,747.00,747.00,2717
2026-06-25T09:55:00+05:30,747.00,747.50,746.50,746.80,6063
2026-06-25T09:56:00+05:30,746.60,747.10,746.50,746.50,3844
2026-06-25T09:57:00+05:30,746.65,746.65,745.65,746.00,9051
2026-06-25T09:58:00+05:30,745.80,746.00,744.60,745.80,21215
2026-06-25T09:59:00+05:30,746.25,746.85,745.75,746.50,4932
2026-06-25T10:00:00+05:30,746.00,746.80,746.00,746.50,8876
2026-06-25T10:01:00+05:30,746.45,746.90,746.15,746.80,5606
2026-06-25T10:02:00+05:30,746.60,747.50,746.10,747.50,8020
2026-06-25T10:03:00+05:30,747.60,748.00,747.45,747.45,12651
2026-06-25T10:04:00+05:30,748.20,749.05,748.20,748.95,15690
2026-06-25T10:05:00+05:30,748.90,749.50,748.10,748.10,13398
2026-06-25T10:06:00+05:30,748.55,751.10,748.05,750.90,37861
2026-06-25T10:07:00+05:30,750.30,750.75,749.05,749.60,11439
2026-06-25T10:08:00+05:30,749.60,754.35,749.45,753.60,58766
2026-06-25T10:09:00+05:30,753.00,754.10,752.10,753.40,34145
2026-06-25T10:10:00+05:30,753.45,754.70,753.25,753.55,30133
2026-06-25T10:11:00+05:30,753.15,753.15,751.30,752.45,18331
2026-06-25T10:12:00+05:30,752.20,753.65,752.20,752.20,11316
2026-06-25T10:13:00+05:30,752.25,752.60,751.75,751.75,4689
2026-06-25T10:14:00+05:30,751.90,752.00,751.35,752.00,7100
2026-06-25T10:15:00+05:30,752.00,752.00,751.50,751.50,42409
2026-06-25T10:16:00+05:30,751.55,751.55,749.40,749.65,23147
2026-06-25T10:17:00+05:30,752.65,753.55,752.05,752.20,41991
2026-06-25T10:18:00+05:30,752.10,752.85,751.75,752.25,11259
2026-06-25T10:19:00+05:30,752.15,754.95,752.10,754.20,73769
2026-06-25T10:20:00+05:30,754.50,754.50,753.15,753.50,23963
2026-06-25T10:21:00+05:30,753.50,754.80,753.45,753.55,15630
2026-06-25T10:22:00+05:30,753.70,754.85,752.40,754.85,13534
2026-06-25T10:23:00+05:30,754.50,754.50,753.25,753.50,9883
2026-06-25T10:24:00+05:30,753.60,764.00,753.60,761.15,191850
2026-06-25T10:25:00+05:30,761.55,766.85,760.00,766.85,123388
2026-06-25T10:26:00+05:30,766.45,771.00,766.45,767.05,213673
2026-06-25T10:27:00+05:30,766.95,771.50,766.00,770.85,111047
2026-06-25T10:28:00+05:30,771.45,774.00,770.30,773.20,187620
2026-06-25T10:29:00+05:30,773.15,774.50,771.35,774.25,112456
2026-06-25T10:30:00+05:30,774.25,775.00,771.40,771.80,101558
2026-06-25T10:31:00+05:30,771.80,772.80,771.00,771.65,56926
2026-06-25T10:32:00+05:30,771.45,772.95,770.25,770.40,82365
2026-06-25T10:33:00+05:30,769.20,769.80,768.05,768.05,85042
2026-06-25T10:34:00+05:30,768.50,768.55,763.10,766.00,115938
2026-06-25T10:35:00+05:30,766.00,766.00,763.35,764.20,47718
2026-06-25T10:36:00+05:30,764.00,765.15,761.00,763.00,81293
2026-06-25T10:37:00+05:30,762.65,763.00,762.20,762.50,17165
2026-06-25T10:38:00+05:30,762.60,763.35,761.50,761.55,30858
2026-06-25T10:39:00+05:30,762.00,762.00,758.40,758.55,106034
2026-06-25T10:40:00+05:30,758.50,759.25,757.40,758.40,53704
2026-06-25T10:41:00+05:30,758.55,759.30,756.00,756.45,41716
