ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,2038.30,2042.40,2038.30,2041.00,0
2026-06-25T09:16:00+05:30,2050.10,2052.60,2042.70,2042.70,8822
2026-06-25T09:17:00+05:30,2042.70,2043.20,2037.00,2037.10,5775
2026-06-25T09:18:00+05:30,2037.00,2037.00,2032.50,2032.50,3256
2026-06-25T09:19:00+05:30,2032.90,2033.00,2030.00,2031.80,1305
2026-06-25T09:20:00+05:30,2031.90,2034.50,2031.90,2032.60,559
2026-06-25T09:21:00+05:30,2031.90,2032.80,2030.30,2032.80,1259
2026-06-25T09:22:00+05:30,2031.70,2034.00,2031.70,2033.10,1148
2026-06-25T09:23:00+05:30,2031.70,2034.40,2031.70,2032.40,1502
2026-06-25T09:24:00+05:30,2031.60,2036.40,2031.10,2035.00,8759
2026-06-25T09:25:00+05:30,2035.50,2036.30,2030.90,2030.90,3787
2026-06-25T09:26:00+05:30,2031.50,2031.70,2031.50,2031.70,2957
2026-06-25T09:27:00+05:30,2031.00,2031.00,2026.90,2028.00,2921
2026-06-25T09:28:00+05:30,2028.70,2028.70,2025.00,2025.40,861
2026-06-25T09:29:00+05:30,2025.00,2026.40,2022.30,2024.60,782
2026-06-25T09:30:00+05:30,2023.50,2024.10,2023.40,2023.40,3355
2026-06-25T09:31:00+05:30,2021.40,2023.10,2021.40,2022.40,3995
2026-06-25T09:32:00+05:30,2021.90,2021.90,2020.10,2020.30,1542
2026-06-25T09:33:00+05:30,2020.30,2021.70,2014.10,2014.10,2989
2026-06-25T09:34:00+05:30,2014.90,2017.40,2014.90,2017.00,1476
2026-06-25T09:35:00+05:30,2016.80,2020.50,2015.80,2017.00,870
2026-06-25T09:36:00+05:30,2016.80,2021.00,2015.30,2015.90,2897
2026-06-25T09:37:00+05:30,2012.30,2015.50,2012.30,2015.00,1215
2026-06-25T09:38:00+05:30,2015.90,2017.40,2015.50,2016.00,4755
2026-06-25T09:39:00+05:30,2013.10,2016.00,2013.10,2016.00,1848
2026-06-25T09:40:00+05:30,2017.60,2018.00,2016.00,2018.00,1236
2026-06-25T09:41:00+05:30,2016.50,2017.20,2016.10,2016.30,456
2026-06-25T09:42:00+05:30,2017.00,2017.50,2015.20,2015.20,796
2026-06-25T09:43:00+05:30,2021.90,2023.50,2021.90,2023.10,1748
2026-06-25T09:44:00+05:30,2022.60,2027.50,2022.60,2024.30,4136
2026-06-25T09:45:00+05:30,2025.50,2027.00,2025.00,2027.00,585
2026-06-25T09:46:00+05:30,2026.80,2027.00,2026.80,2026.90,264
2026-06-25T09:47:00+05:30,2026.90,2028.50,2023.70,2024.60,1877
2026-06-25T09:48:00+05:30,2024.30,2025.40,2021.40,2021.40,1322
2026-06-25T09:49:00+05:30,2020.00,2020.60,2018.80,2019.30,898
2026-06-25T09:50:00+05:30,2020.00,2021.00,2018.60,2020.40,913
2026-06-25T09:51:00+05:30,2020.80,2022.60,2020.70,2021.20,710
2026-06-25T09:52:00+05:30,2019.60,2019.60,2017.40,2017.90,1769
2026-06-25T09:53:00+05:30,2018.50,2018.70,2016.80,2018.10,933
