ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,4069.00,4071.20,4066.90,4067.40,0
2026-06-25T09:16:00+05:30,4060.80,4068.80,4058.50,4058.50,1035
2026-06-25T09:17:00+05:30,4058.50,4058.50,4045.50,4045.50,1869
2026-06-25T09:18:00+05:30,4046.50,4050.00,4046.20,4050.00,1212
2026-06-25T09:19:00+05:30,4050.90,4050.90,4046.80,4046.80,1084
2026-06-25T09:20:00+05:30,4047.80,4056.00,4047.80,4056.00,737
2026-06-25T09:21:00+05:30,4054.60,4054.60,4045.70,4049.90,1210
2026-06-25T09:22:00+05:30,4050.10,4055.00,4050.00,4052.30,337
2026-06-25T09:23:00+05:30,4053.50,4053.80,4049.90,4051.70,568
2026-06-25T09:24:00+05:30,4051.70,4052.80,4048.60,4049.40,370
2026-06-25T09:25:00+05:30,4048.40,4052.80,4047.70,4047.70,465
2026-06-25T09:26:00+05:30,4047.00,4048.00,4046.00,4047.00,182
2026-06-25T09:27:00+05:30,4046.10,4049.40,4046.00,4046.00,331
2026-06-25T09:28:00+05:30,4045.70,4051.30,4045.70,4050.00,494
2026-06-25T09:29:00+05:30,4048.70,4050.00,4048.70,4049.40,218
2026-06-25T09:30:00+05:30,4055.00,4055.00,4051.30,4053.40,595
2026-06-25T09:31:00+05:30,4053.50,4053.50,4045.00,4045.00,719
2026-06-25T09:32:00+05:30,4043.00,4047.30,4042.20,4045.90,414
2026-06-25T09:33:00+05:30,4045.20,4045.20,4042.00,4043.10,222
2026-06-25T09:34:00+05:30,4043.10,4045.20,4043.00,4044.00,629
2026-06-25T09:35:00+05:30,4045.00,4045.00,4042.50,4045.00,155
2026-06-25T09:36:00+05:30,4044.90,4046.80,4042.00,4046.80,617
2026-06-25T09:37:00+05:30,4051.00,4054.80,4050.20,4054.00,1196
2026-06-25T09:38:00+05:30,4053.50,4053.50,4048.80,4052.10,722
2026-06-25T09:39:00+05:30,4050.00,4053.50,4050.00,4052.10,205
2026-06-25T09:40:00+05:30,4050.80,4050.90,4046.00,4049.90,181
2026-06-25T09:41:00+05:30,4049.30,4051.30,4047.50,4048.80,81
2026-06-25T09:42:00+05:30,4051.00,4052.30,4049.60,4051.00,505
2026-06-25T09:43:00+05:30,4050.40,4053.90,4050.00,4052.90,444
2026-06-25T09:44:00+05:30,4051.70,4053.80,4051.70,4052.70,330
2026-06-25T09:45:00+05:30,4052.80,4055.60,4051.60,4055.60,580
2026-06-25T09:46:00+05:30,4054.40,4056.30,4053.00,4054.00,436
2026-06-25T09:47:00+05:30,4054.00,4055.00,4051.40,4051.40,278
2026-06-25T09:48:00+05:30,4052.40,4054.00,4052.30,4053.90,92
