ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,395.20,395.90,393.60,393.60,0
2026-06-25T09:16:00+05:30,393.60,394.45,393.50,393.85,25254
2026-06-25T09:17:00+05:30,394.00,394.00,393.35,393.35,24241
2026-06-25T09:18:00+05:30,393.35,393.75,393.20,393.40,23070
2026-06-25T09:19:00+05:30,393.45,393.60,393.00,393.60,39865
2026-06-25T09:20:00+05:30,393.80,394.00,393.80,393.90,17624
2026-06-25T09:21:00+05:30,393.75,393.95,393.65,393.80,13742
2026-06-25T09:22:00+05:30,393.80,393.95,393.75,393.75,13542
2026-06-25T09:23:00+05:30,393.90,394.15,393.75,394.05,5890
2026-06-25T09:24:00+05:30,394.10,394.20,394.05,394.10,12918
2026-06-25T09:25:00+05:30,393.60,393.65,393.45,393.45,33669
2026-06-25T09:26:00+05:30,393.45,393.55,393.15,393.15,14020
2026-06-25T09:27:00+05:30,393.00,393.35,393.00,393.30,20676
2026-06-25T09:28:00+05:30,393.30,393.50,393.30,393.40,7390
2026-06-25T09:29:00+05:30,393.55,393.55,393.30,393.45,18055
2026-06-25T09:30:00+05:30,393.60,393.60,393.05,393.30,59049
2026-06-25T09:31:00+05:30,393.10,393.20,392.80,392.85,20588
2026-06-25T09:32:00+05:30,392.75,392.80,392.60,392.65,13886
2026-06-25T09:33:00+05:30,392.55,392.55,392.15,392.35,14344
2026-06-25T09:34:00+05:30,392.35,392.85,392.35,392.85,6634
2026-06-25T09:35:00+05:30,392.80,393.35,392.80,393.30,10874
2026-06-25T09:36:00+05:30,393.25,393.30,393.10,393.15,6982
2026-06-25T09:37:00+05:30,393.35,393.80,393.35,393.65,18009
2026-06-25T09:38:00+05:30,393.45,393.55,393.00,393.20,8244
2026-06-25T09:39:00+05:30,393.10,393.30,393.05,393.30,11191
2026-06-25T09:40:00+05:30,393.15,393.45,393.15,393.45,3557
2026-06-25T09:41:00+05:30,393.45,393.45,393.15,393.15,10181
2026-06-25T09:42:00+05:30,393.15,393.15,392.80,393.00,17561
2026-06-25T09:43:00+05:30,393.00,393.30,393.00,393.30,8318
2026-06-25T09:44:00+05:30,393.30,393.30,392.70,393.05,43577
2026-06-25T09:45:00+05:30,393.25,393.25,393.10,393.10,6183
2026-06-25T09:46:00+05:30,393.10,393.10,393.00,393.00,6494
2026-06-25T09:47:00+05:30,393.05,393.15,392.90,393.00,6446
2026-06-25T09:48:00+05:30,393.10,393.10,392.90,393.00,7559
2026-06-25T09:49:00+05:30,392.90,393.00,392.70,392.80,18425
2026-06-25T09:50:00+05:30,393.05,393.05,392.75,392.90,5918
2026-06-25T09:51:00+05:30,393.00,393.10,392.95,392.95,9591
2026-06-25T09:52:00+05:30,393.05,393.15,393.00,393.00,4775
2026-06-25T09:53:00+05:30,393.15,393.30,392.90,393.10,7006
2026-06-25T09:54:00+05:30,393.25,393.60,393.15,393.60,7716
2026-06-25T09:55:00+05:30,393.50,393.55,393.40,393.45,20420
2026-06-25T09:56:00+05:30,393.60,393.65,393.30,393.30,5370
2026-06-25T09:57:00+05:30,393.35,393.35,392.40,392.40,37286
2026-06-25T09:58:00+05:30,392.65,392.65,392.10,392.10,61163
2026-06-25T09:59:00+05:30,392.15,392.15,391.60,391.75,29975
2026-06-25T10:00:00+05:30,391.75,391.90,391.75,391.85,5953
2026-06-25T10:01:00+05:30,391.80,392.00,391.55,392.00,27968
2026-06-25T10:02:00+05:30,392.00,392.00,391.90,391.90,7760
2026-06-25T10:03:00+05:30,391.90,391.95,391.80,391.85,17116
2026-06-25T10:04:00+05:30,391.85,392.20,391.55,392.05,22717
2026-06-25T10:05:00+05:30,391.95,392.30,391.95,392.20,11704
2026-06-25T10:06:00+05:30,392.05,392.05,391.80,392.00,11069
2026-06-25T10:07:00+05:30,391.95,391.95,391.80,391.80,5737
2026-06-25T10:08:00+05:30,391.70,391.95,391.70,391.95,15771
2026-06-25T10:09:00+05:30,392.20,392.30,391.95,392.00,7636
2026-06-25T10:10:00+05:30,392.15,392.30,391.85,392.00,6879
2026-06-25T10:11:00+05:30,392.10,392.10,391.80,391.80,7192
2026-06-25T10:12:00+05:30,391.75,392.00,391.75,391.95,10157
2026-06-25T10:13:00+05:30,391.95,392.00,391.80,392.00,17136
2026-06-25T10:14:00+05:30,392.00,392.25,392.00,392.10,11569
2026-06-25T10:15:00+05:30,392.00,392.60,392.00,392.60,10392
2026-06-25T10:16:00+05:30,392.55,392.70,392.40,392.70,6013
2026-06-25T10:17:00+05:30,392.75,392.80,392.60,392.65,6468
2026-06-25T10:18:00+05:30,392.65,392.65,392.25,392.60,13962
2026-06-25T10:19:00+05:30,392.65,392.80,392.50,392.65,7985
2026-06-25T10:20:00+05:30,392.70,392.85,392.50,392.85,7421
2026-06-25T10:21:00+05:30,392.80,392.90,392.80,392.85,10737
2026-06-25T10:22:00+05:30,392.65,392.70,392.40,392.70,9215
2026-06-25T10:23:00+05:30,392.60,392.85,392.60,392.75,3514
2026-06-25T10:24:00+05:30,392.75,392.85,392.65,392.85,3488
2026-06-25T10:25:00+05:30,392.70,392.90,392.65,392.75,2760
2026-06-25T10:26:00+05:30,392.70,392.70,392.25,392.50,19961
2026-06-25T10:27:00+05:30,392.55,392.55,392.30,392.45,4823
2026-06-25T10:28:00+05:30,392.50,392.50,392.30,392.50,5416
2026-06-25T10:29:00+05:30,392.30,392.45,392.30,392.45,1331
2026-06-25T10:30:00+05:30,392.90,392.90,392.60,392.60,13428
2026-06-25T10:31:00+05:30,392.30,392.75,392.30,392.65,5552
2026-06-25T10:32:00+05:30,392.75,393.00,392.75,393.00,4641
2026-06-25T10:33:00+05:30,393.00,393.00,392.90,392.90,5146
2026-06-25T10:34:00+05:30,393.00,393.05,392.90,393.05,3699
2026-06-25T10:35:00+05:30,393.05,393.10,392.90,393.10,12185
2026-06-25T10:36:00+05:30,393.50,393.50,393.25,393.40,15913
2026-06-25T10:37:00+05:30,393.30,393.40,393.20,393.30,3211
2026-06-25T10:38:00+05:30,393.30,393.35,393.00,393.05,4922
2026-06-25T10:39:00+05:30,393.05,393.25,393.05,393.15,2369
2026-06-25T10:40:00+05:30,393.10,393.25,393.10,393.25,2430
2026-06-25T10:41:00+05:30,393.25,393.25,393.15,393.20,8896
2026-06-25T10:42:00+05:30,393.20,393.25,393.20,393.20,3356
2026-06-25T10:43:00+05:30,393.20,393.65,393.20,393.35,8875
2026-06-25T10:44:00+05:30,393.65,393.65,393.45,393.65,4984
2026-06-25T10:45:00+05:30,393.65,393.85,393.55,393.60,52310
