ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,4479.20,4513.10,4477.80,4513.10,0
2026-06-25T09:16:00+05:30,4514.10,4514.10,4496.70,4497.60,1827
2026-06-25T09:17:00+05:30,4499.90,4501.00,4495.90,4498.00,1078
2026-06-25T09:18:00+05:30,4497.00,4497.00,4492.50,4492.50,1282
2026-06-25T09:19:00+05:30,4493.40,4498.20,4493.40,4495.70,438
2026-06-25T09:20:00+05:30,4496.60,4496.60,4486.30,4486.30,960
2026-06-25T09:21:00+05:30,4489.30,4491.20,4489.30,4490.40,362
2026-06-25T09:22:00+05:30,4490.40,4491.40,4488.00,4489.70,114
2026-06-25T09:23:00+05:30,4493.70,4495.10,4493.70,4495.10,355
2026-06-25T09:24:00+05:30,4494.60,4498.00,4494.60,4498.00,201
2026-06-25T09:25:00+05:30,4500.80,4501.40,4498.30,4500.30,242
2026-06-25T09:26:00+05:30,4501.10,4507.00,4501.10,4502.20,363
2026-06-25T09:27:00+05:30,4503.10,4503.10,4494.60,4497.90,995
2026-06-25T09:28:00+05:30,4496.30,4503.70,4496.30,4502.80,68
2026-06-25T09:29:00+05:30,4502.70,4503.10,4489.90,4498.00,1391
2026-06-25T09:30:00+05:30,4497.20,4500.40,4494.00,4499.70,440
2026-06-25T09:31:00+05:30,4497.30,4499.00,4496.80,4498.70,213
2026-06-25T09:32:00+05:30,4498.70,4502.00,4496.60,4500.90,231
2026-06-25T09:33:00+05:30,4503.20,4503.20,4493.00,4495.10,171
2026-06-25T09:34:00+05:30,4495.10,4498.00,4492.80,4498.00,179
2026-06-25T09:35:00+05:30,4498.00,4502.80,4498.00,4502.80,100
2026-06-25T09:36:00+05:30,4503.00,4504.10,4492.00,4492.00,172
2026-06-25T09:37:00+05:30,4493.40,4493.50,4491.40,4493.50,196
2026-06-25T09:38:00+05:30,4494.80,4495.00,4492.20,4493.90,69
2026-06-25T09:39:00+05:30,4491.40,4492.10,4491.40,4491.50,142
2026-06-25T09:40:00+05:30,4496.50,4498.20,4496.50,4498.20,531
2026-06-25T09:41:00+05:30,4497.90,4499.20,4496.50,4498.80,64
2026-06-25T09:42:00+05:30,4496.50,4498.60,4496.50,4498.00,23
2026-06-25T09:43:00+05:30,4497.80,4497.80,4496.10,4496.90,40
