ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,510.20,511.75,510.20,511.75,0
2026-06-25T09:16:00+05:30,511.65,511.80,510.95,510.95,59747
2026-06-25T09:17:00+05:30,511.30,513.35,511.30,512.90,34039
2026-06-25T09:18:00+05:30,513.00,513.00,511.65,511.65,29896
2026-06-25T09:19:00+05:30,511.70,513.50,511.70,513.25,41412
2026-06-25T09:20:00+05:30,512.80,513.15,512.15,512.95,27885
2026-06-25T09:21:00+05:30,512.60,512.75,512.20,512.25,11177
2026-06-25T09:22:00+05:30,512.30,512.45,511.95,512.30,17603
2026-06-25T09:23:00+05:30,512.45,512.45,511.95,512.10,18215
2026-06-25T09:24:00+05:30,512.10,512.25,511.50,511.50,6123
2026-06-25T09:25:00+05:30,511.50,511.90,511.20,511.90,9232
2026-06-25T09:26:00+05:30,511.65,512.00,511.60,511.80,8919
2026-06-25T09:27:00+05:30,511.80,512.10,511.75,512.10,16521
2026-06-25T09:28:00+05:30,511.90,512.30,511.90,511.95,9349
2026-06-25T09:29:00+05:30,511.95,511.95,511.50,511.50,15163
2026-06-25T09:30:00+05:30,511.35,511.50,511.25,511.25,5420
2026-06-25T09:31:00+05:30,511.25,511.45,510.90,510.90,11986
2026-06-25T09:32:00+05:30,510.90,511.35,510.90,511.10,12745
2026-06-25T09:33:00+05:30,511.35,511.45,511.30,511.30,5562
2026-06-25T09:34:00+05:30,511.30,511.95,511.30,511.95,7731
2026-06-25T09:35:00+05:30,511.80,512.10,511.80,512.05,18759
2026-06-25T09:36:00+05:30,512.05,512.05,510.80,510.80,9502
2026-06-25T09:37:00+05:30,510.75,511.65,510.75,511.60,10111
2026-06-25T09:38:00+05:30,511.75,511.75,511.50,511.60,4100
2026-06-25T09:39:00+05:30,511.50,512.00,511.50,511.50,14729
2026-06-25T09:40:00+05:30,511.55,511.75,511.55,511.60,2247
2026-06-25T09:41:00+05:30,511.60,511.70,511.55,511.70,3621
2026-06-25T09:42:00+05:30,511.65,511.70,511.50,511.55,8310
2026-06-25T09:43:00+05:30,511.55,511.75,511.55,511.75,6505
2026-06-25T09:44:00+05:30,511.75,511.90,511.50,511.50,9380
2026-06-25T09:45:00+05:30,511.55,511.65,511.50,511.60,2508
2026-06-25T09:46:00+05:30,511.60,512.00,511.60,511.85,12354
2026-06-25T09:47:00+05:30,511.95,511.95,511.80,511.85,5535
2026-06-25T09:48:00+05:30,511.80,511.85,511.65,511.85,4467
2026-06-25T09:49:00+05:30,511.65,512.90,511.65,512.50,32923
2026-06-25T09:50:00+05:30,512.55,512.75,512.10,512.10,8772
2026-06-25T09:51:00+05:30,512.10,512.25,512.05,512.10,2583
2026-06-25T09:52:00+05:30,512.05,512.20,512.05,512.20,7499
2026-06-25T09:53:00+05:30,512.15,512.15,511.75,511.95,8890
2026-06-25T09:54:00+05:30,511.75,511.95,511.75,511.85,2907
2026-06-25T09:55:00+05:30,511.85,511.95,511.85,511.90,2750
2026-06-25T09:56:00+05:30,511.95,511.95,511.80,511.90,3026
2026-06-25T09:57:00+05:30,512.25,514.50,512.25,514.50,76813
2026-06-25T09:58:00+05:30,514.45,514.45,513.90,514.10,33106
2026-06-25T09:59:00+05:30,514.10,514.10,513.60,513.70,18806
2026-06-25T10:00:00+05:30,513.75,514.00,513.70,513.70,8754
2026-06-25T10:01:00+05:30,513.65,513.65,513.45,513.60,9086
2026-06-25T10:02:00+05:30,513.50,513.55,513.45,513.55,10964
2026-06-25T10:03:00+05:30,513.45,513.50,512.80,512.80,14365
2026-06-25T10:04:00+05:30,512.65,513.00,512.15,512.40,18715
2026-06-25T10:05:00+05:30,512.55,512.55,511.80,512.05,35661
2026-06-25T10:06:00+05:30,511.85,512.25,511.85,512.05,19400
2026-06-25T10:07:00+05:30,511.95,512.05,511.80,512.00,7845
2026-06-25T10:08:00+05:30,512.00,512.80,511.95,512.35,4270
2026-06-25T10:09:00+05:30,512.30,512.65,512.30,512.45,3183
2026-06-25T10:10:00+05:30,512.55,512.85,512.45,512.60,5552
2026-06-25T10:11:00+05:30,512.25,512.40,512.10,512.40,11135
2026-06-25T10:12:00+05:30,512.45,512.45,512.20,512.35,4765
2026-06-25T10:13:00+05:30,512.20,512.35,512.20,512.30,5540
2026-06-25T10:14:00+05:30,512.25,512.30,512.15,512.30,4774
2026-06-25T10:15:00+05:30,512.20,512.30,512.15,512.30,4607
2026-06-25T10:16:00+05:30,512.30,512.30,512.20,512.30,2799
2026-06-25T10:17:00+05:30,512.30,512.30,512.15,512.15,8111
2026-06-25T10:18:00+05:30,512.15,512.15,512.05,512.05,4806
2026-06-25T10:19:00+05:30,512.10,512.20,512.10,512.15,3271
2026-06-25T10:20:00+05:30,511.10,511.10,510.60,510.60,41911
2026-06-25T10:21:00+05:30,510.70,511.00,510.70,510.80,8336
2026-06-25T10:22:00+05:30,510.80,510.80,510.70,510.75,10926
2026-06-25T10:23:00+05:30,510.85,510.85,510.50,510.50,11975
2026-06-25T10:24:00+05:30,510.55,510.65,510.45,510.45,7455
2026-06-25T10:25:00+05:30,510.35,510.35,509.75,510.00,24919
2026-06-25T10:26:00+05:30,509.75,510.00,509.75,509.80,4839
2026-06-25T10:27:00+05:30,509.70,509.70,509.35,509.35,9976
2026-06-25T10:28:00+05:30,508.80,508.85,508.50,508.50,18705
2026-06-25T10:29:00+05:30,508.60,508.75,508.30,508.60,15245
2026-06-25T10:30:00+05:30,508.75,508.85,508.55,508.85,4427
2026-06-25T10:31:00+05:30,509.20,509.30,509.00,509.25,15291
2026-06-25T10:32:00+05:30,509.20,509.80,509.20,509.60,9604
2026-06-25T10:33:00+05:30,509.60,509.75,509.20,509.75,8012
2026-06-25T10:34:00+05:30,509.75,510.30,509.60,509.70,11344
