ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,278.75,278.75,275.45,275.45,0
2026-06-25T09:16:00+05:30,275.30,275.85,273.85,274.80,1173507
2026-06-25T09:17:00+05:30,274.80,275.60,274.75,275.45,406825
2026-06-25T09:18:00+05:30,275.25,275.55,274.35,274.35,423873
2026-06-25T09:19:00+05:30,274.50,274.55,273.10,273.30,469849
2026-06-25T09:20:00+05:30,273.10,273.50,272.35,273.20,485310
2026-06-25T09:21:00+05:30,273.45,273.75,272.30,272.95,573556
2026-06-25T09:22:00+05:30,272.90,273.35,272.75,272.75,399082
2026-06-25T09:23:00+05:30,272.85,274.50,272.85,274.40,701834
2026-06-25T09:24:00+05:30,274.40,274.85,273.75,274.85,354440
2026-06-25T09:25:00+05:30,274.85,275.60,274.80,275.50,416493
2026-06-25T09:26:00+05:30,275.60,275.80,275.40,275.65,247588
2026-06-25T09:27:00+05:30,275.60,275.80,275.55,275.70,176095
2026-06-25T09:28:00+05:30,275.70,275.75,275.20,275.20,177852
2026-06-25T09:29:00+05:30,275.30,275.50,274.80,274.95,315436
2026-06-25T09:30:00+05:30,274.90,275.20,274.80,274.95,220267
2026-06-25T09:31:00+05:30,274.95,274.95,274.10,274.25,140823
2026-06-25T09:32:00+05:30,274.15,274.35,274.15,274.30,253249
2026-06-25T09:33:00+05:30,274.35,274.85,274.35,274.75,192505
2026-06-25T09:34:00+05:30,274.75,275.00,274.65,275.00,116550
2026-06-25T09:35:00+05:30,275.00,275.30,274.90,275.10,148389
2026-06-25T09:36:00+05:30,275.10,275.40,275.10,275.35,89030
2026-06-25T09:37:00+05:30,275.25,275.60,275.25,275.60,155939
2026-06-25T09:38:00+05:30,275.55,275.55,275.20,275.25,77407
2026-06-25T09:39:00+05:30,275.05,275.40,275.05,275.40,101822
2026-06-25T09:40:00+05:30,275.30,275.40,275.30,275.30,69650
2026-06-25T09:41:00+05:30,275.30,275.30,274.80,274.80,165412
2026-06-25T09:42:00+05:30,274.65,274.65,274.35,274.50,180669
2026-06-25T09:43:00+05:30,274.50,274.55,274.10,274.25,166234
2026-06-25T09:44:00+05:30,274.20,274.25,274.00,274.10,205082
2026-06-25T09:45:00+05:30,273.35,274.35,273.05,274.15,437849
