ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1314.40,1318.40,1314.40,1316.60,0
2026-06-25T09:16:00+05:30,1316.70,1319.00,1314.20,1319.00,7503
2026-06-25T09:17:00+05:30,1318.90,1318.90,1316.60,1316.60,3833
2026-06-25T09:18:00+05:30,1315.30,1316.30,1315.20,1316.30,1878
2026-06-25T09:19:00+05:30,1318.00,1318.80,1317.90,1318.70,5578
2026-06-25T09:20:00+05:30,1320.00,1320.60,1320.00,1320.00,6410
2026-06-25T09:21:00+05:30,1320.40,1320.50,1318.70,1318.70,6784
2026-06-25T09:22:00+05:30,1318.70,1319.40,1318.70,1319.40,2125
2026-06-25T09:23:00+05:30,1320.80,1322.40,1320.80,1322.40,3355
2026-06-25T09:24:00+05:30,1321.70,1322.00,1320.00,1320.00,3463
2026-06-25T09:25:00+05:30,1320.30,1320.30,1318.30,1318.30,2216
2026-06-25T09:26:00+05:30,1317.50,1318.80,1316.90,1317.40,3163
2026-06-25T09:27:00+05:30,1316.30,1316.60,1316.10,1316.50,1885
2026-06-25T09:28:00+05:30,1317.30,1319.10,1317.00,1318.30,2301
2026-06-25T09:29:00+05:30,1318.90,1319.50,1318.20,1318.20,1542
2026-06-25T09:30:00+05:30,1319.10,1319.40,1318.30,1318.80,1513
2026-06-25T09:31:00+05:30,1318.20,1318.20,1317.00,1317.00,1511
2026-06-25T09:32:00+05:30,1316.50,1317.90,1316.10,1316.50,2145
2026-06-25T09:33:00+05:30,1317.00,1317.00,1315.90,1316.00,1016
2026-06-25T09:34:00+05:30,1316.30,1318.00,1316.30,1316.90,416
2026-06-25T09:35:00+05:30,1317.10,1317.40,1317.00,1317.40,1352
2026-06-25T09:36:00+05:30,1317.50,1319.10,1317.50,1318.20,3847
2026-06-25T09:37:00+05:30,1318.00,1318.40,1317.80,1317.80,1398
2026-06-25T09:38:00+05:30,1317.80,1318.10,1317.20,1317.20,822
2026-06-25T09:39:00+05:30,1317.00,1318.70,1317.00,1318.70,861
2026-06-25T09:40:00+05:30,1318.70,1318.70,1318.10,1318.10,881
2026-06-25T09:41:00+05:30,1317.20,1317.60,1317.20,1317.50,2723
2026-06-25T09:42:00+05:30,1317.40,1317.80,1317.30,1317.60,193
2026-06-25T09:43:00+05:30,1317.50,1319.90,1317.50,1319.90,1725
2026-06-25T09:44:00+05:30,1320.70,1321.10,1320.30,1320.40,2329
2026-06-25T09:45:00+05:30,1320.40,1320.40,1319.70,1320.00,1739
2026-06-25T09:46:00+05:30,1319.80,1320.40,1319.80,1320.40,1180
2026-06-25T09:47:00+05:30,1320.80,1321.30,1320.80,1321.00,994
2026-06-25T09:48:00+05:30,1321.50,1321.70,1321.00,1321.70,3153
2026-06-25T09:49:00+05:30,1321.50,1321.50,1320.00,1321.50,1383
2026-06-25T09:50:00+05:30,1321.50,1321.70,1321.00,1321.10,2022
2026-06-25T09:51:00+05:30,1321.00,1321.90,1320.50,1321.90,1445
2026-06-25T09:52:00+05:30,1322.60,1323.30,1322.60,1322.80,6155
2026-06-25T09:53:00+05:30,1322.80,1323.30,1322.10,1323.10,3057
2026-06-25T09:54:00+05:30,1322.80,1322.90,1322.80,1322.90,327
2026-06-25T09:55:00+05:30,1321.80,1322.40,1321.60,1321.80,711
2026-06-25T09:56:00+05:30,1322.00,1322.50,1322.00,1322.00,306
2026-06-25T09:57:00+05:30,1321.90,1322.10,1321.00,1321.00,1309
2026-06-25T09:58:00+05:30,1320.20,1320.50,1320.00,1320.00,151
2026-06-25T09:59:00+05:30,1320.30,1321.00,1319.70,1320.40,3559
2026-06-25T10:00:00+05:30,1320.50,1321.30,1320.00,1321.30,285
2026-06-25T10:01:00+05:30,1321.00,1321.30,1320.80,1321.30,1029
2026-06-25T10:02:00+05:30,1321.30,1322.50,1321.30,1321.60,1569
2026-06-25T10:03:00+05:30,1321.70,1322.40,1321.60,1321.60,451
2026-06-25T10:04:00+05:30,1321.70,1322.00,1321.10,1322.00,600
2026-06-25T10:05:00+05:30,1321.90,1322.50,1321.70,1321.70,336
2026-06-25T10:06:00+05:30,1320.70,1321.50,1320.10,1320.30,355
2026-06-25T10:07:00+05:30,1320.20,1320.30,1318.80,1318.80,997
2026-06-25T10:08:00+05:30,1319.10,1319.70,1318.80,1319.70,1391
2026-06-25T10:09:00+05:30,1319.70,1320.40,1319.70,1320.10,327
2026-06-25T10:10:00+05:30,1320.10,1320.60,1320.10,1320.60,88
2026-06-25T10:11:00+05:30,1319.40,1320.00,1319.00,1319.60,2030
2026-06-25T10:12:00+05:30,1319.90,1319.90,1318.20,1318.80,1343
2026-06-25T10:13:00+05:30,1318.90,1318.90,1318.30,1318.70,215
2026-06-25T10:14:00+05:30,1319.10,1319.80,1318.70,1319.80,978
2026-06-25T10:15:00+05:30,1319.40,1320.00,1319.40,1320.00,801
2026-06-25T10:16:00+05:30,1319.80,1319.80,1319.10,1319.10,640
2026-06-25T10:17:00+05:30,1317.60,1318.60,1317.40,1317.50,1180
2026-06-25T10:18:00+05:30,1317.30,1318.80,1316.70,1318.00,945
2026-06-25T10:19:00+05:30,1318.00,1318.60,1318.00,1318.30,433
2026-06-25T10:20:00+05:30,1319.00,1319.10,1318.20,1318.80,1363
2026-06-25T10:21:00+05:30,1318.60,1318.80,1318.60,1318.80,735
2026-06-25T10:22:00+05:30,1317.90,1318.40,1317.90,1318.40,550
2026-06-25T10:23:00+05:30,1318.40,1318.70,1318.40,1318.70,1234
2026-06-25T10:24:00+05:30,1318.70,1319.90,1318.60,1319.80,411
2026-06-25T10:25:00+05:30,1319.20,1319.50,1318.70,1319.30,701
2026-06-25T10:26:00+05:30,1318.50,1319.40,1318.50,1318.50,1574
2026-06-25T10:27:00+05:30,1318.50,1319.60,1318.50,1319.60,1345
2026-06-25T10:28:00+05:30,1319.60,1319.70,1319.00,1319.70,44
