ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,176.60,176.60,175.10,175.60,0
2026-06-19T09:16:00+05:30,175.60,176.00,175.00,175.70,1366295
2026-06-19T09:17:00+05:30,175.75,176.30,175.40,176.30,625842
2026-06-19T09:18:00+05:30,176.45,176.60,175.75,176.10,474427
2026-06-19T09:19:00+05:30,176.20,176.40,175.80,176.35,463106
2026-06-19T09:20:00+05:30,176.35,176.60,176.25,176.60,381939
2026-06-19T09:21:00+05:30,176.60,176.95,176.40,176.75,384865
2026-06-19T09:22:00+05:30,176.75,176.85,176.65,176.85,194928
2026-06-19T09:23:00+05:30,176.85,177.15,176.80,177.00,364853
2026-06-19T09:24:00+05:30,176.95,177.10,176.90,177.00,209163
2026-06-19T09:25:00+05:30,177.00,177.00,176.55,176.75,308069
2026-06-19T09:26:00+05:30,176.65,176.70,176.35,176.45,255128
2026-06-19T09:27:00+05:30,176.40,176.50,176.30,176.40,155465
2026-06-19T09:28:00+05:30,176.40,176.60,176.20,176.60,161528
2026-06-19T09:29:00+05:30,176.65,176.65,176.20,176.25,256801
2026-06-19T09:30:00+05:30,176.25,176.30,176.00,176.15,255142
2026-06-19T09:31:00+05:30,176.15,176.45,176.10,176.40,172606
2026-06-19T09:32:00+05:30,176.45,176.50,176.25,176.45,156068
2026-06-19T09:33:00+05:30,176.45,176.50,176.30,176.50,207989
2026-06-19T09:34:00+05:30,176.45,176.85,176.40,176.60,258636
2026-06-19T09:35:00+05:30,176.60,176.75,176.50,176.60,142856
2026-06-19T09:36:00+05:30,176.60,176.70,176.55,176.70,102003
2026-06-19T09:37:00+05:30,176.70,176.75,176.60,176.60,122798
2026-06-19T09:38:00+05:30,176.70,176.85,176.60,176.65,133057
2026-06-19T09:39:00+05:30,176.70,176.80,176.55,176.80,179212
2026-06-19T09:40:00+05:30,176.80,176.90,176.75,176.90,87665
2026-06-19T09:41:00+05:30,176.90,177.00,176.85,177.00,116957
2026-06-19T09:42:00+05:30,176.90,176.95,176.60,176.65,198272
2026-06-19T09:43:00+05:30,176.65,176.70,176.20,176.20,246537
2026-06-19T09:44:00+05:30,176.30,176.55,176.30,176.55,63698
2026-06-19T09:45:00+05:30,176.55,176.60,176.50,176.55,90717
2026-06-19T09:46:00+05:30,176.55,176.55,176.30,176.30,91872
2026-06-19T09:47:00+05:30,176.30,176.35,176.15,176.20,187638
2026-06-19T09:48:00+05:30,176.20,176.30,176.15,176.15,75921
2026-06-19T09:49:00+05:30,176.15,176.20,176.05,176.05,164108
2026-06-19T09:50:00+05:30,176.10,176.10,175.85,175.95,565559
2026-06-19T09:51:00+05:30,175.95,176.00,175.85,175.90,116727
2026-06-19T09:52:00+05:30,175.90,176.20,175.85,176.15,209851
2026-06-19T09:53:00+05:30,176.15,176.20,176.00,176.15,117145
2026-06-19T09:54:00+05:30,176.15,176.60,176.15,176.60,159587
2026-06-19T09:55:00+05:30,176.55,176.60,176.40,176.40,164933
2026-06-19T09:56:00+05:30,176.50,176.65,176.45,176.65,77078
2026-06-19T09:57:00+05:30,176.65,176.70,176.50,176.70,106156
2026-06-19T09:58:00+05:30,176.65,176.80,176.60,176.75,89356
2026-06-19T09:59:00+05:30,176.70,176.80,176.70,176.80,55200
2026-06-19T10:00:00+05:30,176.80,176.80,176.55,176.60,176356
2026-06-19T10:01:00+05:30,176.55,176.70,176.55,176.70,52235
2026-06-19T10:02:00+05:30,176.70,176.75,176.55,176.55,64658
2026-06-19T10:03:00+05:30,176.55,176.60,176.25,176.35,138682
2026-06-19T10:04:00+05:30,176.35,176.40,176.25,176.40,90341
2026-06-19T10:05:00+05:30,176.40,176.40,176.10,176.20,176702
2026-06-19T10:06:00+05:30,176.20,176.35,176.10,176.25,71302
2026-06-19T10:07:00+05:30,176.35,176.50,176.25,176.45,68717
2026-06-19T10:08:00+05:30,176.40,176.45,176.30,176.40,116903
2026-06-19T10:09:00+05:30,176.40,176.50,176.30,176.35,92229
2026-06-19T10:10:00+05:30,176.35,176.40,176.30,176.40,55762
2026-06-19T10:11:00+05:30,176.40,176.70,176.35,176.70,123513
2026-06-19T10:12:00+05:30,176.65,176.95,176.65,176.80,189992
2026-06-19T10:13:00+05:30,176.80,176.80,176.60,176.70,53927
2026-06-19T10:14:00+05:30,176.70,176.70,176.55,176.60,92033
2026-06-19T10:15:00+05:30,176.60,176.60,176.40,176.40,93521
2026-06-19T10:16:00+05:30,176.40,176.45,176.25,176.30,78844
2026-06-19T10:17:00+05:30,176.30,176.40,176.25,176.40,54527
2026-06-19T10:18:00+05:30,176.40,176.45,176.30,176.35,92815
2026-06-19T10:19:00+05:30,176.35,176.50,176.35,176.50,55650
2026-06-19T10:20:00+05:30,176.50,176.60,176.40,176.50,44558
2026-06-19T10:21:00+05:30,176.50,176.65,176.50,176.50,61754
2026-06-19T10:22:00+05:30,176.55,176.65,176.50,176.60,72678
2026-06-19T10:23:00+05:30,176.60,176.60,176.55,176.55,42625
2026-06-19T10:24:00+05:30,176.55,176.60,176.50,176.60,41395
2026-06-19T10:25:00+05:30,176.60,176.60,176.40,176.40,68878
2026-06-19T10:26:00+05:30,176.45,176.45,176.35,176.40,79932
2026-06-19T10:27:00+05:30,176.40,176.45,176.30,176.40,85255
2026-06-19T10:28:00+05:30,176.45,176.50,176.35,176.40,36099
2026-06-19T10:29:00+05:30,176.45,176.60,176.45,176.55,24277
2026-06-19T10:30:00+05:30,176.55,176.55,176.45,176.55,37271
2026-06-19T10:31:00+05:30,176.60,176.65,176.50,176.65,41293
2026-06-19T10:32:00+05:30,176.70,176.90,176.70,176.80,183914
2026-06-19T10:33:00+05:30,176.80,176.85,176.75,176.80,62892
