ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,1102.00,1102.30,1100.50,1102.30,0
2026-06-25T09:16:00+05:30,1103.70,1104.30,1103.20,1104.00,3973
2026-06-25T09:17:00+05:30,1105.10,1106.30,1103.00,1103.00,5444
2026-06-25T09:18:00+05:30,1103.00,1103.00,1102.00,1102.30,1484
2026-06-25T09:19:00+05:30,1102.40,1102.90,1101.90,1102.90,1636
2026-06-25T09:20:00+05:30,1103.00,1103.10,1102.00,1102.00,4361
2026-06-25T09:21:00+05:30,1102.40,1102.60,1102.00,1102.40,493
2026-06-25T09:22:00+05:30,1102.50,1102.90,1102.00,1102.00,1238
2026-06-25T09:23:00+05:30,1102.10,1103.00,1102.00,1102.80,3403
2026-06-25T09:24:00+05:30,1102.90,1103.90,1102.90,1103.90,764
2026-06-25T09:25:00+05:30,1104.00,1104.00,1103.20,1103.50,542
2026-06-25T09:26:00+05:30,1102.90,1103.20,1102.20,1102.30,733
2026-06-25T09:27:00+05:30,1102.30,1102.30,1100.80,1100.80,2274
2026-06-25T09:28:00+05:30,1100.60,1102.70,1100.60,1102.70,2307
2026-06-25T09:29:00+05:30,1103.00,1103.30,1101.80,1102.90,235
2026-06-25T09:30:00+05:30,1102.30,1102.30,1101.40,1101.70,554
2026-06-25T09:31:00+05:30,1102.20,1103.60,1102.20,1102.40,3010
2026-06-25T09:32:00+05:30,1103.20,1103.50,1102.50,1102.50,1342
2026-06-25T09:33:00+05:30,1102.10,1102.10,1101.20,1101.20,2685
2026-06-25T09:34:00+05:30,1102.00,1102.00,1100.00,1100.50,1655
2026-06-25T09:35:00+05:30,1100.60,1100.70,1100.10,1100.10,503
2026-06-25T09:36:00+05:30,1100.70,1100.70,1099.00,1099.00,6624
2026-06-25T09:37:00+05:30,1099.10,1100.50,1099.10,1100.10,1174
2026-06-25T09:38:00+05:30,1100.00,1100.90,1100.00,1100.10,1005
2026-06-25T09:39:00+05:30,1100.50,1100.70,1100.00,1100.60,1761
2026-06-25T09:40:00+05:30,1100.60,1100.60,1100.00,1100.50,145
2026-06-25T09:41:00+05:30,1100.00,1101.40,1100.00,1101.40,1403
2026-06-25T09:42:00+05:30,1101.40,1101.40,1100.70,1100.90,411
2026-06-25T09:43:00+05:30,1100.90,1101.50,1100.50,1100.90,533
2026-06-25T09:44:00+05:30,1101.40,1101.50,1100.90,1100.90,803
2026-06-25T09:45:00+05:30,1100.90,1101.00,1100.00,1100.00,739
2026-06-25T09:46:00+05:30,1101.00,1101.00,1100.40,1101.00,1412
2026-06-25T09:47:00+05:30,1100.90,1100.90,1100.40,1100.50,649
2026-06-25T09:48:00+05:30,1100.20,1100.50,1100.00,1100.00,573
2026-06-25T09:49:00+05:30,1100.20,1100.20,1099.80,1099.90,263
2026-06-25T09:50:00+05:30,1099.90,1100.50,1099.90,1100.40,223
2026-06-25T09:51:00+05:30,1100.40,1100.50,1099.70,1100.50,476
2026-06-25T09:52:00+05:30,1100.70,1101.00,1100.10,1100.40,525
2026-06-25T09:53:00+05:30,1100.70,1104.60,1100.70,1104.60,4417
2026-06-25T09:54:00+05:30,1104.60,1104.60,1104.20,1104.60,792
2026-06-25T09:55:00+05:30,1104.60,1105.00,1103.80,1104.00,3890
2026-06-25T09:56:00+05:30,1104.00,1105.60,1104.00,1105.60,1681
2026-06-25T09:57:00+05:30,1105.70,1105.70,1104.30,1104.30,2027
2026-06-25T09:58:00+05:30,1104.30,1105.30,1104.30,1105.00,474
2026-06-25T09:59:00+05:30,1105.00,1106.00,1105.00,1105.00,2116
2026-06-25T10:00:00+05:30,1105.40,1105.40,1104.40,1104.60,2770
2026-06-25T10:01:00+05:30,1104.20,1104.60,1103.70,1104.50,974
2026-06-25T10:02:00+05:30,1104.50,1104.90,1104.40,1104.90,616
2026-06-25T10:03:00+05:30,1104.90,1104.90,1104.10,1104.90,1313
2026-06-25T10:04:00+05:30,1104.90,1106.00,1104.70,1105.20,2878
2026-06-25T10:05:00+05:30,1105.00,1105.20,1104.60,1104.70,1988
2026-06-25T10:06:00+05:30,1104.60,1104.80,1104.40,1104.60,1082
2026-06-25T10:07:00+05:30,1104.50,1104.50,1104.00,1104.50,1049
2026-06-25T10:08:00+05:30,1104.40,1104.70,1104.00,1104.00,1073
2026-06-25T10:09:00+05:30,1104.20,1104.20,1102.90,1103.20,1512
2026-06-25T10:10:00+05:30,1103.30,1103.50,1102.80,1102.90,1659
2026-06-25T10:11:00+05:30,1103.00,1103.00,1101.50,1101.50,4006
2026-06-25T10:12:00+05:30,1102.60,1102.60,1101.30,1101.40,3702
2026-06-25T10:13:00+05:30,1101.80,1101.90,1101.50,1101.90,1201
2026-06-25T10:14:00+05:30,1101.90,1102.50,1101.40,1102.00,3037
2026-06-25T10:15:00+05:30,1101.50,1102.40,1101.50,1102.40,1599
2026-06-25T10:16:00+05:30,1102.40,1102.50,1102.10,1102.30,3829
2026-06-25T10:17:00+05:30,1102.30,1103.60,1102.30,1103.00,4368
2026-06-25T10:18:00+05:30,1102.90,1102.90,1102.30,1102.80,708
2026-06-25T10:19:00+05:30,1102.80,1104.70,1102.80,1104.00,5962
2026-06-25T10:20:00+05:30,1104.50,1105.50,1104.50,1104.70,4565
2026-06-25T10:21:00+05:30,1105.20,1105.20,1104.20,1104.50,876
2026-06-25T10:22:00+05:30,1104.50,1105.40,1104.50,1104.50,1789
2026-06-25T10:23:00+05:30,1104.40,1104.60,1104.10,1104.20,669
2026-06-25T10:24:00+05:30,1104.20,1104.30,1104.00,1104.30,727
2026-06-25T10:25:00+05:30,1104.30,1104.30,1103.90,1104.20,2588
2026-06-25T10:26:00+05:30,1104.20,1106.80,1104.00,1106.80,6952
2026-06-25T10:27:00+05:30,1106.30,1107.90,1106.30,1107.40,5462
2026-06-25T10:28:00+05:30,1107.90,1108.50,1107.90,1108.00,2916
2026-06-25T10:29:00+05:30,1108.30,1108.60,1108.30,1108.50,6508
2026-06-25T10:30:00+05:30,1108.50,1109.20,1108.40,1108.90,2726
2026-06-25T10:31:00+05:30,1109.00,1109.10,1108.50,1108.90,1878
2026-06-25T10:32:00+05:30,1108.80,1108.90,1108.20,1108.90,3701
2026-06-25T10:33:00+05:30,1108.90,1109.60,1108.80,1109.30,2731
2026-06-25T10:34:00+05:30,1109.00,1109.60,1108.90,1108.90,2529
2026-06-25T10:35:00+05:30,1109.70,1109.70,1108.90,1109.30,1141
2026-06-25T10:36:00+05:30,1109.40,1109.50,1109.00,1109.40,879
2026-06-25T10:37:00+05:30,1109.40,1109.60,1108.90,1109.00,1295
2026-06-25T10:38:00+05:30,1109.20,1109.50,1108.60,1108.60,1684
2026-06-25T10:39:00+05:30,1109.20,1109.40,1108.90,1108.90,3108
2026-06-25T10:40:00+05:30,1108.90,1109.00,1108.30,1108.90,2512
2026-06-25T10:41:00+05:30,1108.70,1108.90,1108.10,1108.90,3415
2026-06-25T10:42:00+05:30,1109.00,1109.40,1109.00,1109.40,1531
2026-06-25T10:43:00+05:30,1109.60,1109.60,1109.40,1109.40,2043
2026-06-25T10:44:00+05:30,1109.40,1109.70,1109.40,1109.60,1781
2026-06-25T10:45:00+05:30,1109.60,1111.70,1109.60,1111.70,4910
2026-06-25T10:46:00+05:30,1111.50,1111.50,1111.30,1111.40,2319
2026-06-25T10:47:00+05:30,1111.40,1111.80,1111.00,1111.50,2862
2026-06-25T10:48:00+05:30,1111.60,1111.60,1111.20,1111.20,1487
2026-06-25T10:49:00+05:30,1111.30,1111.70,1111.30,1111.50,1617
2026-06-25T10:50:00+05:30,1111.40,1111.40,1111.30,1111.40,1337
2026-06-25T10:51:00+05:30,1111.40,1112.00,1111.30,1112.00,2191
2026-06-25T10:52:00+05:30,1112.00,1112.00,1112.00,1112.00,1255
2026-06-25T10:53:00+05:30,1111.50,1112.00,1111.50,1112.00,1460
2026-06-25T10:54:00+05:30,1112.00,1112.00,1112.00,1112.00,1290
2026-06-25T10:55:00+05:30,1112.00,1112.40,1112.00,1112.40,2065
2026-06-25T10:56:00+05:30,1112.10,1112.60,1111.80,1112.50,1373
2026-06-25T10:57:00+05:30,1112.50,1112.70,1112.50,1112.60,1867
2026-06-25T10:58:00+05:30,1112.60,1112.80,1112.50,1112.70,1061
2026-06-25T10:59:00+05:30,1112.20,1113.00,1112.20,1113.00,1040
2026-06-25T11:00:00+05:30,1113.10,1113.10,1112.30,1112.30,1266
2026-06-25T11:01:00+05:30,1112.50,1112.60,1112.10,1112.10,712
2026-06-25T11:02:00+05:30,1112.10,1112.10,1111.30,1111.80,2899
2026-06-25T11:03:00+05:30,1111.80,1112.10,1111.70,1112.00,2090
2026-06-25T11:04:00+05:30,1112.00,1112.00,1111.70,1111.70,1336
2026-06-25T11:05:00+05:30,1111.70,1111.90,1111.70,1111.90,697
2026-06-25T11:06:00+05:30,1111.60,1112.00,1111.60,1112.00,1130
2026-06-25T11:07:00+05:30,1112.00,1112.00,1110.00,1110.00,3005
2026-06-25T11:08:00+05:30,1110.20,1110.20,1109.90,1110.00,6740
2026-06-25T11:09:00+05:30,1110.00,1110.80,1109.80,1110.80,1362
2026-06-25T11:10:00+05:30,1111.00,1111.00,1110.60,1110.70,1375
2026-06-25T11:11:00+05:30,1110.50,1110.80,1110.40,1110.40,984
2026-06-25T11:12:00+05:30,1110.40,1110.40,1109.70,1109.70,1975
2026-06-25T11:13:00+05:30,1109.70,1110.00,1109.40,1110.00,1400
2026-06-25T11:14:00+05:30,1110.00,1110.00,1109.70,1109.90,1222
2026-06-25T11:15:00+05:30,1109.90,1110.00,1109.60,1109.90,603
2026-06-25T11:16:00+05:30,1110.00,1110.00,1110.00,1110.00,511
2026-06-25T11:17:00+05:30,1110.00,1110.00,1109.40,1109.60,1392
2026-06-25T11:18:00+05:30,1109.60,1109.60,1108.00,1108.00,2158
2026-06-25T11:19:00+05:30,1108.40,1108.70,1107.60,1107.60,6288
2026-06-25T11:20:00+05:30,1107.70,1108.50,1107.70,1108.40,1789
2026-06-25T11:21:00+05:30,1107.30,1107.50,1106.70,1106.70,8550
2026-06-25T11:22:00+05:30,1106.70,1107.00,1105.90,1105.90,12634
2026-06-25T11:23:00+05:30,1106.30,1106.30,1106.30,1106.30,1190
2026-06-25T11:24:00+05:30,1106.30,1106.80,1106.30,1106.50,8680
2026-06-25T11:25:00+05:30,1106.40,1106.50,1106.00,1106.00,8359
2026-06-25T11:26:00+05:30,1106.00,1106.00,1105.90,1106.00,1567
2026-06-25T11:27:00+05:30,1106.00,1106.00,1105.30,1105.70,1479
2026-06-25T11:28:00+05:30,1105.70,1105.80,1104.50,1105.00,3023
2026-06-25T11:29:00+05:30,1105.00,1105.50,1104.90,1105.10,3780
2026-06-25T11:30:00+05:30,1105.00,1105.90,1105.00,1105.40,6887
2026-06-25T11:31:00+05:30,1105.40,1105.50,1105.40,1105.50,3647
2026-06-25T11:32:00+05:30,1106.00,1106.00,1105.50,1105.50,2004
