det,n,hit,base,edge,val_e,crcB_e,net1,net3,net3_val
bos_frac22,18820.0,46.2,52.1,-5.9,-5.8,-6.13,-0.31,-0.3,-0.32
bos_lux5,11929.0,45.89,52.32,-6.43,-6.23,-6.07,-0.31,-0.3,-0.29
bos_prod33,14307.0,45.84,52.1,-6.25,-6.17,-6.31,-0.32,-0.3,-0.32
brk_bb,1437.0,50.17,30.56,19.62,21.18,19.42,-0.27,-0.33,-0.31
brk_mb,2590.0,50.42,33.32,17.1,18.01,16.77,-0.25,-0.27,-0.28
brk_ob,5229.0,48.31,33.27,15.04,13.75,13.43,-0.28,-0.3,-0.33
fvg_dpine_cehold,12976.0,47.36,36.63,10.73,10.43,10.61,-0.24,-0.24,-0.26
fvg_dpine_retest,14186.0,46.52,41.81,4.72,4.97,4.81,-0.24,-0.25,-0.23
fvg_ours03_cehold,37706.0,48.23,38.76,9.47,9.09,9.38,-0.27,-0.28,-0.29
fvg_ours03_retest,44597.0,47.15,45.53,1.62,1.7,1.52,-0.28,-0.28,-0.29
fvg_port_cehold,13133.0,47.3,36.63,10.67,10.46,10.57,-0.24,-0.24,-0.26
fvg_port_retest,14374.0,46.47,41.9,4.56,4.96,4.88,-0.24,-0.25,-0.23
fvg_smc_cehold,22679.0,47.21,37.71,9.5,9.14,9.41,-0.26,-0.26,-0.28
fvg_smc_retest,26728.0,46.58,44.02,2.56,2.76,2.32,-0.25,-0.26,-0.28
ifvg_dpine,6641.0,46.06,50.15,-4.09,-3.64,-4.26,-0.24,-0.23,-0.21
ifvg_ours03,25770.0,46.01,50.38,-4.36,-3.78,-4.38,-0.28,-0.28,-0.28
propulsion,9397.0,46.43,48.64,-2.21,-2.01,-2.34,-0.28,-0.31,-0.33
