det,n,hit,base,edge,val_e,crcB_e,net1,net3,net3_val
bos_frac22,22655.0,48.54,48.77,-0.23,-0.76,0.24,-0.23,-0.21,-0.22
bos_lux5,14388.0,48.56,48.85,-0.29,-1.51,-0.54,-0.23,-0.19,-0.22
bos_prod33,18235.0,48.83,48.75,0.07,-0.79,0.69,-0.22,-0.2,-0.22
brk_bb,1792.0,46.6,48.79,-2.2,-0.82,-3.67,-0.27,-0.23,-0.17
brk_mb,2931.0,47.87,48.48,-0.62,-0.86,-0.15,-0.26,-0.22,-0.19
brk_ob,5903.0,46.77,48.71,-1.94,-0.45,-2.64,-0.29,-0.26,-0.24
fvg_dpine_cehold,20885.0,47.72,49.12,-1.4,-1.84,-1.34,-0.23,-0.18,-0.2
fvg_dpine_retest,22864.0,48.14,49.16,-1.02,-1.98,-1.2,-0.23,-0.17,-0.21
fvg_ours03_cehold,49928.0,48.19,48.86,-0.67,-0.43,-0.87,-0.24,-0.2,-0.21
fvg_ours03_retest,58337.0,48.74,48.95,-0.21,-0.27,-0.29,-0.23,-0.19,-0.2
fvg_port_cehold,21024.0,47.76,48.93,-1.16,-1.53,-1.24,-0.23,-0.18,-0.2
fvg_port_retest,23026.0,48.21,49.06,-0.85,-1.7,-0.94,-0.23,-0.17,-0.21
fvg_smc_cehold,32394.0,48.33,48.99,-0.67,0.02,-1.13,-0.23,-0.21,-0.22
fvg_smc_retest,37883.0,48.73,48.82,-0.1,-0.24,-0.63,-0.22,-0.2,-0.22
ifvg_dpine,11415.0,49.36,48.83,0.53,0.06,0.83,-0.2,-0.19,-0.2
ifvg_ours03,37722.0,49.36,48.89,0.47,0.1,0.54,-0.21,-0.17,-0.2
propulsion,11411.0,49.29,48.68,0.61,1.3,0.84,-0.21,-0.17,-0.18
