detector,event,n,hit,base,edge,fwd12,mfe,mae,edge_by_strength
wyckoff,SPRING,3,0.6666666666666666,0.16666666666666666,0.5,-0.9156893946809874,1.8464374502835046,1.3595087943355715,-
ob_taught,OB_RETEST,115,0.5565217391304348,0.35826086956521735,0.19826086956521743,0.007650564433231307,2.0935304958666228,1.6946071203268587,-
propulsion2,PROPULSION2,67,0.6119402985074627,0.4447761194029851,0.16716417910447756,0.5118386877409343,2.3838518198076786,1.5182875162760756,-
fvg,BPR,21,0.6190476190476191,0.45714285714285713,0.16190476190476194,0.17627144398840594,1.9729418431649224,1.8028182188918254,-
fvg_n,IFVG_RETEST,340,0.55,0.39676470588235296,0.15323529411764708,0.14732095575647522,2.1801915413019346,1.8454339541671505,-
ob_taught,MIT_RETEST,67,0.5223880597014925,0.3977611940298508,0.12462686567164172,0.3927054089381661,1.8582364280537695,1.398209569648592,-
fvg,CE_HOLD,349,0.49283667621776506,0.37822349570200575,0.1146131805157593,0.09446666487002081,2.080966022912436,1.9118513729014415,-
fvg_n,FVG_N_RETEST,368,0.47554347826086957,0.3654891304347826,0.11005434782608697,-0.08097212305436247,1.9690728302247607,2.069680055000831,-
ob_taught,BRK_RETEST,27,0.5555555555555556,0.48148148148148157,0.07407407407407401,0.531646980887957,2.3733877794395224,1.714605330010299,-
orderblock,OB_RETEST,765,0.5032679738562091,0.43333333333333335,0.06993464052287579,0.009853877971077151,1.8187232063705803,1.7871452179572938,+0.16/+0.05/+0.00
wyckoff,PHASE,749,0.5166889185580774,0.4682242990654206,0.04846461949265679,0.1197870203585972,2.231178854881414,1.9492064244223806,-
compression,BOX_ON_LEVEL,126,0.5,0.49047619047619045,0.009523809523809545,-0.07487779290050454,1.9072543969702849,1.8969204136313071,-
sweep,SWEEP,234,0.41452991452991456,0.4376068376068376,-0.02307692307692305,-0.14840673924934317,1.9910707116367352,2.3936464086031783,-0.08/-0.04/+0.05
htf_nest,NEST,84,0.2976190476190476,0.569047619047619,-0.2714285714285714,-0.12349303166684808,2.0923961394068775,2.2649186966413817,-0.31/-0.23/-0.27
liquidity,POOL_NEAR,219,,,,1.5109267853194988,2.1043350507022907,2.31758702909002,-
premium_discount,,43,,,,1.7442387487590474,1.3840383007440544,2.5841693398298746,-
