detector,event,n,hit,base,edge,fwd12,mfe,mae,edge_by_strength
wyckoff,SPRING,2,1.0,0.6000000000000001,0.3999999999999999,1.3209949143498099,4.280483953521296,0.1042830540037244,-
wyckoff,UPTHRUST,4,0.5,0.375,0.125,1.4348489782626395,2.4844107292338586,1.2192765381379727,-
ob_taught,BRK_RETEST,502,0.4760956175298805,0.3545816733067729,0.12151394422310757,-0.2679445514391,2.115356370123923,2.2239019717226065,-
propulsion2,PROPULSION2,131,0.46564885496183206,0.3538167938931298,0.11183206106870225,0.36443899041700517,2.3371431829668396,2.0690051242234944,-
ob_taught,MIT_RETEST,942,0.4585987261146497,0.3517515923566879,0.10684713375796179,-0.02761803079476544,2.2516046476986307,2.236961945664029,-
fvg_n,IFVG_RETEST,1627,0.4578979717271051,0.35144437615242774,0.10645359557467737,-0.00047863102577039675,2.341674822070243,2.263143627287896,-
ob_taught,OB_RETEST,1503,0.469061876247505,0.3696274118429807,0.0994344644045243,-0.14739650848624064,2.297121876736793,2.3698522871485728,-
fvg_n,FVG_N_RETEST,1742,0.452353616532721,0.3587543053960965,0.09359931113662451,-0.056962701521066215,2.3378701160518593,2.402855396460027,-
fvg,CE_HOLD,1118,0.45348837209302323,0.3847048300536673,0.06878354203935594,-0.012768882125900641,2.3420222721352046,2.2641236836967087,-
sweep,SWEEP,2606,0.4838833461243285,0.4203568687643898,0.06352647735993866,0.11440294826942182,2.3375545024859856,2.237860211428295,+0.09/+0.08/+0.02
wyckoff,PHASE,1424,0.48314606741573035,0.43374297752808993,0.04940308988764042,0.009649026167497337,2.2835054173799807,2.2726798668919015,-
fvg,BPR,120,0.5166666666666667,0.475,0.04166666666666674,-0.0618638497934457,2.111137571677254,2.1644866580403126,-
orderblock,OB_RETEST,1681,0.46519928613920286,0.4248066627007733,0.04039262343842959,-0.11311282608979278,2.1610073260126073,2.222212057842206,+0.04/+0.05/+0.03
compression,BOX_ON_LEVEL,460,0.4717391304347826,0.4818478260869565,-0.010108695652173871,0.15034065399812505,2.1449509928624035,2.042798767254948,-
htf_nest,NEST,382,0.48429319371727747,0.5019633507853403,-0.017670157068062797,-0.2657325776852038,2.4417701800533846,2.6936812072856315,+0.03/-0.05/-0.04
liquidity,POOL_NEAR,2404,,,,1.6983119587279485,2.2724397763632167,2.0804717789850287,-
premium_discount,,4634,,,,1.7513244330648814,2.0789885749061914,2.36496304187867,-
