sym,ts,cls,adverse_beyond_sl_R,mfe_after_R
AARTIIND,2026-01-29 09:20:00+05:30,shaken_winner,12.67,103.9
AARTIIND,2026-01-30 09:20:00+05:30,shaken_winner,8.89,101.9
AARTIIND,2026-01-30 09:30:00+05:30,shaken_winner,-2.0,101.9
AARTIIND,2026-02-02 09:35:00+05:30,true_loser,45.14,0.1
AARTIIND,2026-04-10 09:20:00+05:30,shaken_winner,17.89,27.4
AARTIIND,2026-04-10 09:50:00+05:30,shaken_winner,17.26,27.4
AARTIIND,2026-04-15 09:20:00+05:30,shaken_winner,31.06,18.8
AARTIIND,2026-04-21 10:35:00+05:30,true_loser,96.62,-0.1
AARTIIND,2026-05-13 09:20:00+05:30,shaken_winner,4.43,45.3
AARTIIND,2026-05-13 10:55:00+05:30,shaken_winner,-4.43,45.3
AARTIIND,2026-05-21 09:55:00+05:30,true_loser,13.36,-3.9
AARTIIND,2026-07-02 09:25:00+05:30,true_loser,36.82,-9.4
ABB,2026-06-16 10:00:00+05:30,true_loser,18.66,0.3
ABFRL,2026-03-06 10:40:00+05:30,true_loser,149.6,8.6
ABFRL,2026-03-25 11:25:00+05:30,true_loser,50.0,-1.0
ABFRL,2026-06-01 14:35:00+05:30,true_loser,150.4,-5.8
ABFRL,2026-06-02 10:45:00+05:30,true_loser,12.73,2.3
ABFRL,2026-06-03 09:20:00+05:30,shaken_winner,16.1,4.9
ABFRL,2026-06-29 15:25:00+05:30,shaken_winner,25.4,92.8
ADANIENT,2026-02-04 09:30:00+05:30,true_loser,0.85,0.4
ADANIENT,2026-03-10 09:40:00+05:30,true_loser,9.34,3.3
ADANIENT,2026-03-16 10:10:00+05:30,shaken_winner,5.93,22.9
ADANIENT,2026-03-17 09:20:00+05:30,shaken_winner,14.76,41.3
ADANIENT,2026-03-18 14:10:00+05:30,true_loser,33.23,1.5
ADANIENT,2026-03-20 09:45:00+05:30,true_loser,60.28,7.3
ADANIENT,2026-03-20 10:20:00+05:30,true_loser,23.91,0.1
ADANIENT,2026-03-20 13:20:00+05:30,true_loser,127.89,1.0
ADANIENT,2026-04-13 09:50:00+05:30,true_loser,32.38,-3.9
ADANIPORTS,2026-01-19 09:20:00+05:30,true_loser,33.5,8.1
ADANIPORTS,2026-01-23 09:20:00+05:30,true_loser,78.62,-2.2
ADANIPOWER,2026-01-13 10:55:00+05:30,shaken_winner,12.9,15.0
ADANIPOWER,2026-01-23 09:20:00+05:30,true_loser,10.49,0.9
ADANIPOWER,2026-01-23 09:40:00+05:30,true_loser,47.2,-0.3
ADANIPOWER,2026-02-02 09:50:00+05:30,shaken_winner,4.98,74.8
ADANIPOWER,2026-02-03 09:45:00+05:30,true_loser,203.0,-52.2
ADANIPOWER,2026-03-10 09:30:00+05:30,shaken_winner,13.92,116.2
ADANIPOWER,2026-03-10 10:50:00+05:30,shaken_winner,13.92,116.2
ADANIPOWER,2026-03-11 13:25:00+05:30,shaken_winner,7.95,73.0
ADANIPOWER,2026-03-12 09:20:00+05:30,shaken_winner,0.4,119.8
ADANIPOWER,2026-03-20 09:20:00+05:30,shaken_winner,0.48,97.8
ADANIPOWER,2026-06-19 09:35:00+05:30,shaken_winner,0.91,6.1
ALKEM,2026-02-19 09:20:00+05:30,true_loser,39.75,5.0
ALKEM,2026-03-13 09:50:00+05:30,true_loser,61.64,1.2
ALKEM,2026-03-25 12:50:00+05:30,true_loser,63.5,3.5
ALKEM,2026-04-21 09:20:00+05:30,shaken_winner,19.54,72.5
ALKEM,2026-05-25 10:15:00+05:30,shaken_winner,24.88,22.2
ALKEM,2026-07-08 09:20:00+05:30,shaken_winner,9.27,20.1
ALKEM,2026-07-16 09:20:00+05:30,shaken_winner,3.15,10.4
ALKEM,2026-07-21 09:50:00+05:30,shaken_winner,3.0,34.4
ALKEM,2026-07-23 15:30:00+05:30,shaken_winner,8.33,7.2
APOLLOHOSP,2026-02-12 09:50:00+05:30,true_loser,14.92,1.5
APOLLOHOSP,2026-03-23 10:35:00+05:30,shaken_winner,33.56,83.8
APOLLOHOSP,2026-03-25 09:20:00+05:30,true_loser,26.45,-4.7
APOLLOHOSP,2026-04-15 11:50:00+05:30,shaken_winner,15.69,44.8
APOLLOHOSP,2026-04-15 13:15:00+05:30,shaken_winner,23.27,48.5
APOLLOTYRE,2026-02-01 12:10:00+05:30,shaken_winner,15.7,40.2
APOLLOTYRE,2026-02-02 09:20:00+05:30,shaken_winner,1.87,33.4
APOLLOTYRE,2026-02-13 09:50:00+05:30,true_loser,20.16,0.5
APOLLOTYRE,2026-04-24 10:10:00+05:30,true_loser,17.5,2.4
APOLLOTYRE,2026-05-29 11:05:00+05:30,true_loser,9.03,-1.3
APOLLOTYRE,2026-07-22 09:20:00+05:30,shaken_winner,192.67,47.0
APOLLOTYRE,2026-07-22 09:50:00+05:30,shaken_winner,23.37,13.6
APOLLOTYRE,2026-07-23 12:20:00+05:30,true_loser,58.36,-5.7
ASHOKLEY,2026-03-12 09:25:00+05:30,true_loser,55.16,-9.6
ASHOKLEY,2026-04-24 09:20:00+05:30,true_loser,11.6,5.2
ASHOKLEY,2026-04-24 10:10:00+05:30,true_loser,8.67,15.3
ASHOKLEY,2026-07-14 09:20:00+05:30,shaken_winner,0.62,10.2
ASHOKLEY,2026-07-21 09:20:00+05:30,true_loser,36.73,10.0
ASHOKLEY,2026-07-21 10:25:00+05:30,true_loser,36.73,10.0
ASHOKLEY,2026-07-21 11:00:00+05:30,true_loser,36.73,10.0
ASIANPAINT,2026-01-16 09:20:00+05:30,true_loser,40.5,18.5
ASIANPAINT,2026-05-22 10:20:00+05:30,true_loser,29.49,-0.9
ASIANPAINT,2026-05-29 09:35:00+05:30,shaken_winner,53.69,20.8
ASIANPAINT,2026-05-29 10:20:00+05:30,shaken_winner,11.38,6.5
ASIANPAINT,2026-06-12 09:20:00+05:30,true_loser,55.06,-3.6
ASIANPAINT,2026-06-12 09:35:00+05:30,true_loser,55.06,-3.6
ASIANPAINT,2026-07-21 09:20:00+05:30,shaken_winner,33.85,118.8
AUBANK,2026-01-08 12:10:00+05:30,true_loser,3.0,18.9
AUBANK,2026-01-09 09:20:00+05:30,true_loser,0.36,6.3
AUBANK,2026-01-29 10:20:00+05:30,true_loser,3.8,18.9
AUBANK,2026-02-02 09:20:00+05:30,shaken_winner,1.22,22.0
AUBANK,2026-02-09 14:25:00+05:30,shaken_winner,15.0,41.5
AUBANK,2026-02-11 09:55:00+05:30,shaken_winner,1.13,24.9
AUBANK,2026-02-13 13:30:00+05:30,shaken_winner,13.47,37.1
AUBANK,2026-02-13 13:35:00+05:30,shaken_winner,15.33,35.0
AUBANK,2026-02-16 10:20:00+05:30,true_loser,44.53,7.0
AUBANK,2026-02-16 10:25:00+05:30,true_loser,36.59,3.0
AUBANK,2026-02-16 12:30:00+05:30,true_loser,64.75,8.7
AUBANK,2026-02-17 09:25:00+05:30,true_loser,23.45,10.6
AUBANK,2026-02-17 09:30:00+05:30,true_loser,26.72,8.0
AUBANK,2026-02-17 13:55:00+05:30,true_loser,551.33,27.7
AUBANK,2026-02-17 14:10:00+05:30,true_loser,78.4,7.6
AUBANK,2026-02-17 14:35:00+05:30,true_loser,34.52,2.3
AUBANK,2026-02-20 09:20:00+05:30,shaken_winner,5.41,82.8
AUBANK,2026-02-26 11:15:00+05:30,true_loser,10.6,0.4
AUBANK,2026-02-26 12:40:00+05:30,true_loser,15.66,4.6
AUBANK,2026-02-27 14:35:00+05:30,true_loser,61.41,5.3
AUBANK,2026-02-27 14:55:00+05:30,true_loser,30.24,1.7
AUBANK,2026-03-23 09:20:00+05:30,shaken_winner,35.2,79.7
AUBANK,2026-06-22 11:10:00+05:30,true_loser,61.39,8.2
AUBANK,2026-06-24 09:25:00+05:30,true_loser,51.87,10.9
AUROPHARMA,2026-01-16 09:20:00+05:30,true_loser,15.69,11.8
AUROPHARMA,2026-03-05 11:05:00+05:30,true_loser,8.16,0.3
AUROPHARMA,2026-03-05 12:15:00+05:30,true_loser,30.84,1.5
AUROPHARMA,2026-03-09 11:25:00+05:30,true_loser,35.78,0.8
AUROPHARMA,2026-07-23 13:55:00+05:30,shaken_winner,14.8,7.4
AXISBANK,2026-01-27 09:20:00+05:30,true_loser,9.06,3.1
AXISBANK,2026-01-29 09:50:00+05:30,true_loser,57.5,-1.4
AXISBANK,2026-01-29 10:30:00+05:30,true_loser,57.5,-4.4
AXISBANK,2026-01-29 11:15:00+05:30,true_loser,89.43,-15.7
AXISBANK,2026-02-03 09:20:00+05:30,true_loser,25.3,2.3
AXISBANK,2026-02-03 15:15:00+05:30,true_loser,16.13,52.9
AXISBANK,2026-02-10 11:15:00+05:30,shaken_winner,0.0,57.5
AXISBANK,2026-02-17 09:25:00+05:30,true_loser,38.43,6.9
AXISBANK,2026-02-17 10:30:00+05:30,true_loser,50.67,19.0
AXISBANK,2026-04-10 09:20:00+05:30,shaken_winner,19.56,6.5
AXISBANK,2026-04-17 14:55:00+05:30,shaken_winner,53.71,19.6
AXISBANK,2026-05-13 10:05:00+05:30,true_loser,16.5,10.7
AXISBANK,2026-05-15 09:20:00+05:30,shaken_winner,9.67,7.9
AXISBANK,2026-06-04 12:40:00+05:30,shaken_winner,11.13,27.8
AXISBANK,2026-06-12 09:20:00+05:30,shaken_winner,53.47,8.2
AXISBANK,2026-06-15 15:30:00+05:30,shaken_winner,0.07,16.2
AXISBANK,2026-06-16 11:00:00+05:30,shaken_winner,1.33,9.0
AXISBANK,2026-06-22 11:25:00+05:30,true_loser,46.93,10.9
AXISBANK,2026-06-22 13:20:00+05:30,true_loser,84.67,12.3
AXISBANK,2026-06-23 10:05:00+05:30,true_loser,41.78,6.2
AXISBANK,2026-06-24 09:20:00+05:30,true_loser,27.36,6.6
AXISBANK,2026-06-30 11:25:00+05:30,shaken_winner,8.35,13.8
AXISBANK,2026-07-22 09:30:00+05:30,true_loser,19.66,-1.7
AXISBANK,2026-07-24 09:20:00+05:30,true_loser,16.18,19.0
BAJAJ-AUTO,2026-01-27 09:25:00+05:30,true_loser,8.52,7.7
BAJAJ-AUTO,2026-01-28 09:45:00+05:30,shaken_winner,10.48,18.6
BAJAJ-AUTO,2026-01-28 10:00:00+05:30,shaken_winner,5.59,30.9
BAJAJ-AUTO,2026-01-28 10:40:00+05:30,shaken_winner,2.67,30.9
BAJAJ-AUTO,2026-01-30 14:30:00+05:30,shaken_winner,21.79,25.8
BAJAJ-AUTO,2026-02-01 09:20:00+05:30,shaken_winner,50.15,66.6
BAJAJ-AUTO,2026-02-02 09:40:00+05:30,shaken_winner,11.22,41.9
BAJAJ-AUTO,2026-02-03 09:20:00+05:30,true_loser,20.24,6.7
BAJAJ-AUTO,2026-02-09 11:15:00+05:30,true_loser,79.06,4.1
BAJAJ-AUTO,2026-02-10 09:20:00+05:30,true_loser,72.56,-9.9
BAJAJ-AUTO,2026-02-13 10:00:00+05:30,true_loser,-0.36,5.9
BAJAJ-AUTO,2026-03-06 09:45:00+05:30,shaken_winner,6.89,47.9
BAJAJ-AUTO,2026-03-09 11:00:00+05:30,shaken_winner,13.63,14.3
BAJAJ-AUTO,2026-03-11 10:20:00+05:30,true_loser,51.38,3.5
BAJAJ-AUTO,2026-03-17 09:40:00+05:30,true_loser,19.6,14.1
BAJAJ-AUTO,2026-03-19 10:15:00+05:30,true_loser,7.16,0.2
BAJAJ-AUTO,2026-04-15 09:35:00+05:30,true_loser,19.86,11.8
BAJAJ-AUTO,2026-04-15 09:45:00+05:30,true_loser,38.57,28.1
BAJAJ-AUTO,2026-04-16 09:50:00+05:30,true_loser,0.73,9.0
BAJAJ-AUTO,2026-04-21 09:20:00+05:30,shaken_winner,1.67,30.4
BAJAJ-AUTO,2026-05-20 09:20:00+05:30,true_loser,52.6,-0.1
BAJAJ-AUTO,2026-05-20 10:35:00+05:30,true_loser,52.6,-13.0
BAJAJ-AUTO,2026-06-05 10:00:00+05:30,shaken_winner,0.34,12.4
BAJAJFINSV,2026-01-23 09:20:00+05:30,true_loser,16.65,1.1
BAJAJFINSV,2026-02-01 10:20:00+05:30,shaken_winner,30.74,57.2
BAJAJFINSV,2026-02-01 11:45:00+05:30,shaken_winner,51.17,88.6
BAJAJFINSV,2026-02-16 09:35:00+05:30,true_loser,24.3,-2.6
BAJAJFINSV,2026-02-17 09:55:00+05:30,shaken_winner,4.2,6.4
BAJAJFINSV,2026-03-11 09:20:00+05:30,true_loser,44.51,4.9
BAJAJFINSV,2026-04-30 11:30:00+05:30,shaken_winner,26.24,13.0
BAJAJFINSV,2026-05-18 09:35:00+05:30,shaken_winner,8.06,19.1
BAJAJFINSV,2026-05-18 10:50:00+05:30,shaken_winner,6.23,27.4
BAJAJFINSV,2026-06-02 10:30:00+05:30,shaken_winner,9.21,19.8
BAJAJFINSV,2026-06-03 09:20:00+05:30,true_loser,14.07,15.3
BAJAJFINSV,2026-06-04 09:50:00+05:30,true_loser,9.25,7.5
BAJAJFINSV,2026-06-05 09:55:00+05:30,true_loser,10.47,4.6
BAJAJFINSV,2026-07-10 13:20:00+05:30,shaken_winner,4.07,20.7
BAJFINANCE,2026-01-07 11:50:00+05:30,true_loser,35.25,37.0
BAJFINANCE,2026-01-08 11:30:00+05:30,true_loser,16.24,10.7
BAJFINANCE,2026-01-19 09:50:00+05:30,true_loser,9.86,4.1
BAJFINANCE,2026-01-20 09:55:00+05:30,true_loser,9.86,-2.5
BAJFINANCE,2026-01-22 11:55:00+05:30,true_loser,7.2,7.2
BAJFINANCE,2026-03-10 09:20:00+05:30,true_loser,116.5,10.0
BAJFINANCE,2026-06-02 09:20:00+05:30,true_loser,34.61,-6.6
BAJFINANCE,2026-06-05 10:05:00+05:30,true_loser,15.9,2.3
BAJFINANCE,2026-06-10 14:35:00+05:30,shaken_winner,23.94,35.1
BAJFINANCE,2026-06-19 10:45:00+05:30,true_loser,8.14,1.0
BAJFINANCE,2026-06-30 11:00:00+05:30,true_loser,22.65,1.2
BALKRISIND,2026-01-13 09:50:00+05:30,true_loser,10.46,12.5
BALKRISIND,2026-01-13 10:15:00+05:30,true_loser,29.5,17.4
BALKRISIND,2026-01-14 09:30:00+05:30,true_loser,17.02,5.3
BALKRISIND,2026-01-14 09:35:00+05:30,true_loser,18.29,1.9
BALKRISIND,2026-01-20 10:55:00+05:30,true_loser,34.76,19.2
BALKRISIND,2026-01-21 09:35:00+05:30,true_loser,13.18,7.9
BALKRISIND,2026-02-04 09:35:00+05:30,true_loser,30.5,1.1
BALKRISIND,2026-02-04 11:20:00+05:30,true_loser,96.74,-0.4
BALKRISIND,2026-02-06 09:20:00+05:30,true_loser,1.0,7.6
BALKRISIND,2026-02-06 09:30:00+05:30,true_loser,19.79,6.5
BALKRISIND,2026-02-06 09:40:00+05:30,true_loser,6.29,6.7
