sym,ts,cls,adverse_beyond_sl_R,mfe_after_R,R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,target,zone_hi,zone_lo,_k,rr,riskA,hr,sl_pct,bucket
AARTIIND,2026-01-29 09:20:00+05:30,shaken_winner,12.67,103.9,-1.0,False,LONG,352.375,6,0.0,ob_taught,OB_RETEST,eod,2,-3.1307,True,stop,True,early/A,352.15,0.7,True,357.4,354.55,353.6,AARTIIND|352.4|352.2|357.4,22.333333333330977,0.22500000000002274,9,0.06385242993970137,>10R
AARTIIND,2026-01-30 09:20:00+05:30,shaken_winner,8.89,101.9,-8.11111111111111,False,LONG,352.825,5,0.0,fvg_n,IFVG_RETEST,eod,2,-10.2444,True,gap,True,early/A,352.6,0.6,False,357.4,352.3,350.65,AARTIIND|352.8|352.6|357.4,20.333333333336366,0.2249999999999659,9,0.06377099128462152,4-10R
AARTIIND,2026-01-30 09:30:00+05:30,shaken_winner,-2.0,101.9,-5.444444444444445,False,LONG,352.825,5,0.0,fvg_n,FVG_N_RETEST,eod,2,-7.5777,True,gap,True,early/A,352.6,0.6,False,357.025,353.75,352.1,AARTIIND|352.8|352.6|357.0,18.666666666669446,0.2249999999999659,9,0.06377099128462152,
AARTIIND,2026-04-10 09:20:00+05:30,shaken_winner,17.89,27.4,-5.631578947368421,False,SHORT,423.025,5,0.0,fvg_n,FVG_N_RETEST,eod,2,-6.8777,True,gap,True,late/A,423.5,0.6,False,416.85,427.4,425.75,AARTIIND|423.0|423.5|416.8,12.999999999999282,0.47500000000002274,9,0.11228650788961002,>10R
AARTIIND,2026-04-10 09:50:00+05:30,shaken_winner,17.26,27.4,-16.894736842105264,False,SHORT,423.025,6,0.0,ob_taught,OB_RETEST,eod,2,-18.1409,True,gap,True,late/A,423.5,0.7,True,419.8,432.05,431.9,AARTIIND|423.0|423.5|419.8,6.7894736842101295,0.47500000000002274,9,0.11228650788961002,>10R
AARTIIND,2026-04-15 09:20:00+05:30,shaken_winner,31.06,18.8,-2.764705882352941,False,SHORT,428.875,5,0.0,fvg_n,FVG_N_RETEST,eod,2,-4.166,True,gap,False,late/A,429.3,0.6,True,425.15,429.8,428.8,AARTIIND|428.9|429.3|425.2,8.76470588235276,0.42500000000001137,9,0.09909647333139292,>10R
AARTIIND,2026-05-13 09:20:00+05:30,shaken_winner,4.43,45.3,-1.0,False,SHORT,474.1,6,0.0,fvg_n,FVG_N_RETEST,eod,3,-2.8537,True,stop,False,late/A,474.45,0.6,True,460.2,474.45,472.95,AARTIIND|474.1|474.4|460.2,39.71428571428968,0.3499999999999659,9,0.07382408774519424,4-10R
AARTIIND,2026-05-13 10:55:00+05:30,shaken_winner,-4.43,45.3,-1.1428571428571428,False,SHORT,474.1,6,0.0,fvg_n,FVG_N_RETEST,eod,3,-2.9965,True,gap,True,late/A,474.45,0.6,False,464.9,474.45,472.95,AARTIIND|474.1|474.4|464.9,26.285714285716978,0.3499999999999659,10,0.07382408774519424,
ABFRL,2026-06-03 09:20:00+05:30,shaken_winner,16.1,4.9,-1.0,False,LONG,61.6,7,0.0,fvg_n,IFVG_RETEST,eod,3,-1.8866,True,stop,True,late/B,61.5,0.6,True,61.95,61.2,61.1,ABFRL|61.6|61.5|62.0,3.4999999999999645,0.10000000000000142,9,0.16233766233766464,>10R
ABFRL,2026-06-29 15:25:00+05:30,shaken_winner,25.4,92.8,-8.0,False,LONG,59.2,5,0.697,fvg_n,IFVG_RETEST,eod,2,-9.6303,True,eod,False,late/B,59.15,0.6,False,59.6,58.55,58.4,ABFRL|59.2|59.2|59.6,7.9999999999992895,0.05000000000000426,15,0.08445945945946666,>10R
