detector,event,n,hit,base,edge,fwd12,mfe,mae,edge_by_strength
wyckoff,UPTHRUST,3,0.6666666666666666,0.39999999999999997,0.26666666666666666,4.69364161849711,3.041420878415098,0.8698335062496912,-
ob_taught,MIT_RETEST,209,0.5263157894736842,0.3473684210526316,0.17894736842105258,-0.0010972559247956265,2.2208851354961876,1.961631772074381,-
fvg_n,IFVG_RETEST,395,0.4835443037974684,0.3491139240506329,0.13443037974683547,0.06955893940173685,2.3813125490630966,2.011790670750219,-
sweep,SWEEP,596,0.5,0.39236577181208054,0.10763422818791946,-0.06484307503566289,2.2739940064099358,2.4808851995223224,+0.10/+0.14/+0.08
propulsion2,PROPULSION2,34,0.47058823529411764,0.3735294117647059,0.09705882352941175,0.25463757918738916,2.4018119286618123,2.2319869363563543,-
fvg,CE_HOLD,303,0.45544554455445546,0.3645214521452145,0.09092409240924099,-0.024535325199701516,2.535845059749202,2.296315184246847,-
fvg_n,FVG_N_RETEST,404,0.452970297029703,0.36435643564356435,0.08861386138613864,0.021562928608364094,2.4792385419635403,2.440275966086368,-
ob_taught,BRK_RETEST,135,0.42962962962962964,0.34518518518518515,0.08444444444444449,-0.06684973402825316,1.9352687191900975,2.2027135899785493,-
ob_taught,OB_RETEST,345,0.463768115942029,0.3914492753623189,0.07231884057971011,-0.1793681387674069,2.421425952678512,2.552170008074653,-
wyckoff,PHASE,314,0.535031847133758,0.4654458598726115,0.06958598726114645,0.12069277579626606,2.644424420807903,2.4289496141240856,-
orderblock,OB_RETEST,399,0.48872180451127817,0.44273182957393487,0.0459899749373433,-0.10884160344813545,2.2846041364028458,2.330505097362707,+0.09/+0.04/+0.01
compression,BOX_ON_LEVEL,124,0.47580645161290325,0.4504032258064516,0.025403225806451657,0.29199511904394887,2.1924684171295232,2.057484147751136,-
fvg,BPR,34,0.4117647058823529,0.45882352941176463,-0.04705882352941171,0.14950263678300355,2.574397940285261,2.4551827391355565,-
liquidity,POOL_NEAR,554,,,,1.6812902114512775,2.130223120006076,2.272038019300173,-
premium_discount,,1370,,,,1.7702812308203515,2.0989093562088814,2.711188392319291,-
