R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
-1.0,False,SHORT,1206.5,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-1.6066,True,stop,True,early/A,1209.5,0.6,False,HAVELLS,1178.45,2026-05-20T13:05:00+05:30,1209.5,1203.5
-1.0,False,SHORT,1206.05,2,0.0,ob_taught,OB_RETEST,intrabar,0,-3.1856,True,stop,True,early/A,1206.8,0.7,False,HAVELLS,1190.85,2026-05-20T13:45:00+05:30,1206.8,1205.3
-1.0,False,SHORT,1210.45,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.254,True,stop,True,early/A,1211.8,0.6,False,HAVELLS,1190.85,2026-05-20T14:00:00+05:30,1211.8,1209.1
-1.8444444444444448,False,SHORT,1203.75,1,0.0,ob_taught,BRK_RETEST,intrabar,0,-2.625,True,gap,False,early/A,1206.0,0.7,False,HAVELLS,1190.85,2026-05-20T14:20:00+05:30,1206.0,1201.5
-1.0,False,SHORT,1209.45,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4571,True,stop,False,early/A,1210.6,0.6,False,HAVELLS,1190.85,2026-05-20T14:35:00+05:30,1210.6,1208.3
-1.0,False,SHORT,1206.05,1,0.0,ob_taught,OB_RETEST,intrabar,0,-3.1856,True,stop,False,early/A,1206.8,0.7,False,HAVELLS,1190.85,2026-05-20T15:05:00+05:30,1206.8,1205.3
-1.0,False,SHORT,1211.2,2,0.0,ob_taught,OB_RETEST,intrabar,0,-5.0449,True,stop,False,early/A,1211.6,0.7,True,HAVELLS,1190.85,2026-05-20T15:15:00+05:30,1211.6,1210.8
-1.0,False,SHORT,1211.2,3,0.857,ob_taught,OB_RETEST,intrabar,0,-5.0449,True,stop,False,early/A,1211.6,0.7,True,HAVELLS,1190.85,2026-05-21T10:40:00+05:30,1211.6,1210.8
-1.0,False,SHORT,1209.45,3,0.857,fvg_n,IFVG_RETEST,intrabar,0,-1.9849,True,stop,False,early/A,1211.2,0.6,True,HAVELLS,1190.85,2026-05-21T11:30:00+05:30,1211.2,1207.7
-1.0,False,SHORT,1211.05,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.3486,True,stop,False,early/A,1212.3,0.6,True,HAVELLS,1190.85,2026-05-21T11:45:00+05:30,1212.3,1209.8
