R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
-1.0,False,LONG,610.55,4,0.0,ob_taught,OB_RETEST,intrabar,2,-2.4124,True,stop,False,early/A,609.95,0.7,False,AARTIIND,634.0,2024-09-04T13:05:00+05:30,610.8,610.1
-1.0,False,LONG,610.55,4,0.0,ob_taught,OB_RETEST,intrabar,2,-2.4124,True,stop,False,early/A,609.95,0.7,False,AARTIIND,634.0,2024-09-04T13:40:00+05:30,610.8,610.1
-1.2857142857142858,False,LONG,610.45,1,0.0,ob_taught,OB_RETEST,intrabar,0,-3.6495,True,gap,False,early/A,610.1,0.7,False,AARTIIND,620.825,2024-09-04T14:40:00+05:30,610.8,610.1
-1.0,False,LONG,610.45,1,0.0,ob_taught,OB_RETEST,intrabar,0,-3.3638,True,stop,False,early/A,610.1,0.7,False,AARTIIND,620.825,2024-09-04T14:45:00+05:30,610.8,610.1
-1.0,False,SHORT,32451.6,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.8959,True,stop,True,early/A,32475.0,0.6,False,BOSCHLTD,31948.65,2024-09-04T15:10:00+05:30,32475.0,32428.2
1.93,False,LONG,32404.025,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,1.0858,True,target,False,early/A,32348.5,0.6,True,BOSCHLTD,32510.925,2024-09-05T09:30:00+05:30,32459.55,32348.5
-1.0,False,SHORT,32701.375,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-2.0615,True,stop,False,early/A,32745.0,0.6,True,BOSCHLTD,32018.825,2024-09-05T10:15:00+05:30,32706.35,32625.85
10.07,False,LONG,609.75,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,9.2296,True,target,False,early/A,608.7,0.6,True,AARTIIND,620.325,2024-09-05T10:20:00+05:30,616.9,614.0
-1.0,False,SHORT,1281.0,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.7573,True,stop,False,early/A,1282.0,0.6,True,COFORGE,1263.75,2024-09-05T10:25:00+05:30,1282.0,1280.0
-1.0,False,SHORT,32701.375,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-2.0615,True,stop,False,early/A,32745.0,0.6,True,BOSCHLTD,32018.825,2024-09-05T10:30:00+05:30,32475.0,32428.2
-1.0,False,SHORT,1276.0,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.7508,True,stop,False,early/A,1277.0,0.6,True,COFORGE,1263.75,2024-09-05T10:35:00+05:30,1277.0,1275.0
-9.4,False,SHORT,1267.75,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-10.808,True,gap,False,early/A,1269.0,0.6,True,COFORGE,1263.75,2024-09-05T11:05:00+05:30,1269.0,1266.5
-1.0,False,SHORT,32590.825,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.9214,True,stop,False,early/A,32614.0,0.6,False,BOSCHLTD,32018.825,2024-09-05T11:50:00+05:30,32614.0,32567.65
-1.0,False,SHORT,1281.0,3,0.765,fvg_n,IFVG_RETEST,intrabar,0,-2.7573,True,stop,False,early/A,1282.0,0.6,True,COFORGE,1263.75,2024-09-05T12:00:00+05:30,1282.0,1280.0
-2.4131607335490832,False,SHORT,32590.825,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-4.3346,True,gap,False,early/A,32614.0,0.6,False,BOSCHLTD,32018.825,2024-09-05T12:05:00+05:30,32614.0,32567.65
-3.6666666666666665,False,SHORT,1278.75,3,0.765,ob_taught,OB_RETEST,intrabar,0,-5.9792,True,gap,False,early/A,1279.5,0.7,True,COFORGE,1263.75,2024-09-05T12:10:00+05:30,1279.5,1278.0
-1.0,False,SHORT,1284.5,6,0.765,ob_taught,OB_RETEST,intrabar,2,-1.5605,True,stop,False,early/A,1288.0,0.7,True,COFORGE,1263.75,2024-09-05T12:25:00+05:30,1279.5,1278.0
-1.0,False,SHORT,1284.5,6,0.765,ob_taught,OB_RETEST,intrabar,2,-1.5605,True,stop,False,early/A,1288.0,0.7,True,COFORGE,1264.25,2024-09-05T12:30:00+05:30,1279.5,1278.0
-1.0,False,SHORT,1284.5,6,0.765,fvg_n,FVG_N_RETEST,intrabar,2,-1.5605,True,stop,False,early/A,1288.0,0.6,True,COFORGE,1264.25,2024-09-05T12:40:00+05:30,1283.5,1277.0
17.57,False,SHORT,619.475,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,16.6131,True,target,False,early/A,620.4,0.6,False,AARTIIND,603.225,2024-09-05T14:00:00+05:30,620.4,618.55
37.53,False,SHORT,619.175,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,35.5424,True,target,False,early/A,619.6,0.6,False,AARTIIND,603.225,2024-09-05T14:05:00+05:30,619.6,618.75
-5.307692307692308,False,SHORT,1280.25,2,0.794,fvg_n,FVG_N_RETEST,intrabar,0,-5.9035,True,gap,False,early/A,1283.5,0.6,False,COFORGE,1264.25,2024-09-05T14:20:00+05:30,1283.5,1277.0
33.37,False,SHORT,33916.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,32.5092,True,target,False,early/A,33973.65,0.6,False,BOSCHLTD,32018.825,2024-09-06T09:20:00+05:30,33973.65,33859.9
29.5,False,SHORT,740.0,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,27.4821,True,target,False,early/A,740.5,0.6,False,BAJFINANCE,725.25,2024-09-06T09:30:00+05:30,740.5,739.5
-18.33333333333333,False,SHORT,723.25,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-19.676,True,gap,False,early/A,724.0,0.6,True,BAJFINANCE,721.25,2024-09-06T09:40:00+05:30,724.0,722.5
33.37,False,SHORT,33916.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,32.5092,True,target,False,early/A,33973.65,0.6,False,BOSCHLTD,32018.825,2024-09-06T09:50:00+05:30,33973.65,33859.9
33.37,False,SHORT,33916.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,32.5092,True,target,False,early/A,33973.65,0.6,False,BOSCHLTD,32018.825,2024-09-06T10:05:00+05:30,33973.65,33859.9
17.0,False,LONG,724.25,5,0.0,ob_taught,BRK_RETEST,intrabar,2,15.6556,True,target,False,early/A,723.5,0.7,True,BAJFINANCE,737.0,2024-09-06T10:10:00+05:30,732.0,730.5
33.37,False,SHORT,33916.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,32.5092,True,target,False,early/A,33973.65,0.6,False,BOSCHLTD,32018.825,2024-09-06T10:15:00+05:30,33973.65,33859.9
-1.0,False,LONG,609.75,5,0.0,fvg_n,IFVG_RETEST,intrabar,2,-1.8404,True,stop,False,early/A,608.7,0.6,True,AARTIIND,621.375,2024-09-06T10:20:00+05:30,615.1,612.9
29.5,False,SHORT,740.0,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,27.4821,True,target,False,early/A,740.5,0.6,True,BAJFINANCE,725.25,2024-09-06T10:20:00+05:30,740.5,739.5
-1.0,False,LONG,607.275,5,0.0,fvg_n,IFVG_RETEST,intrabar,2,-1.5157,True,stop,False,early/A,605.45,0.6,True,AARTIIND,621.375,2024-09-06T10:25:00+05:30,615.1,612.9
-1.0,False,SHORT,734.0,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.0411,True,stop,False,early/A,735.0,0.6,True,BAJFINANCE,725.25,2024-09-06T10:25:00+05:30,735.0,733.0
