R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
1.52,False,SHORT,999.85,2,0.775,fvg_n,FVG_N_RETEST,intrabar,0,0.4702,True,target,False,early/A,1001.2,0.6,False,BAJFINANCE,997.8,2026-06-25T11:30:00+05:30,1001.2,998.5
-1.0,False,SHORT,997.675,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4199,True,stop,False,early/A,998.65,0.6,False,BAJFINANCE,995.85,2026-06-25T12:00:00+05:30,998.65,996.7
1.87,False,SHORT,997.675,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,0.4501,True,target,False,early/A,998.65,0.6,False,BAJFINANCE,995.85,2026-06-25T12:30:00+05:30,998.65,996.7
1.87,False,SHORT,997.675,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,0.4501,True,target,False,early/A,998.65,0.6,False,BAJFINANCE,995.85,2026-06-25T12:50:00+05:30,998.65,996.7
0.76,False,SHORT,987.725,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-1.1039,True,target,False,early/A,988.45,0.6,False,BAJFINANCE,987.175,2026-06-25T13:40:00+05:30,988.45,987.0
0.91,False,SHORT,988.875,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-0.272,True,target,False,early/A,990.05,0.6,False,BAJFINANCE,987.8,2026-06-25T13:45:00+05:30,990.05,987.7
3.17,False,SHORT,985.75,3,0.721,ob_taught,OB_RETEST,intrabar,0,-5.5149,True,target,True,early/A,985.9,0.7,False,BAJFINANCE,985.275,2026-06-25T14:55:00+05:30,985.9,985.6
12.22,False,SHORT,991.65,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,10.8415,True,target,True,early/A,992.65,0.6,True,BAJFINANCE,979.425,2026-06-29T09:20:00+05:30,992.65,990.65
-3.0,False,SHORT,985.75,3,0.0,ob_taught,OB_RETEST,intrabar,0,-11.6849,True,gap,True,early/A,985.9,0.7,True,BAJFINANCE,979.425,2026-06-29T09:35:00+05:30,985.9,985.6
-3.0,False,SHORT,985.75,3,0.0,ob_taught,OB_RETEST,intrabar,0,-11.6849,True,gap,True,early/A,985.9,0.7,True,BAJFINANCE,979.425,2026-06-29T09:40:00+05:30,985.9,985.6
-1.0,False,SHORT,985.75,3,0.0,ob_taught,OB_RETEST,intrabar,0,-9.6849,True,stop,True,early/A,985.9,0.7,True,BAJFINANCE,979.425,2026-06-29T09:55:00+05:30,985.9,985.6
-1.0,False,SHORT,986.85,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.7785,True,stop,False,early/A,988.7,0.6,True,BAJFINANCE,979.425,2026-06-29T10:25:00+05:30,988.7,985.0
-1.0,False,SHORT,986.85,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.7785,True,stop,False,early/A,988.7,0.6,False,BAJFINANCE,979.425,2026-06-29T11:50:00+05:30,988.7,985.0
-1.0,False,SHORT,984.2,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.6658,True,stop,False,early/A,986.4,0.6,False,BAJFINANCE,979.425,2026-06-29T12:40:00+05:30,986.4,982.0
-1.0,False,SHORT,984.375,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-1.7674,True,stop,False,early/A,986.25,0.6,False,BAJFINANCE,979.425,2026-06-29T12:50:00+05:30,986.25,982.5
-1.0,False,SHORT,984.2,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.6909,True,stop,False,early/A,985.0,0.6,False,BAJFINANCE,979.425,2026-06-29T12:55:00+05:30,985.0,983.4
-1.0,False,SHORT,986.775,2,0.0,ob_taught,OB_RETEST,intrabar,0,-5.0556,True,stop,True,early/A,987.1,0.7,False,BAJFINANCE,979.425,2026-06-29T14:05:00+05:30,987.1,986.45
-1.0,False,SHORT,986.775,3,0.0,ob_taught,OB_RETEST,intrabar,0,-5.0556,True,stop,True,early/A,987.1,0.7,True,BAJFINANCE,979.425,2026-06-29T14:55:00+05:30,987.1,986.45
-1.0,False,SHORT,983.85,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4361,True,stop,True,early/A,984.8,0.6,True,BAJFINANCE,979.425,2026-06-29T15:25:00+05:30,984.8,982.9
27.07,False,SHORT,989.575,3,0.0,ob_taught,OB_RETEST,intrabar,0,23.5347,True,target,True,early/A,989.95,0.7,True,BAJFINANCE,979.425,2026-06-29T15:30:00+05:30,989.95,989.2
-1.3333333333333333,False,SHORT,993.6,2,0.0,ob_taught,MIT_RETEST,intrabar,0,-5.7501,True,gap,False,early/A,993.9,0.7,True,BAJFINANCE,978.7,2026-06-30T10:20:00+05:30,993.9,993.3
-1.0,False,SHORT,997.4,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.8213,True,stop,False,early/A,998.15,0.6,True,BAJFINANCE,978.7,2026-06-30T10:25:00+05:30,998.15,996.65
-1.0,False,SHORT,993.6,2,0.0,ob_taught,MIT_RETEST,intrabar,0,-5.4167,True,stop,False,early/A,993.9,0.7,True,BAJFINANCE,978.7,2026-06-30T11:00:00+05:30,993.9,993.3
-1.0,False,SHORT,993.6,2,0.0,ob_taught,MIT_RETEST,intrabar,0,-5.4167,True,stop,False,early/A,993.9,0.7,True,BAJFINANCE,978.7,2026-06-30T11:05:00+05:30,993.9,993.3
-1.0,False,SHORT,993.6,2,0.0,ob_taught,MIT_RETEST,intrabar,0,-5.4167,True,stop,False,early/A,993.9,0.7,True,BAJFINANCE,978.7,2026-06-30T11:10:00+05:30,993.9,993.3
-1.0,False,SHORT,997.4,2,0.53,fvg_n,IFVG_RETEST,intrabar,0,-2.8213,True,stop,False,early/A,998.15,0.6,False,BAJFINANCE,978.7,2026-06-30T12:05:00+05:30,998.15,996.65
-1.0,False,SHORT,435.175,5,0.568,ob_taught,MIT_RETEST,intrabar,2,-2.8333,True,stop,False,early/A,435.5,0.7,False,APOLLOTYRE,425.325,2026-06-30T12:30:00+05:30,431.3,430.6
-1.0,False,SHORT,435.175,5,0.716,ob_taught,OB_RETEST,intrabar,2,-2.8333,True,stop,False,early/A,435.5,0.7,False,APOLLOTYRE,425.325,2026-06-30T13:05:00+05:30,426.6,426.3
-1.0,False,SHORT,435.175,5,0.716,ob_taught,OB_RETEST,intrabar,2,-2.8333,True,stop,False,early/A,435.5,0.7,False,APOLLOTYRE,425.325,2026-06-30T13:10:00+05:30,430.2,430.0
-1.0,False,SHORT,435.175,5,0.716,ob_taught,MIT_RETEST,intrabar,2,-2.8333,True,stop,False,early/A,435.5,0.7,False,APOLLOTYRE,425.325,2026-06-30T13:55:00+05:30,431.3,430.6
0.04,False,LONG,458.125,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-0.5105,True,target,True,early/A,456.85,0.6,True,AARTIIND,458.175,2026-06-30T15:25:00+05:30,459.4,456.85
5.98,False,LONG,458.125,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,5.4295,True,target,True,early/A,456.85,0.6,True,AARTIIND,465.75,2026-07-01T09:20:00+05:30,459.4,456.85
-1.0,False,SHORT,430.975,5,0.0,ob_taught,OB_RETEST,intrabar,2,-2.5848,True,stop,False,early/A,431.35,0.7,True,APOLLOTYRE,425.325,2026-07-01T09:20:00+05:30,435.1,435.05
-1.0,False,LONG,1462.1,5,0.0,fvg_n,IFVG_RETEST,intrabar,2,-1.5151,True,stop,False,early/A,1457.7,0.6,True,COFORGE,1513.2,2026-07-01T09:20:00+05:30,1469.2,1464.0
-2.111111111111111,False,LONG,459.5,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-3.5282,True,gap,True,early/A,459.05,0.6,True,AARTIIND,465.75,2026-07-01T09:45:00+05:30,459.95,459.05
21.8,False,LONG,39935.0,2,0.0,ob_taught,BRK_RETEST,intrabar,0,19.6284,True,target,False,early/A,39910.0,0.7,True,BOSCHLTD,40480.0,2026-07-01T09:45:00+05:30,39960.0,39910.0
-1.0,False,LONG,40067.5,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.6943,True,stop,True,early/A,40035.0,0.6,True,BOSCHLTD,40480.0,2026-07-01T10:30:00+05:30,40100.0,40035.0
12.75,False,LONG,39970.0,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,11.3616,True,target,True,early/A,39930.0,0.6,True,BOSCHLTD,40480.0,2026-07-01T10:40:00+05:30,40010.0,39930.0
-11.272727272727272,False,LONG,1462.1,5,0.0,fvg_n,IFVG_RETEST,intrabar,2,-11.7878,True,gap,False,early/A,1457.7,0.6,True,COFORGE,1513.2,2026-07-01T10:45:00+05:30,1469.2,1464.0
-7.0,False,SHORT,435.075,2,0.0,ob_taught,OB_RETEST,intrabar,0,-29.8675,True,gap,False,early/A,435.1,0.7,True,APOLLOTYRE,425.325,2026-07-01T11:00:00+05:30,435.1,435.05
21.8,False,LONG,39935.0,2,0.0,ob_taught,BRK_RETEST,intrabar,0,19.6284,True,target,True,early/A,39910.0,0.7,False,BOSCHLTD,40480.0,2026-07-01T11:10:00+05:30,39960.0,39910.0
-1.3157894736842106,False,SHORT,433.075,2,0.636,fvg_n,FVG_N_RETEST,intrabar,0,-2.5896,True,gap,False,early/A,433.55,0.6,False,APOLLOTYRE,425.325,2026-07-01T12:15:00+05:30,433.55,432.6
-1.1333333333333333,False,SHORT,431.775,2,0.636,fvg_n,FVG_N_RETEST,intrabar,0,-2.721,True,gap,False,early/A,432.15,0.6,False,APOLLOTYRE,425.325,2026-07-01T13:00:00+05:30,432.15,431.4
7.36,False,LONG,40277.5,1,0.0,ob_taught,OB_RETEST,intrabar,0,5.3622,True,target,False,early/A,40250.0,0.7,False,BOSCHLTD,40480.0,2026-07-01T13:05:00+05:30,40305.0,40250.0
1.5,False,SHORT,470.55,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,0.3931,True,target,False,early/A,471.15,0.6,False,AARTIIND,469.65,2026-07-01T13:40:00+05:30,471.15,469.95
3.91,False,SHORT,431.225,2,0.552,ob_taught,OB_RETEST,intrabar,0,1.7767,True,target,False,early/A,431.5,0.7,False,APOLLOTYRE,430.15,2026-07-01T13:45:00+05:30,431.5,430.95
4.13,False,SHORT,433.25,3,0.552,fvg_n,IFVG_RETEST,intrabar,0,3.2936,True,target,True,early/A,434.0,0.6,False,APOLLOTYRE,430.15,2026-07-01T14:00:00+05:30,434.0,432.5
0.88,False,LONG,40337.5,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,0.475,True,target,False,early/A,40175.0,0.6,False,BOSCHLTD,40480.0,2026-07-01T14:00:00+05:30,40500.0,40175.0
-1.0,False,SHORT,431.775,3,0.552,fvg_n,FVG_N_RETEST,intrabar,0,-2.5876,True,stop,True,early/A,432.15,0.6,False,APOLLOTYRE,430.15,2026-07-01T14:05:00+05:30,432.15,431.4
-1.0,False,SHORT,40890.0,2,0.0,ob_taught,OB_RETEST,intrabar,0,-1.7493,True,stop,False,early/A,40970.0,0.7,True,BOSCHLTD,40627.5,2026-07-01T15:05:00+05:30,40970.0,40810.0
1.5,False,SHORT,470.55,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,0.3931,True,target,False,early/A,471.15,0.6,False,AARTIIND,469.65,2026-07-01T15:15:00+05:30,471.15,469.95
-1.3636363636363635,False,SHORT,431.225,2,0.0,ob_taught,OB_RETEST,intrabar,0,-3.4969,True,gap,True,early/A,431.5,0.7,False,APOLLOTYRE,430.15,2026-07-01T15:15:00+05:30,431.5,430.95
-1.3529411764705883,False,SHORT,468.425,2,0.801,ob_taught,MIT_RETEST,intrabar,0,-2.8761,True,gap,False,early/A,468.85,0.7,False,AARTIIND,468.0,2026-07-01T15:30:00+05:30,468.85,468.0
-1.0,False,SHORT,40755.0,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-1.7471,True,stop,False,early/A,40835.0,0.6,True,BOSCHLTD,40627.5,2026-07-01T15:30:00+05:30,40835.0,40675.0
-1.0,False,SHORT,1017.55,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.3489,True,stop,True,early/A,1018.6,0.6,True,BAJFINANCE,978.7,2026-07-02T09:20:00+05:30,1018.6,1016.5
-5.375,False,SHORT,40755.0,5,0.0,ob_taught,BRK_RETEST,intrabar,2,-6.1221,True,gap,False,early/A,40835.0,0.7,True,BOSCHLTD,39797.5,2026-07-02T09:25:00+05:30,41120.0,41065.0
-1.4324324324324325,False,SHORT,1010.85,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.2279,True,gap,True,early/A,1012.7,0.6,True,BAJFINANCE,1003.35,2026-07-02T09:35:00+05:30,1012.7,1009.0
-3.25,False,SHORT,40755.0,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-3.9971,True,gap,False,early/A,40835.0,0.6,True,BOSCHLTD,39797.5,2026-07-02T09:35:00+05:30,40835.0,40675.0
-15.0,False,SHORT,1013.95,3,0.0,ob_taught,MIT_RETEST,intrabar,0,-41.6333,True,gap,True,early/A,1014.0,0.7,True,BAJFINANCE,1003.35,2026-07-02T09:40:00+05:30,1014.0,1013.9
-2.3125,False,SHORT,40755.0,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-3.0596,True,gap,False,early/A,40835.0,0.6,True,BOSCHLTD,39797.5,2026-07-02T09:40:00+05:30,40835.0,40675.0
-3.1875,False,SHORT,40755.0,5,0.0,fvg_n,FVG_N_RETEST,intrabar,2,-3.9346,True,gap,False,early/A,40835.0,0.6,True,BOSCHLTD,39797.5,2026-07-02T09:45:00+05:30,40835.0,40675.0
-1.0,False,SHORT,1020.35,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.6518,True,stop,True,early/A,1021.2,0.6,True,BAJFINANCE,1003.35,2026-07-02T10:05:00+05:30,1021.2,1019.5
-25.727272727272727,False,SHORT,468.9,6,0.801,ob_taught,MIT_RETEST,intrabar,2,-26.9236,True,gap,False,early/A,469.45,0.7,True,AARTIIND,461.75,2026-07-02T10:40:00+05:30,468.85,468.0
-1.0,False,SHORT,41085.0,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.9076,True,stop,False,early/A,41150.0,0.6,False,BOSCHLTD,40745.0,2026-07-02T12:20:00+05:30,41150.0,41020.0
-1.0,False,SHORT,41220.0,1,0.0,ob_taught,OB_RETEST,intrabar,0,-2.6221,True,stop,False,early/A,41255.0,0.7,False,BOSCHLTD,40745.0,2026-07-02T12:30:00+05:30,41255.0,41185.0
-1.0,False,SHORT,41085.0,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.9076,True,stop,False,early/A,41150.0,0.6,False,BOSCHLTD,40745.0,2026-07-02T12:40:00+05:30,41150.0,41020.0
-1.0,False,SHORT,482.175,2,0.763,fvg_n,IFVG_RETEST,intrabar,0,-1.7275,True,stop,False,early/A,483.15,0.6,False,AARTIIND,461.75,2026-07-02T13:05:00+05:30,483.15,481.2
-11.0,False,SHORT,481.55,2,0.763,ob_taught,BRK_RETEST,intrabar,0,-17.3854,True,gap,False,early/A,481.65,0.7,False,AARTIIND,461.75,2026-07-02T13:10:00+05:30,481.65,481.45
-3.230769230769231,False,SHORT,41085.0,2,0.736,fvg_n,FVG_N_RETEST,intrabar,0,-4.1384,True,gap,False,early/A,41150.0,0.6,False,BOSCHLTD,40745.0,2026-07-02T14:00:00+05:30,41150.0,41020.0
-1.0,False,SHORT,483.025,4,0.763,fvg_n,FVG_N_RETEST,intrabar,0,-2.4115,True,stop,True,early/A,483.5,0.6,True,AARTIIND,480.8,2026-07-02T14:05:00+05:30,483.5,482.55
3.62,False,SHORT,484.875,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,2.9756,True,target,True,early/A,486.0,0.6,True,AARTIIND,480.8,2026-07-02T14:10:00+05:30,486.0,483.75
-2.375,False,SHORT,1464.7,4,0.707,ob_taught,OB_RETEST,intrabar,0,-3.6537,True,gap,True,early/A,1466.3,0.7,True,COFORGE,1365.25,2026-07-03T09:20:00+05:30,1466.3,1463.1
-1.0,False,SHORT,1464.7,4,0.707,ob_taught,OB_RETEST,intrabar,0,-2.2787,True,stop,True,early/A,1466.3,0.7,True,COFORGE,1365.25,2026-07-03T09:35:00+05:30,1466.3,1463.1
-1.0,False,SHORT,1464.7,3,0.0,ob_taught,OB_RETEST,intrabar,0,-2.2787,True,stop,True,early/A,1466.3,0.7,True,COFORGE,1365.25,2026-07-03T09:50:00+05:30,1466.3,1463.1
-1.0,False,SHORT,1466.1,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.7199,True,stop,True,early/A,1469.1,0.6,True,COFORGE,1365.25,2026-07-03T09:55:00+05:30,1469.1,1463.1
-1.0,False,SHORT,1471.5,6,0.829,fvg_n,FVG_N_RETEST,intrabar,2,-1.5082,True,stop,False,early/A,1476.0,0.6,True,COFORGE,1365.25,2026-07-03T11:15:00+05:30,1469.1,1463.1
0.53,False,SHORT,450.625,2,0.776,fvg_n,FVG_N_RETEST,intrabar,0,-0.7922,True,target,False,early/A,451.1,0.6,False,APOLLOTYRE,450.375,2026-07-03T11:20:00+05:30,451.1,450.15
-3.577777777777778,False,SHORT,1471.5,5,0.829,fvg_n,FVG_N_RETEST,intrabar,2,-4.086,True,gap,False,early/A,1476.0,0.6,False,COFORGE,1365.25,2026-07-03T11:20:00+05:30,1469.1,1463.1
-2.1555555555555554,False,SHORT,1471.5,5,0.829,fvg_n,FVG_N_RETEST,intrabar,2,-2.6637,True,gap,False,early/A,1476.0,0.6,False,COFORGE,1365.25,2026-07-03T11:30:00+05:30,1469.1,1463.1
0.53,False,SHORT,450.625,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-0.7922,True,target,False,early/A,451.1,0.6,False,APOLLOTYRE,450.375,2026-07-03T11:50:00+05:30,451.1,450.15
1.83,False,SHORT,449.4,2,0.811,fvg_n,FVG_N_RETEST,intrabar,0,0.7693,True,target,False,early/A,450.0,0.6,False,APOLLOTYRE,448.3,2026-07-03T12:20:00+05:30,450.0,448.8
-1.0,False,SHORT,42115.0,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.6605,True,stop,False,early/A,42210.0,0.6,False,BOSCHLTD,40627.5,2026-07-03T12:40:00+05:30,42210.0,42020.0
0.5,False,SHORT,450.0,3,0.811,ob_taught,OB_RETEST,intrabar,0,-0.7585,True,target,True,early/A,450.5,0.7,False,APOLLOTYRE,449.75,2026-07-03T13:05:00+05:30,450.5,449.5
