R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
-1.0,False,SHORT,992.15,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-3.6782,True,stop,True,early/A,992.65,0.6,False,BAJFINANCE,958.625,2026-06-29T09:20:00+05:30,992.65,990.65
-5.0,False,SHORT,985.825,2,0.0,ob_taught,OB_RETEST,intrabar,0,-22.2912,True,gap,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:35:00+05:30,985.9,985.6
-5.0,False,SHORT,985.825,2,0.0,ob_taught,OB_RETEST,intrabar,0,-22.2912,True,gap,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:40:00+05:30,985.9,985.6
-1.0,False,SHORT,985.825,2,0.0,ob_taught,OB_RETEST,intrabar,0,-18.2912,True,stop,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:55:00+05:30,985.9,985.6
-1.0,False,SHORT,987.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4783,True,stop,False,early/A,988.7,0.6,False,BAJFINANCE,958.625,2026-06-29T10:25:00+05:30,988.7,985.0
-1.0,False,SHORT,987.775,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4783,True,stop,False,early/A,988.7,0.6,False,BAJFINANCE,958.625,2026-06-29T11:50:00+05:30,988.7,985.0
-1.0,False,SHORT,985.3,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.2529,True,stop,False,early/A,986.4,0.6,False,BAJFINANCE,958.625,2026-06-29T12:40:00+05:30,986.4,982.0
-1.0,False,SHORT,985.3125,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.4562,True,stop,False,early/A,986.25,0.6,False,BAJFINANCE,958.625,2026-06-29T12:50:00+05:30,986.25,982.5
-1.0,False,SHORT,984.6,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-4.3031,True,stop,False,early/A,985.0,0.6,False,BAJFINANCE,958.625,2026-06-29T12:55:00+05:30,985.0,983.4
-1.0,False,SHORT,986.9375,3,0.0,ob_taught,OB_RETEST,intrabar,0,-9.0326,True,stop,True,early/A,987.1,0.7,True,BAJFINANCE,958.625,2026-06-29T14:05:00+05:30,987.1,986.45
-1.0,False,SHORT,986.9375,3,0.0,ob_taught,OB_RETEST,intrabar,0,-9.0326,True,stop,True,early/A,987.1,0.7,True,BAJFINANCE,958.625,2026-06-29T14:55:00+05:30,987.1,986.45
