R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
-1.0,False,SHORT,991.65,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.3785,True,stop,True,early/A,992.65,0.6,False,BAJFINANCE,958.625,2026-06-29T09:20:00+05:30,992.65,990.65
-3.0,False,SHORT,985.75,2,0.0,ob_taught,OB_RETEST,intrabar,0,-11.6849,True,gap,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:35:00+05:30,985.9,985.6
-3.0,False,SHORT,985.75,2,0.0,ob_taught,OB_RETEST,intrabar,0,-11.6849,True,gap,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:40:00+05:30,985.9,985.6
-1.0,False,SHORT,985.75,2,0.0,ob_taught,OB_RETEST,intrabar,0,-9.6849,True,stop,True,early/A,985.9,0.7,False,BAJFINANCE,958.625,2026-06-29T09:55:00+05:30,985.9,985.6
-1.0,False,SHORT,986.85,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.7785,True,stop,False,early/A,988.7,0.6,False,BAJFINANCE,958.625,2026-06-29T10:25:00+05:30,988.7,985.0
-1.0,False,SHORT,986.85,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.7785,True,stop,False,early/A,988.7,0.6,False,BAJFINANCE,958.625,2026-06-29T11:50:00+05:30,988.7,985.0
-1.0,False,SHORT,984.2,1,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-1.6658,True,stop,False,early/A,986.4,0.6,False,BAJFINANCE,958.625,2026-06-29T12:40:00+05:30,986.4,982.0
-1.0,False,SHORT,984.375,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-1.7674,True,stop,False,early/A,986.25,0.6,False,BAJFINANCE,958.625,2026-06-29T12:50:00+05:30,986.25,982.5
-1.0,False,SHORT,984.2,1,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.6909,True,stop,False,early/A,985.0,0.6,False,BAJFINANCE,958.625,2026-06-29T12:55:00+05:30,985.0,983.4
-1.0,False,SHORT,986.775,3,0.0,ob_taught,OB_RETEST,intrabar,0,-5.0556,True,stop,True,early/A,987.1,0.7,True,BAJFINANCE,958.625,2026-06-29T14:05:00+05:30,987.1,986.45
-1.0,False,SHORT,986.775,3,0.0,ob_taught,OB_RETEST,intrabar,0,-5.0556,True,stop,True,early/A,987.1,0.7,True,BAJFINANCE,958.625,2026-06-29T14:55:00+05:30,987.1,986.45
-1.0,False,SHORT,983.85,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.4361,True,stop,True,early/A,984.8,0.6,True,BAJFINANCE,958.625,2026-06-29T15:25:00+05:30,984.8,982.9
-1.0,False,SHORT,989.575,3,0.0,ob_taught,OB_RETEST,intrabar,0,-4.5353,True,stop,True,early/A,989.95,0.7,True,BAJFINANCE,958.625,2026-06-29T15:30:00+05:30,989.95,989.2
-1.3333333333333333,False,SHORT,993.6,2,0.0,ob_taught,BRK_RETEST,intrabar,0,-5.7501,True,gap,False,early/A,993.9,0.7,True,BAJFINANCE,958.625,2026-06-30T10:20:00+05:30,993.9,993.3
-1.0,False,SHORT,997.4,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.8213,True,stop,False,early/A,998.15,0.6,True,BAJFINANCE,958.625,2026-06-30T10:25:00+05:30,998.15,996.65
-1.0,False,SHORT,993.6,2,0.0,ob_taught,BRK_RETEST,intrabar,0,-5.4167,True,stop,False,early/A,993.9,0.7,True,BAJFINANCE,958.625,2026-06-30T11:00:00+05:30,993.9,993.3
