R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
33.06,False,LONG,380.5,7,0.765,ob_taught,BRK_RETEST,intrabar,2,31.7344,True,target,True,early/A,380.1,0.7,True,APOLLOTYRE,393.725,2023-11-07T10:20:00+05:30,382.8,382.5
33.06,False,LONG,380.5,7,0.765,fvg_n,IFVG_RETEST,intrabar,2,31.7344,True,target,True,early/A,380.1,0.6,True,APOLLOTYRE,393.725,2023-11-07T10:35:00+05:30,392.2,391.2
33.06,False,LONG,380.5,6,0.765,fvg_n,FVG_N_RETEST,intrabar,2,31.7344,True,target,False,early/A,380.1,0.6,True,APOLLOTYRE,393.725,2023-11-07T10:50:00+05:30,387.95,386.75
-1.0,False,LONG,384.2,3,0.769,ob_taught,OB_RETEST,intrabar,0,-4.4338,True,stop,False,early/A,384.05,0.7,True,APOLLOTYRE,393.725,2023-11-07T11:40:00+05:30,384.35,384.05
-1.0,False,LONG,383.975,3,0.769,fvg_n,FVG_N_RETEST,intrabar,0,-2.1385,True,stop,False,early/A,383.5,0.6,True,APOLLOTYRE,393.725,2023-11-07T12:05:00+05:30,384.45,383.5
-25.0,False,LONG,753.25,1,0.0,ob_taught,OB_RETEST,intrabar,0,-29.0252,True,gap,False,early/A,753.0,0.7,False,BAJFINANCE,759.0,2023-11-07T12:25:00+05:30,753.5,753.0
-1.0,False,LONG,746.75,2,0.6,ob_taught,OB_RETEST,intrabar,0,-2.3837,True,stop,False,early/A,746.0,0.7,False,BAJFINANCE,759.0,2023-11-07T14:05:00+05:30,747.5,746.0
-1.0,False,LONG,383.7,2,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.7547,True,stop,False,early/A,383.4,0.6,True,APOLLOTYRE,393.725,2023-11-07T15:00:00+05:30,384.0,383.4
-1.0,False,LONG,746.75,3,0.638,ob_taught,OB_RETEST,intrabar,0,-2.3837,True,stop,False,early/A,746.0,0.7,True,BAJFINANCE,759.0,2023-11-08T09:20:00+05:30,747.5,746.0
-1.0,False,LONG,742.5,3,0.638,ob_taught,BRK_RETEST,intrabar,0,-3.0245,True,stop,False,early/A,742.0,0.7,True,BAJFINANCE,759.0,2023-11-08T09:25:00+05:30,743.0,742.0
33.06,False,LONG,380.5,4,0.0,fvg_n,FVG_N_RETEST,intrabar,2,31.7344,True,target,False,early/A,380.1,0.6,False,APOLLOTYRE,393.725,2023-11-08T09:50:00+05:30,402.75,398.8
