R,bos,dir,entry,grade,maturity,member_det,member_event,mode,nest_depth,net,ote,outcome,phase,quad,sl,strength,sweep,sym,target,ts,zone_hi,zone_lo
-1.0,False,SHORT,1478.35,3,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.5139,True,stop,True,early/A,1479.7,0.6,True,HAVELLS,1415.05,2026-01-08T12:15:00+05:30,1479.7,1477.0
-1.0,False,SHORT,1478.85,3,0.0,ob_taught,BRK_RETEST,intrabar,0,-3.6619,True,stop,True,early/A,1479.6,0.7,True,HAVELLS,1415.05,2026-01-08T12:20:00+05:30,1479.6,1478.1
-1.0,False,SHORT,1477.25,3,0.0,fvg_n,FVG_N_RETEST,intrabar,0,-2.6274,True,stop,True,early/A,1478.5,0.6,True,HAVELLS,1415.05,2026-01-08T12:45:00+05:30,1478.5,1476.0
-1.0,False,SHORT,1484.6,2,0.0,ob_taught,BRK_RETEST,intrabar,0,-3.8571,True,stop,True,early/A,1485.3,0.7,False,HAVELLS,1415.05,2026-01-08T13:10:00+05:30,1485.3,1483.9
-4.185185185185185,False,SHORT,1478.35,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-5.6991,True,gap,True,early/A,1479.7,0.6,False,HAVELLS,1415.05,2026-01-08T13:40:00+05:30,1479.7,1477.0
-1.0,False,SHORT,1495.45,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-2.6465,True,stop,True,early/A,1496.7,0.6,False,HAVELLS,1415.05,2026-01-08T14:00:00+05:30,1496.7,1494.2
-1.0,False,SHORT,1495.45,2,0.6,fvg_n,IFVG_RETEST,intrabar,0,-2.6465,True,stop,False,early/A,1496.7,0.6,False,HAVELLS,1415.05,2026-01-08T15:10:00+05:30,1496.7,1494.2
-2.942857142857143,False,SHORT,1488.75,2,0.6,fvg_n,IFVG_RETEST,intrabar,0,-4.1368,True,gap,False,early/A,1490.5,0.6,False,HAVELLS,1415.05,2026-01-08T15:25:00+05:30,1490.5,1487.0
-1.0,False,SHORT,1488.75,3,0.6,fvg_n,IFVG_RETEST,intrabar,0,-2.1939,True,stop,False,early/A,1490.5,0.6,True,HAVELLS,1415.05,2026-01-09T09:40:00+05:30,1490.5,1487.0
-8.82857142857143,False,SHORT,1488.75,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-10.0225,True,gap,False,early/A,1490.5,0.6,True,HAVELLS,1473.0,2026-01-09T10:30:00+05:30,1490.5,1487.0
-7.685714285714286,False,SHORT,1488.75,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-8.8796,True,gap,False,early/A,1490.5,0.6,True,HAVELLS,1473.0,2026-01-09T10:40:00+05:30,1490.5,1487.0
-3.057142857142857,False,SHORT,1488.75,2,0.0,fvg_n,IFVG_RETEST,intrabar,0,-4.2511,True,gap,False,early/A,1490.5,0.6,True,HAVELLS,1473.0,2026-01-09T10:45:00+05:30,1490.5,1487.0
3.6,False,SHORT,1494.05,2,0.0,ob_taught,BRK_RETEST,intrabar,0,3.1856,True,target,False,early/A,1499.9,0.7,True,HAVELLS,1473.0,2026-01-09T11:25:00+05:30,1499.9,1488.2
3.6,False,SHORT,1494.05,3,0.66,ob_taught,BRK_RETEST,intrabar,0,3.1856,True,target,False,early/A,1499.9,0.7,True,HAVELLS,1473.0,2026-01-09T11:55:00+05:30,1499.9,1488.2
